[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Barren +1,88,135. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	150
15	150
15	10
16	10
16	40
20	40
20	157
20.5	157
20.5	72
21	80
21	80
21.08	80
21.08	114
21.25	114
21.25	80
21.33	80
21.33	114
21.5	114
21.5	80
21.58	80
21.58	122
21.75	122
21.75	75
21.91	75
21.91	117
22.08	117
22.08	80
22.16	80
22.16	112
22.41	112
22.41	80
22.5	80
22.5	119
22.66	119
22.66	72
22.91	72
22.91	114
23.16	114
23.16	80
23.41	80
23.41	117
23.66	117
23.66	77
23.91	77
23.91	104
24.41	104
24.41	69
24.66	69
24.66	115
25	115
25	80
25.25	80
25.25	110
25.75	110
25.75	75
26.16	75
26.16	118
26.58	118
26.58	77
26.83	77
26.83	116
27.16	116
27.16	80
27.41	80
27.41	111
27.91	111
27.91	67
28.33	67
28.33	117
28.58	117
28.58	80
28.83	80
28.83	124
29.08	124
29.08	80
29.28	80
29.28	116
29.61	116
29.61	62
29.86	62
29.86	96
31.28	96
31.28	78
31.58	78
31.58	84
35.58	84
35.58	86
39.58	86
39.58	80
43.58	80
43.58	86
47.58	86
47.58	90
51.58	90
51.58	78
52.03	78
52.03	119
52.36	119
52.36	72
52.78	72
52.78	112
53.11	112
53.11	80
53.36	80
53.36	119
53.7	119
53.7	80
53.83	80
53.83	80
53.91	80
53.91	117
54.08	117
54.08	80
54.16	80
54.16	122
54.33	122
54.33	80
54.41	80
54.41	117
54.58	117
54.58	80
54.66	80
54.66	117
54.83	117
54.83	77
55.08	77
55.08	137
55.25	137
55.25	80
55.33	80
55.33	117
55.5	117
55.5	80
55.75	80
55.75	117
55.91	117
55.91	80
56.08	80
56.08	132
56.25	132
56.25	80
56.33	80
56.33	117
56.5	117
56.5	77
56.91	77
56.91	127
57.08	127
57.08	80
57.16	80
57.16	117
57.33	117
57.33	80
57.41	80
57.41	117
57.58	117
57.58	80
57.66	80
57.66	127
57.83	127
57.83	80
58.25	80
58.25	112
58.41	112
58.41	80
58.5	80
58.5	112
58.66	112
58.66	75
58.91	75
58.91	122
59.08	122
59.08	80
59.16	80
59.16	117
59.33	117
59.33	80
59.41	80
59.41	117
59.58	117
59.58	77
59.83	77
59.83	127
60	127
60	80
60.16	80
60.16	120
60.5	120
60.5	80
60.75	80
60.75	115
61.08	115
61.08	76
61.33	76
61.33	110
61.66	110
61.66	57
62.16	57
62.16	105
63	105
63	70
64	70
64	100
65.25	100
65.25	62
66.08	62
66.08	109
67.58	109
67.58	67
68.05	67
68.05	90
70.55	90
70.55	86
73.05	86
73.05	92
75.55	92
75.55	95
78.05	95
78.05	67
78.75	67
78.75	98
80.41	98
80.41	57
81.16	57
81.16	97
82.75	97
82.75	77
83.33	77
83.33	117
83.58	117
83.58	72
84.16	72
84.16	111
84.58	111
84.58	80
84.83	80
84.83	119
85.25	119
85.25	69
85.5	69
85.5	107
85.91	107
85.91	77
86.16	77
86.16	104
86.58	104
86.58	80
86.83	80
86.83	113
87.25	113
87.25	62
87.5	62
87.5	108
87.91	108
87.91	57
88.16	57
88.16	98
89.58	98
89.58	62
90.33	62
90.33	115
90.58	115
90.58	80
90.83	80
90.83	111
91.08	111
91.08	77
91.33	77
91.33	117
91.58	117
91.58	80
91.66	80
91.66	117
91.83	117
91.83	80
91.91	80
91.91	119
92.16	119
92.16	72
92.58	72
92.58	127
92.75	127
92.75	80
92.83	80
92.83	117
93	117
93	80
93.08	80
93.08	117
93.25	117
93.25	80
93.33	80
93.33	117
93.66	117
93.66	77
93.91	77
93.91	117
94.08	117
94.08	80
94.16	80
94.16	114
94.5	114
94.5	77
94.66	77
94.66	137
95	137
95	40
105	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	6300	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1230	Sprint 4
1230	1260	Tempo 1
1260	1265	Tempo 2
1265	1275	VO2 Max 1
1275	1280	Tempo 3
1280	1290	VO2 Max 2
1290	1295	Tempo 4
1295	1305	Sprint 5
1305	1315	Endurance 2
1315	1325	VO2 Max 3
1325	1330	Tempo 5
1330	1345	VO2 Max 4
1345	1350	Tempo 6
1350	1360	VO2 Max 5
1360	1375	Endurance 3
1375	1390	VO2 Max 6
1390	1405	Tempo 7
1405	1420	VO2 Max 7
1420	1435	Tempo 8
1435	1465	Threshold 4
1465	1480	Endurance 4
1480	1500	VO2 Max 8
1500	1515	Tempo 9
1515	1545	VO2 Max 9
1545	1570	Endurance 5
1570	1595	VO2 Max 10
1595	1610	Tempo 10
1610	1630	VO2 Max 11
1630	1645	Tempo 11
1645	1675	VO2 Max 12
1675	1700	Endurance 6
1700	1715	VO2 Max 13
1715	1730	Tempo 12
1730	1745	Sprint 6
1745	1757	Tempo 13
1757	1777	VO2 Max 14
1777	1792	Endurance 7
1792	1877	Threshold 5
1877	1895	Tempo 14
1895	2135	Tempo 15
2135	2375	Sweet Spot 1
2375	2615	Tempo 16
2615	2855	Sweet Spot 2
2855	3095	Sweet Spot 3
3095	3122	Tempo 17
3122	3142	VO2 Max 15
3142	3167	Endurance 8
3167	3187	VO2 Max 16
3187	3202	Tempo 18
3202	3222	VO2 Max 17
3222	3230	Tempo 19
3230	3235	Tempo 20
3235	3245	VO2 Max 18
3245	3250	Tempo 21
3250	3260	Sprint 7
3260	3265	Tempo 22
3265	3275	VO2 Max 19
3275	3280	Tempo 23
3280	3290	VO2 Max 20
3290	3305	Tempo 24
3305	3315	Sprint 8
3315	3320	Tempo 25
3320	3330	VO2 Max 21
3330	3345	Tempo 26
3345	3355	VO2 Max 22
3355	3365	Tempo 27
3365	3375	Sprint 9
3375	3380	Tempo 28
3380	3390	VO2 Max 23
3390	3415	Tempo 29
3415	3425	Sprint 10
3425	3430	Tempo 30
3430	3440	VO2 Max 24
3440	3445	Tempo 31
3445	3455	VO2 Max 25
3455	3460	Tempo 32
3460	3470	Sprint 11
3470	3495	Tempo 33
3495	3505	VO2 Max 26
3505	3510	Tempo 34
3510	3520	VO2 Max 27
3520	3535	Endurance 9
3535	3545	Sprint 12
3545	3550	Tempo 35
3550	3560	VO2 Max 28
3560	3565	Tempo 36
3565	3575	VO2 Max 29
3575	3590	Tempo 37
3590	3600	Sprint 13
3600	3610	Tempo 38
3610	3630	VO2 Max 30
3630	3645	Tempo 39
3645	3665	VO2 Max 31
3665	3680	Tempo 40
3680	3700	VO2 Max 32
3700	3730	Endurance 10
3730	3780	Threshold 6
3780	3840	Endurance 11
3840	3915	Threshold 7
3915	3965	Endurance 12
3965	4055	VO2 Max 33
4055	4083	Endurance 13
4083	4233	Sweet Spot 4
4233	4383	Sweet Spot 5
4383	4533	Sweet Spot 6
4533	4683	Sweet Spot 7
4683	4725	Endurance 14
4725	4825	Threshold 8
4825	4870	Endurance 15
4870	4965	Threshold 9
4965	5000	Tempo 41
