[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Carpathian Peak +3,89,139. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
8	60
8	85
13	105
13	40
18	40
18	40
18.5	95
18.5	95
19.5	95
19.5	95
20.5	105
20.5	105
21.5	105
21.5	105
22.5	95
22.5	95
23.5	95
23.5	95
24.5	105
24.5	105
25.5	105
25.5	105
26.5	95
26.5	95
27.5	95
27.5	95
28.5	105
28.5	105
29.5	105
29.5	105
30.5	95
30.5	95
31.5	95
31.5	95
32.5	105
32.5	105
33.5	105
33.5	105
34.5	95
34.5	95
35.5	95
35.5	95
36.5	105
36.5	105
37.5	105
37.5	105
38.5	95
38.5	40
48.5	40
48.5	40
49	95
49	95
50	95
50	95
51	105
51	105
52	105
52	105
53	95
53	95
54	95
54	95
55	105
55	105
56	105
56	105
57	95
57	95
58	95
58	95
59	105
59	105
60	105
60	105
61	95
61	95
62	95
62	95
63	105
63	105
64	105
64	105
65	95
65	95
66	95
66	95
67	105
67	105
68	105
68	105
69	95
69	40
79	40
79	40
79.5	95
79.5	95
80.5	95
80.5	95
81.5	105
81.5	105
82.5	105
82.5	105
83.5	95
83.5	95
84.5	95
84.5	95
85.5	105
85.5	105
86.5	105
86.5	105
87.5	95
87.5	95
88.5	95
88.5	95
89.5	105
89.5	105
90.5	105
90.5	105
91.5	95
91.5	95
92.5	95
92.5	95
93.5	105
93.5	105
94.5	105
94.5	105
95.5	95
95.5	95
96.5	95
96.5	95
97.5	105
97.5	105
98.5	105
98.5	105
99.5	95
99.5	40
105	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	6300	Workout
480	780	Sweet Spot 1
1110	1170	Sweet Spot 2
1170	1230	Threshold 1
1230	1290	Threshold 2
1290	1350	Threshold 3
1350	1410	Sweet Spot 3
1410	1470	Threshold 4
1470	1530	Threshold 5
1530	1590	Threshold 6
1590	1650	Sweet Spot 4
1650	1710	Threshold 7
1710	1770	Threshold 8
1770	1830	Threshold 9
1830	1890	Sweet Spot 5
1890	1950	Threshold 10
1950	2010	Threshold 11
2010	2070	Threshold 12
2070	2130	Sweet Spot 6
2130	2190	Threshold 13
2190	2250	Threshold 14
2250	2310	Threshold 15
2940	3000	Sweet Spot 7
3000	3060	Threshold 16
3060	3120	Threshold 17
3120	3180	Threshold 18
3180	3240	Sweet Spot 8
3240	3300	Threshold 19
3300	3360	Threshold 20
3360	3420	Threshold 21
3420	3480	Sweet Spot 9
3480	3540	Threshold 22
3540	3600	Threshold 23
3600	3660	Threshold 24
3660	3720	Sweet Spot 10
3720	3780	Threshold 25
3780	3840	Threshold 26
3840	3900	Threshold 27
3900	3960	Sweet Spot 11
3960	4020	Threshold 28
4020	4080	Threshold 29
4080	4140	Threshold 30
4770	4830	Sweet Spot 12
4830	4890	Threshold 31
4890	4950	Threshold 32
4950	5010	Threshold 33
5010	5070	Sweet Spot 13
5070	5130	Threshold 34
5130	5190	Threshold 35
5190	5250	Threshold 36
5250	5310	Sweet Spot 14
5310	5370	Threshold 37
5370	5430	Threshold 38
5430	5490	Threshold 39
5490	5550	Sweet Spot 15
5550	5610	Threshold 40
5610	5670	Threshold 41
5670	5730	Threshold 42
5730	5790	Sweet Spot 16
5790	5850	Threshold 43
5850	5910	Threshold 44
5910	5970	Threshold 45
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

