[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = English +2,92,126. Created by 32607.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
15	96
15	10
16	10
16	50
20.83	50
20.83	70
21	127
21	127
22.16	127
22.16	30
22.83	30
22.83	70
23	127
23	127
24.16	127
24.16	30
24.83	30
24.83	70
25	127
25	127
26.16	127
26.16	30
26.83	30
26.83	70
27	127
27	127
28.16	127
28.16	29
28.83	29
28.83	70
29	127
29	127
30.16	127
30.16	29
30.83	29
30.83	70
31	127
31	127
32.16	127
32.16	29
32.83	29
32.83	70
33	127
33	127
34.16	127
34.16	50
42	50
42	70
42.16	127
42.16	127
43.33	127
43.33	30
44	30
44	70
44.16	127
44.16	127
45.33	127
45.33	30
46	30
46	70
46.16	127
46.16	127
47.33	127
47.33	30
48	30
48	70
48.16	127
48.16	128
49.33	128
49.33	30
50	30
50	70
50.16	127
50.16	127
51.33	127
51.33	30
52	30
52	70
52.16	127
52.16	127
53.33	127
53.33	30
54	30
54	70
54.16	127
54.16	127
55.33	127
55.33	50
63.16	50
63.16	70
63.33	127
63.33	127
64.5	127
64.5	30
65.16	30
65.16	70
65.33	127
65.33	127
66.5	127
66.5	30
67.16	30
67.16	70
67.33	127
67.33	127
68.5	127
68.5	30
69.16	30
69.16	70
69.33	127
69.33	128
70.5	128
70.5	30
71.16	30
71.16	70
71.33	127
71.33	127
72.5	127
72.5	30
73.16	30
73.16	70
73.33	127
73.33	127
74.5	127
74.5	30
75.16	30
75.16	70
75.33	127
75.33	127
76.5	127
76.5	50
90	40
[END COURSE DATA]

[COURSE TEXT]
0	Let's kick things off with a full 20 minutes of warmup	5	0	0	72	16777215	10
0	Just keep your spin quick & light...	5	0	0	72	16777215	17
0	for these first 6 minutes	3	0	0	72	16777215	24
360	Time to ramp things up a little...	5	0	0	72	16777215	0
360	further your warmup & open your lungs a bit	5	0	0	72	16777215	7
360	Try to keep your spin above 85rpm...	5	0	0	72	16777215	14
360	higher if it's reasonably comfortable	5	0	0	72	16777215	21
720	Final 3 minutes of your warmup, right next to FTP	5	0	0	72	16777215	0
720	Increase your spin to 90rpm or higher...	5	0	0	72	16777215	7
720	if you're not already spinning that quickly	5	0	0	72	16777215	14
720	And draw long, full belly-breaths...	5	0	0	72	16777215	21
720	then completely empty your lungs	5	0	0	72	16777215	28
720	Establish this breathing pattern now...	5	0	0	72	16777215	50
720	you'll need it later	3	0	0	72	16777215	57
900	Good, feel free to backpedal for a minute...	5	0	0	72	16777215	0
900	and check your HRR if you're using the LSCT warmup	5	0	0	72	16777215	7
900	Or simply pedal really lightly...	5	0	0	72	16777215	14
900	for a minute while your breathing comes down	5	0	0	72	16777215	21
960	Get ready for yet another anaerobic offering...	5	0	0	72	16777215	0
960	at a power output which often correlates closely...	5	0	0	72	16777215	7
960	with many riders' Maximum Aerobic Power (MAP)	5	0	0	72	16777215	14
960	The power in a VO2max Test where riders start to fade very rapidly...	5	0	0	72	16777215	21
960	or they simply decide they can't tolerate any more pain	5	0	0	72	16777215	28
960	But regardless of YOUR personal MAP...	5	0	0	72	16777215	35
960	this FTP percentage will put us close enough	5	0	0	72	16777215	42
960	Then we'll couple this very high but repeatable workload...	5	0	0	72	16777215	49
960	with some pretty short recovery valleys ...	5	0	0	72	16777215	56
960	such that you'll maintain a high breathing rate...	5	0	0	72	16777215	63
960	throughout each set of intervals	5	0	0	72	16777215	70
960	And all of this is entirely by design...	5	0	0	72	16777215	77
960	because when you rest for a couple minutes between intervals...	5	0	0	72	16777215	84
960	your breathing rate falls sharply	5	0	0	72	16777215	91
960	Not desirable when trying to operate at or near VO2 Max	5	0	0	72	16777215	98
960	So by reducing these recovery durations...	5	0	0	72	16777215	105
960	your O2 uptakes stays higher than usual...	5	0	0	72	16777215	112
960	and your body spends more time operating near VO2 Max...	5	0	0	72	16777215	119
960	or the point where oxygen uptake is peaked	5	0	0	72	16777215	126
960	This elicits a strong adaptive response...	5	0	0	72	16777215	133
960	so while painful, these intervals are highly productive...	5	0	0	72	16777215	140
960	and just short enough to remain tolerable	5	0	0	72	16777215	147
960	We'll ramp into your first effort in a minute	5	0	0	72	16777215	230
960	so establish a quick but sustainable spin...	5	0	0	72	16777215	237
960	well before the interval begins	5	0	0	72	16777215	244
960	Ideally you'll spin in the 90-100rpm range	5	0	0	72	16777215	251
960	In terms of format...	3	0	0	72	16777215	258
960	each interval begins with a 10-second ramp...	5	0	0	72	16777215	263
960	followed by 70 seconds of effort...	5	0	0	72	16777215	270
960	and then 40 seconds of easy spinning...	5	0	0	72	16777215	277
960	over & over again	3	0	0	72	16777215	283
1250	Start to build your speed & power...	5	0	0	72	16777215	2
1260	and settle in to your first of 7 repeats	5	0	0	72	16777215	0
1260	If you can spin at 100rpm or higher without bouncing...	5	0	0	72	16777215	7
1260	keep your legs that quick...	5	0	0	72	16777215	14
1260	but keep your breathing deep & slow...	5	0	0	72	16777215	21
1260	as best you can, anyway	3	0	0	72	16777215	28
1260	10 more seconds, hang on!	3	0	0	72	16777215	60
1330	Good, keep spinning or backpedal briefly	5	0	0	72	16777215	0
1330	You can get away with about 20 seconds...	5	0	0	72	16777215	10
1330	worth of backpedaling during these breaks	5	0	0	72	16777215	17
1330	But make sure you're spinning forward by 20 seconds to go	5	0	0	72	16777215	24
1330	Spinning forward, comfortably quickly	5	0	0	72	16777215	30
1330	Quick, smooth, relaxed	3	0	0	72	16777215	52
1370	Ramp things up again & breathe deeply...	5	0	0	72	16777215	2
1380	and settle into a quick, aerobic spin	5	0	0	72	16777215	0
1380	Keep your knees pumping like pistons...	5	0	0	72	16777215	7
1380	straight up & straight down	3	0	0	72	16777215	14
1380	And draw big, belly-breaths the whole time	5	0	0	72	16777215	21
1380	10 more seconds!	3	0	0	72	16777215	60
1450	Ease off the gas, backpedal if necessary	5	0	0	72	16777215	0
1450	Spin forward if you aren't already	5	0	0	72	16777215	20
1490	Work your leg speed & power back up...	5	0	0	72	16777215	2
1500	and draw full breaths with your belly	5	0	0	72	16777215	0
1500	Just as importantly...	3	0	0	72	16777215	7
1500	completely clear your lungs with each exhale	5	0	0	72	16777215	12
1500	The more effectively you exhale...	5	0	0	72	16777215	19
1500	the better you'll clear the waste	5	0	0	72	16777215	26
1500	10 seconds! Don't fade	2	0	0	72	16777215	60
1570	Ease up, backpedal & bring your HR down a bit	5	0	0	72	16777215	0
1570	Make sure you're spinning forward, nice & quick	5	0	0	72	16777215	20
1610	Anchor both sit bones & pick it up	5	0	0	72	16777215	2
1620	Manage your fatigue by breathing exceptionally well...	5	0	0	72	16777215	0
1620	because even though the watts are in AN-aerobic territory...	5	0	0	72	16777215	7
1620	these efforts are HIGHLY aerobic...	5	0	0	72	16777215	14
1620	lots of oxygen being utilized	5	0	0	72	16777215	21
1620	They'll get increasingly aerobic as the set continues too	5	0	0	72	16777215	28
1620	Hang in there for 10 more seconds!	3	0	0	72	16777215	60
1690	Good, over the halfway mark!	5	0	0	72	16777215	0
1690	Backpedal briefly or spin lightly	5	0	0	72	16777215	7
1690	Quick spin, forward if you were backpedaling	5	0	0	72	16777215	20
