[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Blue +2,86,148. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	150
15	150
15	10
16	10
16	40
20	40
20	152
20.5	152
20.5	67
21	75
21	75
21.08	75
21.08	109
21.25	109
21.25	75
21.33	75
21.33	109
21.5	109
21.5	75
21.58	75
21.58	117
21.75	117
21.75	70
21.91	70
21.91	112
22.08	112
22.08	75
22.16	75
22.16	107
22.41	107
22.41	75
22.5	75
22.5	114
22.66	114
22.66	67
22.91	67
22.91	109
23.16	109
23.16	75
23.41	75
23.41	112
23.66	112
23.66	72
23.91	72
23.91	99
24.41	99
24.41	64
24.66	64
24.66	110
25	110
25	75
25.25	75
25.25	105
25.75	105
25.75	70
26.16	70
26.16	113
26.58	113
26.58	72
26.83	72
26.83	111
27.16	111
27.16	75
27.41	75
27.41	106
27.91	106
27.91	62
28.33	62
28.33	112
28.58	112
28.58	75
28.83	75
28.83	119
29.08	119
29.08	75
29.28	75
29.28	111
29.61	111
29.61	57
29.86	57
29.86	91
31.28	91
31.28	73
32.03	73
32.03	114
32.36	114
32.36	67
32.78	67
32.78	107
33.11	107
33.11	75
33.36	75
33.36	114
33.7	114
33.7	75
33.83	75
33.83	75
33.91	75
33.91	112
34.08	112
34.08	75
34.16	75
34.16	117
34.33	117
34.33	75
34.41	75
34.41	112
34.58	112
34.58	75
34.66	75
34.66	112
34.83	112
34.83	84
38.83	84
38.83	86
42.83	86
42.83	80
46.83	80
46.83	86
50.83	86
50.83	90
54.83	90
54.83	132
55	132
55	75
55.08	75
55.08	112
55.25	112
55.25	75
55.5	75
55.5	112
55.66	112
55.66	75
55.83	75
55.83	127
56	127
56	75
56.08	75
56.08	112
56.25	112
56.25	72
56.66	72
56.66	122
56.83	122
56.83	75
56.91	75
56.91	112
57.08	112
57.08	75
57.16	75
57.16	112
57.33	112
57.33	75
57.41	75
57.41	122
57.58	122
57.58	75
58	75
58	107
58.16	107
58.16	75
58.25	75
58.25	107
58.41	107
58.41	70
58.66	70
58.66	117
58.83	117
58.83	75
58.91	75
58.91	112
59.08	112
59.08	75
59.16	75
59.16	112
59.33	112
59.33	72
59.58	72
59.58	122
59.75	122
59.75	75
59.91	75
59.91	115
60.25	115
60.25	75
60.5	75
60.5	110
60.83	110
60.83	71
61.08	71
61.08	105
61.41	105
61.41	52
61.91	52
61.91	100
62.75	100
62.75	65
63.75	65
63.75	95
65	95
65	90
67.5	90
67.5	86
70	86
70	92
72.5	92
72.5	95
75	95
75	104
76.58	104
76.58	62
78.75	62
78.75	93
80.41	93
80.41	52
81.16	52
81.16	92
82.75	92
82.75	72
83.33	72
83.33	112
83.58	112
83.58	67
84.16	67
84.16	106
84.58	106
84.58	75
84.83	75
84.83	114
85.25	114
85.25	64
85.5	64
85.5	102
85.91	102
85.91	72
86.16	72
86.16	99
86.58	99
86.58	75
86.83	75
86.83	108
87.25	108
87.25	57
87.5	57
87.5	103
87.91	103
87.91	52
88.16	52
88.16	93
89.58	93
89.58	57
89.81	57
89.81	84
93.81	84
93.81	86
97.81	86
97.81	80
101.81	80
101.81	86
105.81	86
105.81	90
109.81	90
109.81	57
110.33	57
110.33	110
110.58	110
110.58	75
110.83	75
110.83	106
111.08	106
111.08	72
111.33	72
111.33	112
111.58	112
111.58	75
111.66	75
111.66	112
111.83	112
111.83	75
111.91	75
111.91	114
112.16	114
112.16	67
112.58	67
112.58	122
112.75	122
112.75	75
112.83	75
112.83	112
113	112
113	75
113.08	75
113.08	112
113.25	112
113.25	75
113.33	75
113.33	112
113.66	112
113.66	72
113.91	72
113.91	112
114.08	112
114.08	75
114.16	75
114.16	109
114.5	109
114.5	72
114.66	72
114.66	132
115	132
115	40
120	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	7200	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1230	Sprint 4
1230	1260	Endurance 2
1260	1265	Endurance 3
1265	1275	VO2 Max 1
1275	1280	Endurance 4
1280	1290	VO2 Max 2
1290	1295	Endurance 5
1295	1305	VO2 Max 3
1305	1315	Endurance 6
1315	1325	VO2 Max 4
1325	1330	Endurance 7
1330	1345	VO2 Max 5
1345	1350	Endurance 8
1350	1360	VO2 Max 6
1360	1375	Endurance 9
1375	1390	VO2 Max 7
1390	1405	Endurance 10
1405	1420	VO2 Max 8
1420	1435	Endurance 11
1435	1465	Threshold 4
1465	1480	Endurance 12
1480	1500	VO2 Max 9
1500	1515	Endurance 13
1515	1545	Threshold 5
1545	1570	Endurance 14
1570	1595	VO2 Max 10
1595	1610	Endurance 15
1610	1630	VO2 Max 11
1630	1645	Endurance 16
1645	1675	VO2 Max 12
1675	1700	Endurance 17
1700	1715	VO2 Max 13
1715	1730	Endurance 18
1730	1745	VO2 Max 14
1745	1757	Endurance 19
1757	1777	VO2 Max 15
1777	1792	Endurance 20
1792	1877	Sweet Spot 1
1877	1922	Endurance 21
1922	1942	VO2 Max 16
1942	1967	Endurance 22
1967	1987	VO2 Max 17
1987	2002	Endurance 23
2002	2022	VO2 Max 18
2022	2030	Endurance 24
2030	2035	Endurance 25
2035	2045	VO2 Max 19
2045	2050	Endurance 26
2050	2060	VO2 Max 20
2060	2065	Endurance 27
2065	2075	VO2 Max 21
2075	2080	Endurance 28
2080	2090	VO2 Max 22
2090	2330	Tempo 1
2330	2570	Sweet Spot 2
2570	2810	Tempo 2
2810	3050	Sweet Spot 3
3050	3290	Sweet Spot 4
3290	3300	Sprint 5
3300	3305	Endurance 29
3305	3315	VO2 Max 23
3315	3330	Endurance 30
3330	3340	VO2 Max 24
3340	3350	Endurance 31
3350	3360	Sprint 6
3360	3365	Endurance 32
3365	3375	VO2 Max 25
3375	3400	Endurance 33
3400	3410	Sprint 7
3410	3415	Endurance 34
3415	3425	VO2 Max 26
3425	3430	Endurance 35
3430	3440	VO2 Max 27
3440	3445	Endurance 36
3445	3455	Sprint 8
3455	3480	Endurance 37
3480	3490	VO2 Max 28
3490	3495	Endurance 38
3495	3505	VO2 Max 29
3505	3520	Endurance 39
3520	3530	VO2 Max 30
3530	3535	Endurance 40
3535	3545	VO2 Max 31
3545	3550	Endurance 41
3550	3560	VO2 Max 32
3560	3575	Endurance 42
3575	3585	Sprint 9
3585	3595	Endurance 43
3595	3615	VO2 Max 33
3615	3630	Endurance 44
3630	3650	VO2 Max 34
3650	3665	Endurance 45
3665	3685	Threshold 6
3685	3715	Active Recovery 1
3715	3765	Threshold 7
3765	3825	Endurance 46
3825	3900	Sweet Spot 5
3900	4050	Sweet Spot 6
4050	4200	Sweet Spot 7
4200	4350	Sweet Spot 8
4350	4500	Sweet Spot 9
4500	4595	Threshold 8
4595	4725	Endurance 47
4725	4825	Sweet Spot 10
4825	4870	Active Recovery 2
4870	4965	Sweet Spot 11
4965	5000	Endurance 48
5000	5015	VO2 Max 35
5015	5050	Endurance 49
