[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Blood +2,92,171. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	150
15	150
15	10
16	10
16	40
20	40
20	165
20.5	165
20.5	80
21	88
21	88
21.08	88
21.08	122
21.25	122
21.25	88
21.33	88
21.33	122
21.5	122
21.5	88
21.58	88
21.58	130
21.75	130
21.75	83
21.91	83
21.91	125
22.08	125
22.08	88
22.16	88
22.16	120
22.41	120
22.41	88
22.5	88
22.5	127
22.66	127
22.66	80
22.91	80
22.91	122
23.16	122
23.16	88
23.41	88
23.41	125
23.66	125
23.66	85
23.91	85
23.91	112
24.41	112
24.41	77
24.66	77
24.66	123
25	123
25	88
25.25	88
25.25	118
25.75	118
25.75	83
26.16	83
26.16	126
26.58	126
26.58	85
26.83	85
26.83	124
27.16	124
27.16	88
27.41	88
27.41	119
27.91	119
27.91	75
28.33	75
28.33	125
28.58	125
28.58	88
28.83	88
28.83	132
29.08	132
29.08	88
29.28	88
29.28	124
29.61	124
29.61	70
29.86	70
29.86	104
31.28	104
31.28	86
31.58	86
31.58	84
35.58	84
35.58	86
39.58	86
39.58	80
43.58	80
43.58	86
47.58	86
47.58	90
51.58	90
51.58	86
52.03	86
52.03	127
52.36	127
52.36	80
52.78	80
52.78	120
53.11	120
53.11	88
53.36	88
53.36	127
53.7	127
53.7	88
53.83	88
53.83	88
53.91	88
53.91	125
54.08	125
54.08	88
54.16	88
54.16	130
54.33	130
54.33	88
54.41	88
54.41	125
54.58	125
54.58	88
54.66	88
54.66	125
54.83	125
54.83	85
55.08	85
55.08	145
55.25	145
55.25	88
55.33	88
55.33	125
55.5	125
55.5	88
55.75	88
55.75	125
55.91	125
55.91	88
56.08	88
56.08	140
56.25	140
56.25	88
56.33	88
56.33	125
56.5	125
56.5	85
56.91	85
56.91	135
57.08	135
57.08	88
57.16	88
57.16	125
57.33	125
57.33	88
57.41	88
57.41	125
57.58	125
57.58	88
57.66	88
57.66	135
57.83	135
57.83	88
58.25	88
58.25	120
58.41	120
58.41	88
58.5	88
58.5	120
58.66	120
58.66	83
58.91	83
58.91	130
59.08	130
59.08	88
59.16	88
59.16	125
59.33	125
59.33	88
59.41	88
59.41	125
59.58	125
59.58	85
59.83	85
59.83	135
60	135
60	88
60.16	88
60.16	128
60.5	128
60.5	88
60.75	88
60.75	123
61.08	123
61.08	84
61.33	84
61.33	118
61.66	118
61.66	65
62.16	65
62.16	113
63	113
63	78
64	78
64	108
65.25	108
65.25	70
66.08	70
66.08	117
67.58	117
67.58	75
67.9	75
67.9	90
70.4	90
70.4	86
72.9	86
72.9	92
75.4	92
75.4	95
77.9	95
77.9	75
78.75	75
78.75	106
80.41	106
80.41	65
81.16	65
81.16	105
82.75	105
82.75	85
83.33	85
83.33	125
83.58	125
83.58	80
84.16	80
84.16	119
84.58	119
84.58	88
84.83	88
84.83	127
85.25	127
85.25	77
85.5	77
85.5	115
85.91	115
85.91	85
86.16	85
86.16	112
86.58	112
86.58	88
86.83	88
86.83	121
87.25	121
87.25	70
87.5	70
87.5	116
87.91	116
87.91	65
88.16	65
88.16	106
89.58	106
89.58	70
89.81	70
89.81	84
93.81	84
93.81	86
97.81	86
97.81	80
101.81	80
101.81	86
105.81	86
105.81	90
109.81	90
109.81	70
110.33	70
110.33	123
110.58	123
110.58	88
110.83	88
110.83	119
111.08	119
111.08	85
111.33	85
111.33	125
111.58	125
111.58	88
111.66	88
111.66	125
111.83	125
111.83	88
111.91	88
111.91	127
112.16	127
112.16	80
112.58	80
112.58	135
112.75	135
112.75	88
112.83	88
112.83	125
113	125
113	88
113.08	88
113.08	125
113.25	125
113.25	88
113.33	88
113.33	125
113.66	125
113.66	85
113.91	85
113.91	125
114.08	125
114.08	88
114.16	88
114.16	122
114.5	122
114.5	85
114.66	85
114.66	145
115	145
115	40
120	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	7200	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1230	Sprint 4
1230	1260	Tempo 1
1260	1265	Sweet Spot 1
1265	1275	Sprint 5
1275	1280	Sweet Spot 2
1280	1290	Sprint 6
1290	1295	Sweet Spot 3
1295	1305	Sprint 7
1305	1315	Tempo 2
1315	1325	Sprint 8
1325	1330	Sweet Spot 4
1330	1345	VO2 Max 1
1345	1350	Sweet Spot 5
1350	1360	Sprint 9
1360	1375	Tempo 3
1375	1390	Sprint 10
1390	1405	Sweet Spot 6
1405	1420	Sprint 11
1420	1435	Sweet Spot 7
1435	1465	VO2 Max 2
1465	1480	Tempo 4
1480	1500	Sprint 12
1500	1515	Sweet Spot 8
1515	1545	VO2 Max 3
1545	1570	Tempo 5
1570	1595	Sprint 13
1595	1610	Sweet Spot 9
1610	1630	Sprint 14
1630	1645	Sweet Spot 10
1645	1675	VO2 Max 4
1675	1700	Endurance 2
1700	1715	Sprint 15
1715	1730	Sweet Spot 11
1730	1745	Sprint 16
1745	1757	Sweet Spot 12
1757	1777	Sprint 17
1777	1792	Endurance 3
1792	1877	Threshold 4
1877	1895	Sweet Spot 13
1895	2135	Tempo 6
2135	2375	Sweet Spot 14
2375	2615	Tempo 7
2615	2855	Sweet Spot 15
2855	3095	Sweet Spot 16
3095	3122	Sweet Spot 17
3122	3142	Sprint 18
3142	3167	Tempo 8
3167	3187	VO2 Max 5
3187	3202	Sweet Spot 18
3202	3222	Sprint 19
3222	3230	Sweet Spot 19
3230	3235	Sweet Spot 20
3235	3245	Sprint 20
3245	3250	Sweet Spot 21
3250	3260	Sprint 21
3260	3265	Sweet Spot 22
3265	3275	Sprint 22
3275	3280	Sweet Spot 23
3280	3290	Sprint 23
3290	3305	Sweet Spot 24
3305	3315	Sprint 24
3315	3320	Sweet Spot 25
3320	3330	Sprint 25
3330	3345	Sweet Spot 26
3345	3355	Sprint 26
3355	3365	Sweet Spot 27
3365	3375	Sprint 27
3375	3380	Sweet Spot 28
3380	3390	Sprint 28
3390	3415	Sweet Spot 29
3415	3425	Sprint 29
3425	3430	Sweet Spot 30
3430	3440	Sprint 30
3440	3445	Sweet Spot 31
3445	3455	Sprint 31
3455	3460	Sweet Spot 32
3460	3470	Sprint 32
3470	3495	Sweet Spot 33
3495	3505	VO2 Max 6
3505	3510	Sweet Spot 34
3510	3520	VO2 Max 7
3520	3535	Tempo 9
3535	3545	Sprint 33
3545	3550	Sweet Spot 35
3550	3560	Sprint 34
3560	3565	Sweet Spot 36
3565	3575	Sprint 35
3575	3590	Sweet Spot 37
3590	3600	Sprint 36
3600	3610	Sweet Spot 38
3610	3630	Sprint 37
3630	3645	Sweet Spot 39
3645	3665	Sprint 38
3665	3680	Tempo 10
3680	3700	VO2 Max 8
3700	3730	Endurance 4
3730	3780	VO2 Max 9
3780	3840	Tempo 11
3840	3915	VO2 Max 10
3915	3965	Endurance 5
3965	4055	VO2 Max 11
4055	4074	Endurance 6
