[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Barnard +1,95,90. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
8	65
8	115
8.5	115
8.5	50
9.5	50
9.5	125
10	125
10	45
11	45
11	135
11.5	135
11.5	40
12.5	40
12.5	140
13	140
13	40
15	40
15	125
15.66	125
15.66	40
16	40
16	125
16.66	125
16.66	40
17	40
17	130
17.66	130
17.66	40
18	40
18	135
18.66	135
18.66	40
19	40
19	130
19.66	130
19.66	50
23	50
23	126
23.66	126
23.66	40
24	40
24	130
24.66	130
24.66	40
25	40
25	135
25.66	135
25.66	40
26	40
26	140
26.66	140
26.66	40
27	40
27	135
27.66	135
27.66	45
30	45
30	130
30.66	130
30.66	40
31	40
31	135
31.66	135
31.66	40
32	40
32	140
32.66	140
32.66	40
33	40
33	140
33.66	140
33.66	40
34	40
34	135
34.66	135
34.66	40
36	40
36	125
36.66	125
36.66	40
37	40
37	125
37.66	125
37.66	40
38	40
38	130
38.66	130
38.66	40
39	40
39	135
39.66	135
39.66	40
40	40
40	130
40.66	130
40.66	45
43	45
43	135
43.66	135
43.66	40
44	40
44	140
44.66	140
44.66	40
45	40
45	135
45.66	135
45.66	40
46	40
46	140
46.66	140
46.66	40
47	40
47	135
47.66	135
47.66	50
51	50
51	140
51.66	140
51.66	40
52	40
52	135
52.66	135
52.66	40
53	40
53	135
53.66	135
53.66	40
54	40
54	130
54.66	130
54.66	40
55	40
55	135
55.66	135
55.66	40
60	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	3600	Workout
480	510	VO2 Max 1
570	600	Sprint 1
660	690	Sprint 2
750	780	Sprint 3
900	940	Anaerobic Capacity 1
960	1000	Anaerobic Capacity 2
1020	1060	Anaerobic Capacity 3
1080	1120	Anaerobic Capacity 4
1140	1180	Anaerobic Capacity 5
1380	1420	Anaerobic Capacity 6
1440	1480	Anaerobic Capacity 7
1500	1540	Anaerobic Capacity 8
1560	1600	Anaerobic Capacity 9
1620	1660	Anaerobic Capacity 10
1800	1840	Anaerobic Capacity 11
1860	1900	Anaerobic Capacity 12
1920	1960	Anaerobic Capacity 13
1980	2020	Anaerobic Capacity 14
2040	2080	Anaerobic Capacity 15
2160	2200	Anaerobic Capacity 16
2220	2260	Anaerobic Capacity 17
2280	2320	Anaerobic Capacity 18
2340	2380	Anaerobic Capacity 19
2400	2440	Anaerobic Capacity 20
2580	2620	Anaerobic Capacity 21
2640	2680	Anaerobic Capacity 22
2700	2740	Anaerobic Capacity 23
2760	2800	Anaerobic Capacity 24
2820	2860	Anaerobic Capacity 25
3060	3100	Anaerobic Capacity 26
3120	3160	Anaerobic Capacity 27
3180	3220	Anaerobic Capacity 28
3240	3280	Anaerobic Capacity 29
3300	3340	Anaerobic Capacity 30
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

