[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Barnard -1,87,95. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
10	65
10	110
10.5	110
10.5	50
11.5	50
11.5	120
12	120
12	45
13	45
13	130
13.5	130
13.5	40
14.5	40
14.5	135
15	135
15	40
17	40
17	120
17.66	120
17.66	40
18	40
18	120
18.66	120
18.66	40
19	40
19	125
19.66	125
19.66	40
20	40
20	130
20.66	130
20.66	40
21	40
21	125
21.66	125
21.66	50
27	50
27	120
27.66	120
27.66	40
28	40
28	125
28.66	125
28.66	40
29	40
29	130
29.66	130
29.66	40
30	40
30	135
30.66	135
30.66	40
31	40
31	130
31.66	130
31.66	45
36	45
36	125
36.66	125
36.66	40
37	40
37	130
37.66	130
37.66	40
38	40
38	135
38.66	135
38.66	40
39	40
39	135
39.66	135
39.66	40
40	40
40	130
40.66	130
40.66	40
44	40
44	120
44.66	120
44.66	40
45	40
45	120
45.66	120
45.66	40
46	40
46	125
46.66	125
46.66	40
47	40
47	130
47.66	130
47.66	40
48	40
48	125
48.66	125
48.66	45
53	45
53	130
53.66	130
53.66	40
54	40
54	135
54.66	135
54.66	40
55	40
55	130
55.66	130
55.66	40
56	40
56	135
56.66	135
56.66	40
57	40
57	130
57.66	130
57.66	50
63	50
63	135
63.66	135
63.66	40
64	40
64	130
64.66	130
64.66	40
65	40
65	130
65.66	130
65.66	40
66	40
66	125
66.66	125
66.66	40
67	40
67	130
67.66	130
67.66	40
75	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	4500	Workout
600	630	VO2 Max 1
690	720	VO2 Max 2
780	810	Sprint 1
870	900	Sprint 2
1020	1060	VO2 Max 3
1080	1120	VO2 Max 4
1140	1180	Anaerobic Capacity 1
1200	1240	Anaerobic Capacity 2
1260	1300	Anaerobic Capacity 3
1620	1660	VO2 Max 5
1680	1720	Anaerobic Capacity 4
1740	1780	Anaerobic Capacity 5
1800	1840	Anaerobic Capacity 6
1860	1900	Anaerobic Capacity 7
2160	2200	Anaerobic Capacity 8
2220	2260	Anaerobic Capacity 9
2280	2320	Anaerobic Capacity 10
2340	2380	Anaerobic Capacity 11
2400	2440	Anaerobic Capacity 12
2640	2680	VO2 Max 6
2700	2740	VO2 Max 7
2760	2800	Anaerobic Capacity 13
2820	2860	Anaerobic Capacity 14
2880	2920	Anaerobic Capacity 15
3180	3220	Anaerobic Capacity 16
3240	3280	Anaerobic Capacity 17
3300	3340	Anaerobic Capacity 18
3360	3400	Anaerobic Capacity 19
3420	3460	Anaerobic Capacity 20
3780	3820	Anaerobic Capacity 21
3840	3880	Anaerobic Capacity 22
3900	3940	Anaerobic Capacity 23
3960	4000	Anaerobic Capacity 24
4020	4060	Anaerobic Capacity 25
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

