[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Isolation -1,91,137. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
5	50
5	72
10	72
10	96
10.75	96
10.75	125
11	125
11	96
11.75	96
11.75	125
12	125
12	96
12.75	96
12.75	125
13	125
13	10
14	10
14	40
18	40
18	88
18.25	88
18.25	125
18.5	125
18.5	88
18.75	88
18.75	125
19	125
19	88
19.25	88
19.25	125
19.5	125
19.5	88
20	88
20	125
20.25	125
20.25	88
20.5	88
20.5	125
20.75	125
20.75	88
21	88
21	125
21.25	125
21.25	88
21.5	88
21.5	125
21.75	125
21.75	88
22.25	88
22.25	125
22.5	125
22.5	88
22.75	88
22.75	125
23	125
23	88
23.25	88
23.25	125
23.5	125
23.5	88
23.75	88
23.75	125
24	125
24	40
27	40
27	88
27.25	88
27.25	125
27.5	125
27.5	88
27.75	88
27.75	125
28	125
28	88
28.25	88
28.25	125
28.5	125
28.5	88
28.75	88
28.75	125
29	125
29	88
29.5	88
29.5	125
29.75	125
29.75	88
30	88
30	125
30.25	125
30.25	88
30.5	88
30.5	125
30.75	125
30.75	88
31	88
31	125
31.25	125
31.25	88
31.5	88
31.5	125
31.75	125
31.75	88
32.25	88
32.25	125
32.5	125
32.5	88
32.75	88
32.75	125
33	125
33	88
33.25	88
33.25	125
33.5	125
33.5	88
33.75	88
33.75	125
34	125
34	40
37.5	40
37.5	88
37.75	88
37.75	125
38	125
38	88
38.25	88
38.25	125
38.5	125
38.5	88
38.75	88
38.75	125
39	125
39	88
39.25	88
39.25	125
39.5	125
39.5	88
39.75	88
39.75	125
40	125
40	88
40.5	88
40.5	125
40.75	125
40.75	88
41	88
41	125
41.25	125
41.25	88
41.5	88
41.5	125
41.75	125
41.75	88
42	88
42	125
42.25	125
42.25	88
42.5	88
42.5	125
42.75	125
42.75	88
43	88
43	125
43.25	125
43.25	88
43.75	88
43.75	125
44	125
44	88
44.25	88
44.25	125
44.5	125
44.5	88
44.75	88
44.75	125
45	125
45	88
45.25	88
45.25	125
45.5	125
45.5	40
49.5	40
49.5	88
49.75	88
49.75	125
50	125
50	88
50.25	88
50.25	125
50.5	125
50.5	88
50.75	88
50.75	125
51	125
51	88
51.25	88
51.25	125
51.5	125
51.5	88
51.75	88
51.75	125
52	125
52	88
52.5	88
52.5	125
52.75	125
52.75	88
53	88
53	125
53.25	125
53.25	88
53.5	88
53.5	125
53.75	125
53.75	88
54	88
54	125
54.25	125
54.25	88
54.5	88
54.5	125
54.75	125
54.75	88
55.25	88
55.25	125
55.5	125
55.5	88
55.75	88
55.75	125
56	125
56	88
56.25	88
56.25	125
56.5	125
56.5	88
56.75	88
56.75	125
57	125
57	88
57.5	88
57.5	125
57.75	125
57.75	88
58	88
58	125
58.25	125
58.25	88
58.5	88
58.5	125
58.75	125
58.75	40
63.25	40
63.25	88
63.5	88
63.5	125
63.75	125
63.75	88
64	88
64	125
64.25	125
64.25	88
64.5	88
64.5	125
64.75	125
64.75	88
65	88
65	125
65.25	125
65.25	88
65.5	88
65.5	125
65.75	125
65.75	88
66.25	88
66.25	125
66.5	125
66.5	88
66.75	88
66.75	125
67	125
67	88
67.25	88
67.25	125
67.5	125
67.5	88
67.75	88
67.75	125
68	125
68	88
68.25	88
68.25	125
68.5	125
68.5	88
68.75	88
68.75	125
69	125
69	88
69.5	88
69.5	125
69.75	125
69.75	88
70	88
70	125
70.25	125
70.25	88
70.5	88
70.5	125
70.75	125
70.75	88
71	88
71	125
71.25	125
71.25	40
75.25	40
75.25	88
75.5	88
75.5	125
75.75	125
75.75	88
76	88
76	125
76.25	125
76.25	88
76.5	88
76.5	125
76.75	125
76.75	88
77.25	88
77.25	125
77.5	125
77.5	88
77.75	88
77.75	125
78	125
78	88
78.25	88
78.25	125
78.5	125
78.5	88
78.75	88
78.75	125
79	125
79	88
79.5	88
79.5	125
79.75	125
79.75	88
80	88
80	125
80.25	125
80.25	88
80.5	88
80.5	125
80.75	125
80.75	88
81.25	88
81.25	125
81.5	125
81.5	88
81.75	88
81.75	125
82	125
82	88
82.25	88
82.25	125
82.5	125
82.5	40
86	40
86	88
86.25	88
86.25	125
86.5	125
86.5	88
86.75	88
86.75	125
87	125
87	88
87.25	88
87.25	125
87.5	125
87.5	88
87.75	88
87.75	125
88	125
88	88
88.5	88
88.5	125
88.75	125
88.75	88
89	88
89	125
89.25	125
89.25	88
89.5	88
89.5	125
89.75	125
89.75	88
90.25	88
90.25	125
90.5	125
90.5	88
90.75	88
90.75	125
91	125
91	88
91.25	88
91.25	125
91.5	125
91.5	88
91.75	88
91.75	125
92	125
92	40
100	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	6000	Workout
0	300	Active Recovery 1
300	600	Endurance 1
600	645	Threshold 1
645	660	Sprint 1
660	705	Threshold 2
705	720	Sprint 2
720	765	Threshold 3
765	780	Sprint 3
1080	1095	Sweet Spot 1
1095	1110	Sprint 4
1110	1125	Sweet Spot 2
1125	1140	Sprint 5
1140	1155	Sweet Spot 3
1155	1170	Sprint 6
1170	1200	Sweet Spot 4
1200	1215	Sprint 7
1215	1230	Sweet Spot 5
1230	1245	Sprint 8
1245	1260	Sweet Spot 6
1260	1275	Sprint 9
1275	1290	Sweet Spot 7
1290	1305	Sprint 10
1305	1335	Sweet Spot 8
1335	1350	Sprint 11
1350	1365	Sweet Spot 9
1365	1380	Sprint 12
1380	1395	Sweet Spot 10
1395	1410	Sprint 13
1410	1425	Sweet Spot 11
1425	1440	Sprint 14
1620	1635	Sweet Spot 12
1635	1650	Sprint 15
1650	1665	Sweet Spot 13
1665	1680	Sprint 16
1680	1695	Sweet Spot 14
1695	1710	Sprint 17
1710	1725	Sweet Spot 15
1725	1740	Sprint 18
1740	1770	Sweet Spot 16
1770	1785	Sprint 19
1785	1800	Sweet Spot 17
1800	1815	Sprint 20
1815	1830	Sweet Spot 18
1830	1845	Sprint 21
1845	1860	Sweet Spot 19
1860	1875	Sprint 22
1875	1890	Sweet Spot 20
1890	1905	Sprint 23
1905	1935	Sweet Spot 21
1935	1950	Sprint 24
1950	1965	Sweet Spot 22
1965	1980	Sprint 25
1980	1995	Sweet Spot 23
1995	2010	Sprint 26
2010	2025	Sweet Spot 24
2025	2040	Sprint 27
2250	2265	Sweet Spot 25
2265	2280	Sprint 28
2280	2295	Sweet Spot 26
2295	2310	Sprint 29
2310	2325	Sweet Spot 27
2325	2340	Sprint 30
2340	2355	Sweet Spot 28
2355	2370	Sprint 31
2370	2385	Sweet Spot 29
2385	2400	Sprint 32
2400	2430	Sweet Spot 30
2430	2445	Sprint 33
2445	2460	Sweet Spot 31
2460	2475	Sprint 34
2475	2490	Sweet Spot 32
2490	2505	Sprint 35
2505	2520	Sweet Spot 33
2520	2535	Sprint 36
2535	2550	Sweet Spot 34
2550	2565	Sprint 37
2565	2580	Sweet Spot 35
2580	2595	Sprint 38
2595	2625	Sweet Spot 36
2625	2640	Sprint 39
2640	2655	Sweet Spot 37
2655	2670	Sprint 40
2670	2685	Sweet Spot 38
2685	2700	Sprint 41
2700	2715	Sweet Spot 39
2715	2730	Sprint 42
