[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Sufferfest Blender,92,148. Created by 1380.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	60
7.73	60
7.73	110
8.16	110
8.16	74
9.68	74
9.68	86
12.2	86
12.2	98
13.21	98
13.21	110
14.23	110
14.23	40
15.66	40
15.66	90
15.95	90
15.95	105
16.41	105
16.41	90
21.8	90
21.8	100
22.43	100
22.43	90
25.66	90
25.66	40
27.73	40
27.73	117
29.73	117
29.73	40
31.66	40
31.66	93
32.93	93
32.93	100
33.2	100
33.2	93
34	93
34	100
34.41	100
34.41	93
34.73	93
34.73	100
35.7	100
35.7	93
37.55	93
37.55	100
38.18	100
38.18	93
39.66	93
39.66	40
41.66	40
41.66	105
42.81	105
42.81	117
43.56	117
43.56	105
45.66	105
45.66	40
47.7	40
47.7	96
50.1	96
50.1	104
50.53	104
50.53	96
53.7	96
53.7	104
53.7	104
53.7	40
57.65	40
57.65	122
58.31	122
58.31	40
58.65	40
58.65	122
59.31	122
59.31	40
59.65	40
59.65	122
60.31	122
60.31	40
60.65	40
60.65	122
61.31	122
61.31	40
61.7	40
61.7	122
62.36	122
62.36	40
62.7	40
62.7	122
63.51	122
63.51	40
65.53	40
65.53	132
66.03	132
66.03	40
66.56	40
66.56	132
67.06	132
67.06	40
67.58	40
67.58	132
68.13	132
68.13	40
68.63	40
68.63	132
69.15	132
69.15	40
69.65	40
69.65	132
70.16	132
70.16	40
70.66	40
70.66	132
71.23	132
71.23	40
73.23	40
73.23	40
73.25	40
73.25	147
73.6	147
73.6	40
74.28	40
74.28	147
74.63	147
74.63	40
75.3	40
75.3	147
75.65	147
75.65	40
76.31	40
76.31	147
76.7	147
76.7	40
77.36	40
77.36	147
77.73	147
77.73	40
78.4	40
78.4	147
78.73	147
78.73	40
82.53	40
82.53	100
86.46	100
86.46	40
87.46	40
87.46	100
91.46	100
91.46	40
92.46	40
92.46	100
96.83	100
96.83	40
104.45	40
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	6267	Workout
0	464	Endurance 1
464	490	VO2 Max 1
490	581	Endurance 2
581	732	Sweet Spot 1
732	793	Threshold 1
793	854	VO2 Max 2
940	957	Sweet Spot 2
957	985	Threshold 2
985	1308	Sweet Spot 3
1308	1346	Threshold 3
1346	1540	Sweet Spot 4
1664	1784	VO2 Max 3
1900	1976	Sweet Spot 5
1976	1992	Threshold 4
1992	2040	Sweet Spot 6
2040	2065	Threshold 5
2065	2084	Sweet Spot 7
2084	2142	Threshold 6
2142	2253	Sweet Spot 8
2253	2291	Threshold 7
2291	2380	Sweet Spot 9
2500	2569	Threshold 8
2569	2614	VO2 Max 4
2614	2740	Threshold 9
2862	3006	Threshold 10
3006	3032	Threshold 11
3032	3222	Threshold 12
3459	3499	Anaerobic Capacity 1
3519	3559	Anaerobic Capacity 2
3579	3619	Anaerobic Capacity 3
3639	3679	Anaerobic Capacity 4
3702	3742	Anaerobic Capacity 5
3762	3811	Anaerobic Capacity 6
3932	3962	Sprint 1
3994	4024	Sprint 2
4055	4088	Anaerobic Capacity 7
4118	4149	Anaerobic Capacity 8
4179	4210	Anaerobic Capacity 9
4240	4274	Anaerobic Capacity 10
4395	4416	Sprint 3
4457	4478	Sprint 4
4518	4539	Sprint 5
4579	4602	Sprint 6
4642	4664	Sprint 7
4704	4724	Sprint 8
4952	5188	Threshold 13
5248	5488	Threshold 14
5548	5810	Threshold 15
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

