[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Sufferfest TBTITW,93,69. Created by 11407.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	40
3.83	40
3.83	50
6.13	50
6.13	60
7.36	60
7.36	70
8.55	70
8.55	95
9.88	95
9.88	61
10.56	61
10.56	107
11.56	107
11.56	61
12.56	61
12.56	107
13.56	107
13.56	51
14.1	51
14.1	71
14.61	71
14.61	61
14.86	61
14.86	141
15.01	141
15.01	71
15.36	71
15.36	121
15.65	121
15.65	71
16.05	71
16.05	121
16.88	121
16.88	111
17.2	111
17.2	61
18.3	61
18.3	111
18.75	111
18.75	81
19	81
19	116
19.93	116
19.93	111
20.33	111
20.33	81
20.5	81
20.5	111
20.81	111
20.81	121
21.36	121
21.36	61
22.38	61
22.38	71
22.48	71
22.48	61
22.86	61
22.86	116
23.35	116
23.35	111
23.86	111
23.86	131
24.25	131
24.25	136
24.41	136
24.41	111
24.88	111
24.88	136
25.13	136
25.13	81
25.4	81
25.4	106
25.76	106
25.76	51
25.88	51
25.88	141
26.13	141
26.13	106
26.88	106
26.88	81
27.05	81
27.05	101
27.13	101
27.13	81
27.18	81
27.18	101
27.26	101
27.26	81
27.38	81
27.38	131
27.63	131
27.63	40
30.65	40
30.65	60
32.38	60
32.38	130
32.65	130
32.65	55
33.38	55
33.38	130
34.38	130
34.38	55
35.38	55
35.38	100
35.73	100
35.73	115
35.85	115
35.85	100
36.23	100
36.23	110
36.6	110
36.6	115
36.68	115
36.68	110
37.01	110
37.01	100
37.38	100
37.38	120
38.16	120
38.16	85
38.4	85
38.4	75
39.11	75
39.11	35
39.51	35
39.51	115
39.88	115
39.88	120
40.51	120
40.51	130
40.78	130
40.78	115
40.98	115
40.98	120
41.08	120
41.08	115
41.48	115
41.48	130
41.85	130
41.85	105
42.51	105
42.51	115
43.51	115
43.51	125
44.01	125
44.01	140
44.25	140
44.25	40
47.26	40
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	2836	Workout
368	442	Endurance 1
442	513	Endurance 2
513	593	Sweet Spot 1
593	634	Endurance 3
634	694	VO2 Max 1
694	754	Endurance 4
754	814	VO2 Max 2
814	846	Active Recovery 1
846	877	Endurance 5
877	892	Endurance 6
892	901	Sprint 1
901	922	Endurance 7
922	939	Sprint 2
939	963	Endurance 8
963	1013	Anaerobic Capacity 1
1013	1032	VO2 Max 3
1032	1098	Endurance 9
1098	1125	VO2 Max 4
1125	1140	Tempo 1
1140	1196	VO2 Max 5
1196	1220	VO2 Max 6
1220	1230	Tempo 2
1230	1249	VO2 Max 7
1249	1282	Anaerobic Capacity 2
1282	1343	Endurance 10
1343	1349	Endurance 11
1349	1372	Endurance 12
1372	1401	VO2 Max 8
1401	1432	VO2 Max 9
1432	1455	Sprint 3
1455	1465	Sprint 4
1465	1493	VO2 Max 10
1493	1508	Sprint 5
1508	1524	Tempo 3
1524	1546	VO2 Max 11
1546	1553	Active Recovery 2
1553	1568	Sprint 6
1568	1613	VO2 Max 12
1613	1623	Tempo 4
1623	1628	Threshold 1
1628	1631	Tempo 5
1631	1636	Threshold 2
1636	1643	Tempo 6
1643	1658	Sprint 7
1839	1943	Endurance 13
1943	1959	Sprint 8
1959	2003	Endurance 14
2003	2063	Anaerobic Capacity 3
2063	2123	Endurance 15
2123	2144	Threshold 3
2144	2151	VO2 Max 13
2151	2174	Threshold 4
2174	2196	VO2 Max 14
2196	2201	VO2 Max 15
2201	2221	VO2 Max 16
2221	2243	Threshold 5
2243	2290	VO2 Max 17
2290	2304	Sweet Spot 2
2304	2347	Endurance 16
2371	2393	VO2 Max 18
2393	2431	VO2 Max 19
2431	2447	Sprint 9
2447	2459	VO2 Max 20
2459	2465	VO2 Max 21
2465	2489	VO2 Max 22
2489	2511	Sprint 10
2511	2551	Threshold 6
2551	2611	VO2 Max 23
2611	2641	Sprint 11
2641	2655	Sprint 12
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

