[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Sufferfest Do As You're Told,93,64. Created by 11407.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	40
4.8	40
4.8	60
7.25	60
7.25	80
8.21	80
8.21	85
8.58	85
8.58	50
9.6	50
9.6	93
10.58	93
10.58	50
11.58	50
11.58	100
12.6	100
12.6	40
13.85	40
13.85	60
14.58	60
14.58	110
14.75	110
14.75	40
14.91	40
14.91	115
15.26	115
15.26	40
15.6	40
15.6	138
16.1	138
16.1	40
16.6	40
16.6	138
17.26	138
17.26	40
17.93	40
17.93	133
18.11	133
18.11	138
18.28	138
18.28	133
18.7	133
18.7	138
18.76	138
18.76	40
19.6	40
19.6	128
19.85	128
19.85	133
20.06	133
20.06	138
20.35	138
20.35	133
20.6	133
20.6	40
21.6	40
21.6	133
22.43	133
22.43	40
23.26	40
23.26	138
23.95	138
23.95	143
24.03	143
24.03	130
24.1	130
24.1	40
24.76	40
24.76	138
25.01	138
25.01	143
25.26	143
25.26	40
25.76	40
25.76	133
26.11	133
26.11	88
26.35	88
26.35	158
26.61	158
26.61	40
28.85	40
28.85	68
29.61	68
29.61	158
29.85	158
29.85	40
30.68	40
30.68	158
31.03	158
31.03	40
31.68	40
31.68	138
32.2	138
32.2	40
32.7	40
32.7	138
33.36	138
33.36	40
33.7	40
33.7	133
34.31	133
34.31	138
34.45	138
34.45	133
34.53	133
34.53	40
34.68	40
34.68	113
35.7	113
35.7	40
36.58	40
36.58	50
36.7	50
36.7	133
36.96	133
36.96	138
37.06	138
37.06	133
37.53	133
37.53	40
37.7	40
37.7	138
38.36	138
38.36	40
38.7	40
38.7	138
39	138
39	143
39.08	143
39.08	138
39.2	138
39.2	40
39.4	40
39.4	68
39.65	68
39.65	88
39.9	88
39.9	108
40.2	108
40.2	158
40.53	158
40.53	60
41.05	60
41.05	158
41.51	158
41.51	40
44.6	40
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	2676	Workout
288	435	Endurance 1
435	493	Tempo 1
493	515	Sweet Spot 1
576	635	Sweet Spot 2
695	756	Threshold 1
831	875	Endurance 2
875	885	VO2 Max 1
895	916	VO2 Max 2
936	966	Sprint 1
996	1036	Anaerobic Capacity 1
1076	1087	Sprint 2
1087	1097	Sprint 3
1097	1122	Sprint 4
1122	1126	Sprint 5
1176	1191	Sprint 6
1191	1204	Sprint 7
1204	1221	Sprint 8
1221	1236	Sprint 9
1296	1346	Anaerobic Capacity 2
1396	1437	Anaerobic Capacity 3
1437	1442	Sprint 10
1442	1446	Sprint 11
1486	1501	Sprint 12
1501	1516	Sprint 13
1546	1567	Sprint 14
1567	1581	Sweet Spot 3
1581	1597	Sprint 15
1731	1777	Endurance 3
1777	1791	Sprint 16
1841	1862	Sprint 17
1901	1932	Anaerobic Capacity 4
1962	2002	Anaerobic Capacity 5
2022	2059	Anaerobic Capacity 6
2059	2067	Sprint 18
2067	2072	Sprint 19
2081	2142	VO2 Max 3
2202	2218	Sprint 20
2218	2224	Sprint 21
2224	2252	Sprint 22
2262	2302	Anaerobic Capacity 7
2322	2340	Sprint 23
2340	2345	Sprint 24
2345	2352	Sprint 25
2364	2379	Endurance 4
2379	2394	Sweet Spot 4
2394	2412	VO2 Max 4
2412	2432	Sprint 26
2432	2463	Endurance 5
2463	2491	Sprint 27
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

