[COURSE HEADER]
VERSION = 2
UNITS = ENGLISH
DESCRIPTION = Agassiz - 3 sets of 3x2min Peak & Fade Power Intervals from 140-120%FT; 1RBI/6RBS.
FILE NAME = NS60AN103_PFPowerIntervals1_9x2m.mrc
MINUTES	FTP	LTHR	RPE
[END COURSE HEADER]

[COURSE DATA]
0.00	50	60.71	3.5
4.00	50	60.71	3.5
4.00	95	98.33	7.5
7.00	95	98.33	7.5
7.00	40	48.57	3
10.00	40	48.57	3
10.00	120	107.88	10
11.00	120	107.88	10
11.00	40	48.57	3
12.00	40	48.57	3
12.00	130	109.23	10
13.00	130	109.23	10
13.00	40	48.57	3
14.00	40	48.57	3
14.00	140	109.48	10
15.00	140	109.48	10
15.00	40	48.57	3
20.00	40	48.57	3
20.00	140	109.48	10
20.75	140	109.48	10
22.00	120	107.88	10
22.00	40	48.57	3
23.00	40	48.57	3
23.00	140	109.48	10
23.75	140	109.48	10
25.00	120	107.88	10
25.00	40	48.57	3
26.00	40	48.57	3
26.00	140	109.48	10
26.75	140	109.48	10
28.00	120	107.88	10
28.00	40	48.57	3
34.00	40	48.57	3
34.00	140	109.48	10
35.00	140	109.48	10
36.00	120	107.88	10
36.00	40	48.57	3
37.00	40	48.57	3
37.00	140	109.48	10
38.00	140	109.48	10
39.00	120	107.88	10
39.00	40	48.57	3
40.00	40	48.57	3
40.00	140	109.48	10
41.00	140	109.48	10
42.00	120	107.88	10
42.00	40	48.57	3
48.00	40	48.57	3
48.00	140	109.48	10
48.75	140	109.48	10
50.00	120	107.88	10
50.00	40	48.57	3
51.00	40	48.57	3
51.00	140	109.48	10
51.75	140	109.48	10
53.00	120	107.88	10
53.00	40	48.57	3
54.00	40	48.57	3
54.00	140	109.48	10
54.75	140	109.48	10
56.00	120	107.88	10
56.00	40	48.57	3
60.00	40	48.57	3
[END COURSE DATA]

[INTERVAL DATA]
0	3600	Workout
240	420	Warmup 1
600	660	Warmup 2
720	780	Warmup 3
840	900	Warmup 4
1200	1320	Interval 1:1
1380	1500	Interval 1:2
1560	1680	Interval 1:3
2040	2160	Interval 2:1
2220	2340	Interval 2:2
2400	2520	Interval 2:3
2880	3000	Interval 3:1
3060	3180	Interval 3:2
3240	3360	Interval 3:3
[END INTERVAL DATA]
