[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Russell,94,89. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	40
4	50
4	95
4.8	95
4.8	120
5	120
5	95
5.5	95
5.5	150
5.6	150
5.6	95
6	95
6	40
9.5	40
9.5	40
10	95
10	95
12	95
12	120
12.2	120
12.2	95
12.8	95
12.8	120
13	120
13	95
14.2	95
14.2	150
14.3	150
14.3	95
14.6	95
14.6	150
14.7	150
14.7	95
16	95
16	120
16.2	120
16.2	95
16.4	95
16.4	120
16.6	120
16.6	95
16.8	95
16.8	120
17	120
17	95
18.4	95
18.4	150
18.5	150
18.5	95
19	95
19	150
19.1	150
19.1	95
19.5	95
19.5	150
19.6	150
19.6	95
20	95
20	40
21.5	40
21.5	40
22	95
22	95
22.5	95
22.5	120
22.7	120
22.7	95
23	95
23	120
23.2	120
23.2	95
23.8	95
23.8	120
24	120
24	95
26	95
26	150
26.1	150
26.1	95
26.7	95
26.7	150
26.8	150
26.8	95
27.8	95
27.8	120
28	120
28	95
30	95
30	120
30.2	120
30.2	95
30.8	95
30.8	120
31	120
31	95
32	95
32	40
33.5	40
33.5	40
34	95
34	95
35	95
35	150
35.1	150
35.1	95
37	95
37	150
37.1	150
37.1	95
37.5	95
37.5	150
37.6	150
37.6	95
38	95
38	150
38.1	150
38.1	95
39.3	95
39.3	120
39.5	120
39.5	95
40	95
40	120
40.2	120
40.2	95
43	95
43	120
43.2	120
43.2	95
43.5	95
43.5	120
43.7	120
43.7	95
44	95
44	40
45.5	40
45.5	40
46	95
46	95
47.5	95
47.5	150
47.6	150
47.6	95
48	95
48	120
48.2	120
48.2	95
48.5	95
48.5	120
48.7	120
48.7	95
50	95
50	150
50.1	150
50.1	95
50.5	95
50.5	120
50.7	120
50.7	95
51	95
51	120
51.2	120
51.2	95
53	95
53	150
53.1	150
53.1	95
53.5	95
53.5	120
53.7	120
53.7	95
54	95
54	120
54.2	120
54.2	95
56	95
56	40
60	40
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	3600	Workout
240	288	Sweet Spot 1
288	300	VO2 Max 1
300	330	Sweet Spot 2
330	336	Sprint 1
336	360	Sweet Spot 3
600	720	Sweet Spot 4
720	732	VO2 Max 2
732	768	Sweet Spot 5
768	780	VO2 Max 3
780	852	Sweet Spot 6
852	858	Sprint 2
858	876	Sweet Spot 7
876	882	Sprint 3
882	960	Sweet Spot 8
960	972	VO2 Max 4
972	984	Sweet Spot 9
984	996	VO2 Max 5
996	1008	Sweet Spot 10
1008	1020	VO2 Max 6
1020	1104	Sweet Spot 11
1104	1110	Sprint 4
1110	1140	Sweet Spot 12
1140	1146	Sprint 5
1146	1170	Sweet Spot 13
1170	1176	Sprint 6
1176	1200	Sweet Spot 14
1320	1350	Sweet Spot 15
1350	1362	VO2 Max 7
1362	1380	Sweet Spot 16
1380	1392	VO2 Max 8
1392	1428	Sweet Spot 17
1428	1440	VO2 Max 9
1440	1560	Sweet Spot 18
1560	1566	Sprint 7
1566	1602	Sweet Spot 19
1602	1608	Sprint 8
1608	1668	Sweet Spot 20
1668	1680	VO2 Max 10
1680	1800	Sweet Spot 21
1800	1812	VO2 Max 11
1812	1848	Sweet Spot 22
1848	1860	VO2 Max 12
1860	1920	Sweet Spot 23
2040	2100	Sweet Spot 24
2100	2106	Sprint 9
2106	2220	Sweet Spot 25
2220	2226	Sprint 10
2226	2250	Sweet Spot 26
2250	2256	Sprint 11
2256	2280	Sweet Spot 27
2280	2286	Sprint 12
2286	2358	Sweet Spot 28
2358	2370	VO2 Max 13
2370	2400	Sweet Spot 29
2400	2412	VO2 Max 14
2412	2580	Sweet Spot 30
2580	2592	VO2 Max 15
2592	2610	Sweet Spot 31
2610	2622	VO2 Max 16
2622	2640	Sweet Spot 32
2760	2850	Sweet Spot 33
2850	2856	Sprint 13
2856	2880	Sweet Spot 34
2880	2892	VO2 Max 17
2892	2910	Sweet Spot 35
2910	2922	VO2 Max 18
2922	3000	Sweet Spot 36
3000	3006	Sprint 14
3006	3030	Sweet Spot 37
3030	3042	VO2 Max 19
3042	3060	Sweet Spot 38
3060	3072	VO2 Max 20
3072	3180	Sweet Spot 39
3180	3186	Sprint 15
3186	3210	Sweet Spot 40
3210	3222	VO2 Max 21
3222	3240	Sweet Spot 41
3240	3252	VO2 Max 22
3252	3360	Sweet Spot 42
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

