[COURSE HEADER]
VERSION = 2
UNITS = ENGLISH
DESCRIPTION = Polemonium - 5x2min Power Intervals @ 130%FT/2R + 5x3min varied OverUnders @ 95-110%FT/2R; 8RBS.
FILE NAME = NS60RS091_PIs+OUs1_10x2-3.mrc
MINUTES	FTP	LTHR	RPE
[END COURSE HEADER]

[COURSE DATA]
0	50	60.71	3.5
4	50	60.71	3.5
4	90	95.00	7
6	100	101.67	8
6	40	48.57	3
7	40	48.57	3
7	120	107.88	10
8	120	107.88	10
8	40	48.57	3
8.5	40	48.57	3
8.5	130	109.23	10
9.5	130	109.23	10
9.5	40	48.57	3
14	40	48.57	3
14	130	109.23	10
16	130	109.23	10
16	40	48.57	3
18	40	48.57	3
18	130	109.23	10
20	130	109.23	10
20	40	48.57	3
22	40	48.57	3
22	130	109.23	10
24	130	109.23	10
24	40	48.57	3
26	40	48.57	3
26	130	109.23	10
28	130	109.23	10
28	40	48.57	3
30	40	48.57	3
30	130	109.23	10
32	130	109.23	10
32	40	48.57	3
35	40	48.57	3
35	95	98.33	7.5
36	95	98.33	7.5
36	110	106.63	9
38	110	106.63	9
38	40	48.57	3
40	40	48.57	3
40	110	106.63	9
42	110	106.63	9
42	95	98.33	7.5
43	95	98.33	7.5
43	40	48.57	3
45	40	48.57	3
45	95	98.33	7.5
46	95	98.33	7.5
46	110	106.63	9
48	110	106.63	9
48	40	48.57	3
50	40	48.57	3
50	110	106.63	9
52	110	106.63	9
52	95	98.33	7.5
53	95	98.33	7.5
53	40	48.57	3
55	40	48.57	3
55	110	106.63	9
57	110	106.63	9
57	95	98.33	7.5
58	95	98.33	7.5
58	40	48.57	3
60	40	48.57	3
[END COURSE DATA]

[INTERVAL DATA]
0	3600	Workout
240	360	Interval 1
420	480	Interval 2
510	570	Interval 3
840	960	Interval 4
1080	1200	Interval 5
1320	1440	Interval 6
1560	1680	Interval 7
1800	1920	Interval 8
2100	2280	Interval 9
2400	2580	Interval 10
2700	2880	Interval 11
3000	3180	Interval 12
3300	3480	Interval 13
[END INTERVAL DATA]
