[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Nevada City Classic,100,100. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
4	60
4	70
4.25	70
4.25	100
4.75	100
4.75	80
5	80
5	100
5.75	100
5.75	70
6.25	70
6.25	40
11.25	40
11.25	89
11.5	89
11.5	129
12	129
12	109
12.25	109
12.25	129
13	129
13	89
13.5	89
13.5	40
14.25	40
14.25	89
14.5	89
14.5	119
15	119
15	109
15.25	109
15.25	119
16	119
16	89
16.5	89
16.5	40
17.25	40
17.25	89
17.5	89
17.5	119
18	119
18	109
18.25	109
18.25	119
19	119
19	89
19.5	89
19.5	40
20.25	40
20.25	89
20.5	89
20.5	139
21	139
21	109
21.25	109
21.25	139
22	139
22	89
22.5	89
22.5	40
23.25	40
23.25	89
23.5	89
23.5	129
24	129
24	109
24.25	109
24.25	129
25	129
25	89
25.5	89
25.5	40
26.25	40
26.25	89
26.5	89
26.5	119
27	119
27	109
27.25	109
27.25	119
28	119
28	89
28.5	89
28.5	40
29.25	40
29.25	89
29.5	89
29.5	129
30	129
30	109
30.25	109
30.25	129
31	129
31	89
31.5	89
31.5	40
32.25	40
32.25	89
32.5	89
32.5	119
33	119
33	109
33.25	109
33.25	119
34	119
34	89
34.5	89
34.5	40
35.25	40
35.25	89
35.5	89
35.5	139
36	139
36	109
36.25	109
36.25	139
37	139
37	89
37.5	89
37.5	40
38.25	40
38.25	89
38.5	89
38.5	129
39	129
39	109
39.25	109
39.25	129
40	129
40	89
40.5	89
40.5	40
41.25	40
41.25	89
41.5	89
41.5	119
42	119
42	109
42.25	109
42.25	119
43	119
43	89
43.5	89
43.5	40
44.25	40
44.25	89
44.5	89
44.5	119
45	119
45	109
45.25	109
45.25	119
46	119
46	89
46.5	89
46.5	40
47.25	40
47.25	89
47.5	89
47.5	129
48	129
48	109
48.25	109
48.25	129
49	129
49	89
49.5	89
49.5	40
50.25	40
50.25	89
50.5	89
50.5	139
51	139
51	109
51.25	109
51.25	139
52	139
52	89
52.5	89
52.5	40
53.25	40
53.25	89
53.5	89
53.5	139
54	139
54	109
54.25	109
54.25	139
55	139
55	89
55.5	89
55.5	40
60	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	3600	Workout
240	255	Endurance 1
255	285	Threshold 1
285	300	Tempo 1
300	345	Threshold 2
345	375	Endurance 2
675	690	Sweet Spot 1
690	720	Sprint 1
720	735	VO2 Max 1
735	780	Anaerobic Capacity 1
780	810	Sweet Spot 2
855	870	Sweet Spot 3
870	900	VO2 Max 2
900	915	VO2 Max 3
915	960	VO2 Max 4
960	990	Sweet Spot 4
1035	1050	Sweet Spot 5
1050	1080	VO2 Max 5
1080	1095	VO2 Max 6
1095	1140	VO2 Max 7
1140	1170	Sweet Spot 6
1215	1230	Sweet Spot 7
1230	1260	Sprint 2
1260	1275	VO2 Max 8
1275	1320	Anaerobic Capacity 2
1320	1350	Sweet Spot 8
1395	1410	Sweet Spot 9
1410	1440	Sprint 3
1440	1455	VO2 Max 9
1455	1500	Anaerobic Capacity 3
1500	1530	Sweet Spot 10
1575	1590	Sweet Spot 11
1590	1620	VO2 Max 10
1620	1635	VO2 Max 11
1635	1680	VO2 Max 12
1680	1710	Sweet Spot 12
1755	1770	Sweet Spot 13
1770	1800	Sprint 4
1800	1815	VO2 Max 13
1815	1860	Anaerobic Capacity 4
1860	1890	Sweet Spot 14
1935	1950	Sweet Spot 15
1950	1980	VO2 Max 14
1980	1995	VO2 Max 15
1995	2040	VO2 Max 16
2040	2070	Sweet Spot 16
2115	2130	Sweet Spot 17
2130	2160	Sprint 5
2160	2175	VO2 Max 17
2175	2220	Anaerobic Capacity 5
2220	2250	Sweet Spot 18
2295	2310	Sweet Spot 19
2310	2340	Sprint 6
2340	2355	VO2 Max 18
2355	2400	Anaerobic Capacity 6
2400	2430	Sweet Spot 20
2475	2490	Sweet Spot 21
2490	2520	VO2 Max 19
2520	2535	VO2 Max 20
2535	2580	VO2 Max 21
2580	2610	Sweet Spot 22
2655	2670	Sweet Spot 23
2670	2700	VO2 Max 22
2700	2715	VO2 Max 23
2715	2760	VO2 Max 24
2760	2790	Sweet Spot 24
2835	2850	Sweet Spot 25
2850	2880	Sprint 7
2880	2895	VO2 Max 25
2895	2940	Anaerobic Capacity 7
2940	2970	Sweet Spot 26
3015	3030	Sweet Spot 27
3030	3060	Sprint 8
3060	3075	VO2 Max 26
3075	3120	Anaerobic Capacity 8
3120	3150	Sweet Spot 28
3195	3210	Sweet Spot 29
3210	3240	Sprint 9
3240	3255	VO2 Max 27
3255	3300	Anaerobic Capacity 9
3300	3330	Sweet Spot 30
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

