[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Barnard,92,84. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
8	65
8	110
8.5	110
8.5	50
9.5	50
9.5	120
10	120
10	45
11	45
11	130
11.5	130
11.5	40
12.5	40
12.5	135
13	135
13	40
15	40
15	120
15.66	120
15.66	40
16	40
16	120
16.66	120
16.66	40
17	40
17	125
17.66	125
17.66	40
18	40
18	130
18.66	130
18.66	40
19	40
19	125
19.66	125
19.66	50
23	50
23	120
23.66	120
23.66	40
24	40
24	125
24.66	125
24.66	40
25	40
25	130
25.66	130
25.66	40
26	40
26	135
26.66	135
26.66	40
27	40
27	130
27.66	130
27.66	45
30	45
30	125
30.66	125
30.66	40
31	40
31	130
31.66	130
31.66	40
32	40
32	135
32.66	135
32.66	40
33	40
33	135
33.66	135
33.66	40
34	40
34	130
34.66	130
34.66	40
36	40
36	120
36.66	120
36.66	40
37	40
37	120
37.66	120
37.66	40
38	40
38	125
38.66	125
38.66	40
39	40
39	130
39.66	130
39.66	40
40	40
40	125
40.66	125
40.66	45
43	45
43	130
43.66	130
43.66	40
44	40
44	135
44.66	135
44.66	40
45	40
45	130
45.66	130
45.66	40
46	40
46	135
46.66	135
46.66	40
47	40
47	130
47.66	130
47.66	50
51	50
51	135
51.66	135
51.66	40
52	40
52	130
52.66	130
52.66	40
53	40
53	130
53.66	130
53.66	40
54	40
54	125
54.66	125
54.66	40
55	40
55	130
55.66	130
55.66	40
60	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	3600	Workout
480	510	VO2 Max 1
570	600	VO2 Max 2
660	690	Sprint 1
750	780	Sprint 2
900	940	VO2 Max 3
960	1000	VO2 Max 4
1020	1060	Anaerobic Capacity 1
1080	1120	Anaerobic Capacity 2
1140	1180	Anaerobic Capacity 3
1380	1420	VO2 Max 5
1440	1480	Anaerobic Capacity 4
1500	1540	Anaerobic Capacity 5
1560	1600	Anaerobic Capacity 6
1620	1660	Anaerobic Capacity 7
1800	1840	Anaerobic Capacity 8
1860	1900	Anaerobic Capacity 9
1920	1960	Anaerobic Capacity 10
1980	2020	Anaerobic Capacity 11
2040	2080	Anaerobic Capacity 12
2160	2200	VO2 Max 6
2220	2260	VO2 Max 7
2280	2320	Anaerobic Capacity 13
2340	2380	Anaerobic Capacity 14
2400	2440	Anaerobic Capacity 15
2580	2620	Anaerobic Capacity 16
2640	2680	Anaerobic Capacity 17
2700	2740	Anaerobic Capacity 18
2760	2800	Anaerobic Capacity 19
2820	2860	Anaerobic Capacity 20
3060	3100	Anaerobic Capacity 21
3120	3160	Anaerobic Capacity 22
3180	3220	Anaerobic Capacity 23
3240	3280	Anaerobic Capacity 24
3300	3340	Anaerobic Capacity 25
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

