[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Keith ,92,126. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
4	50
4	80
6	80
6	90
8	90
8	100
10	100
10	40
14.5	40
14.5	40
15	95
15	95
15.75	95
15.75	110
16	110
16	95
16.75	95
16.75	110
17	110
17	95
17.75	95
17.75	110
18	110
18	95
18.75	95
18.75	110
19	110
19	95
19.75	95
19.75	110
20	110
20	100
20.75	100
20.75	120
21	120
21	100
21.75	100
21.75	120
22	120
22	100
22.75	100
22.75	120
23	120
23	105
23.75	105
23.75	130
24	130
24	105
24.75	105
24.75	130
25	130
25	40
29.5	40
29.5	40
30	95
30	95
30.75	95
30.75	115
31	115
31	95
31.75	95
31.75	115
32	115
32	95
32.75	95
32.75	115
33	115
33	95
33.75	95
33.75	115
34	115
34	95
34.75	95
34.75	115
35	115
35	100
35.75	100
35.75	125
36	125
36	100
36.75	100
36.75	125
37	125
37	100
37.75	100
37.75	125
38	125
38	105
38.75	105
38.75	135
39	135
39	105
39.75	105
39.75	135
40	135
40	40
44.5	40
44.5	40
45	95
45	95
45.75	95
45.75	110
46	110
46	95
46.75	95
46.75	110
47	110
47	95
47.75	95
47.75	110
48	110
48	95
48.75	95
48.75	110
49	110
49	95
49.75	95
49.75	110
50	110
50	100
50.75	100
50.75	120
51	120
51	100
51.75	100
51.75	120
52	120
52	100
52.75	100
52.75	120
53	120
53	105
53.75	105
53.75	130
54	130
54	105
54.75	105
54.75	130
55	130
55	40
59.5	40
59.5	40
60	95
60	95
60.75	95
60.75	115
61	115
61	95
61.75	95
61.75	115
62	115
62	95
62.75	95
62.75	115
63	115
63	95
63.75	95
63.75	115
64	115
64	95
64.75	95
64.75	115
65	115
65	100
65.75	100
65.75	125
66	125
66	100
66.75	100
66.75	125
67	125
67	100
67.75	100
67.75	125
68	125
68	105
68.75	105
68.75	135
69	135
69	105
69.75	105
69.75	135
70	135
70	40
74.5	40
74.5	40
75	95
75	95
75.75	95
75.75	110
76	110
76	95
76.75	95
76.75	110
77	110
77	95
77.75	95
77.75	110
78	110
78	95
78.75	95
78.75	110
79	110
79	95
79.75	95
79.75	110
80	110
80	100
80.75	100
80.75	120
81	120
81	100
81.75	100
81.75	120
82	120
82	100
82.75	100
82.75	120
83	120
83	105
83.75	105
83.75	130
84	130
84	105
84.75	105
84.75	130
85	130
85	40
90	40
[END COURSE DATA]

[COURSE TEXT]
0	Looking at the profile of this workout...	8	0	0	72	16777215	1
0	it's easy to see how you'll amass a ton of TSS in a hurry	8	0	0	72	16777215	10
0	This workout is tough, no reason to sugarcoat it	5	0	0	72	16777215	20
0	It will push you to your so-called limits and past them...	8	0	0	72	16777215	30
0	60 times to be exact	5	0	0	72	16777215	40
0	By the end of this workout, you'll have spent 20 minutes above FTP...	8	0	0	72	16777215	50
0	the majority of which is above 110% FTP	5	0	0	72	16777215	60
0	All of that being said, this workout is precisely designed...	8	0	0	72	16777215	70
0	to be barely but definitely achievable	5	0	0	72	16777215	80
0	So don't worry, you can do this & you've probably done harder things before	8	0	0	72	16777215	90
0	We'll even give you some tips on how to handle it	8	0	0	72	16777215	100
0	We'll chat after the warmup	5	0	0	72	16777215	110
240	Spin at 85rpm or higher	5	0	0	72	16777215	0
360	Spend a couple minutes at 90rpm or higher	8	0	0	72	16777215	0
480	Last couple minutes, 95rpm or higher...	8	0	0	72	16777215	0
480	but no bouncing	5	0	0	72	16777215	10
600	So the first thing to keep in mind is the number of sets	8	0	0	72	16777215	120
600	You have 5 sets of high intensity over-under intervals ahead...	8	0	0	72	16777215	130
600	and you have a finite amount of energy	8	0	0	72	16777215	140
600	So use it wisely!	5	0	0	72	16777215	150
600	Maintain a slightly higher cadence than normal...	8	0	0	72	16777215	160
600	and establish a strong and comfortable breathing rhythm	8	0	0	72	16777215	170
600	We'll let you work through this first set without too much advice	8	0	0	72	16777215	240
600	Just be prepared to work hard & take it a minute or two at a time	8	0	0	72	16777215	250
600	10 seconds left, quick adence & full breathing	8	0	0	72	16777215	260
870	Ramp up your power & cadence gradually	8	0	0	72	16777215	0
900	Shoot for a cadence in the 85-95rpm range during these "valleys"	8	0	0	72	16777215	0
945	WInd it up to 100rpm or higher for 15 seconds	8	0	0	72	16777215	0
960	And back down to that 85-95rpm range	8	0	0	72	16777215	0
1005	Pick it up & stay relaxed	5	0	0	72	16777215	0
1020	You've got the idea, we'll check back in soon	8	0	0	72	16777215	0
1200	Settle into a slightly higher effort level, same 85-95rpm spin	8	0	0	72	16777215	0
1245	100rpm or higher as long as you don't bounce around	8	0	0	72	16777215	0
1260	Smoothly back to 85-95rpm	5	0	0	72	16777215	0
1380	Settling in a little above your FTP, don't shy away from the pain	8	0	0	72	16777215	0
1425	15 seconds with even quicker legs	5	0	0	72	16777215	0
1440	Do your best to stay on top of your spin!	5	0	0	72	16777215	0
1485	Last kick, hang in there!	5	0	0	72	16777215	0
1500	Good start! Take it easy for a few minutes	8	0	0	72	16777215	10
1500	Spin easy & catch your breath	5	0	0	72	16777215	20
1500	OK, now let's talk about your cadence a bit	8	0	0	72	16777215	210
1500	Focusing on your technique is a great way...	8	0	0	72	16777215	220
1500	to make it through hard efforts like this - productive distraction	8	0	0	72	16777215	230
1500	Do your best to stay above 90rpm at all times except for the surges	8	0	0	72	16777215	240
1500	During the surges, jump up to above 100rpm, seated for now	8	0	0	72	16777215	250
1500	If you slow your cadence down, you're only hurting yourself	8	0	0	72	16777215	260
1770	Gradually ramp up your leg speed & power	8	0	0	72	16777215	0
1800	Try to keep that cadence between 85-95rpm	5	0	0	72	16777215	0
1845	+100rpm	3	0	0	72	16777215	0
1860	Back down to 85-95rpm	5	0	0	72	16777215	0
1905	If you find yourself bouncing, try to relax your lower legs	8	0	0	72	16777215	0
1920	Smooth & fast	5	0	0	72	16777215	0
1920	Steady pressure all the way around	5	0	0	72	16777215	7
1965	Spin!	8	0	0	72	16777215	0
1980	When the power decreases, keep your cadence high	8	0	0	72	16777215	0
1980	This will make it easier to transition to a different pace	8	0	0	72	16777215	10
2025	Push!	8	0	0	72	16777215	0
2100	A little higher now, stay relaxed	5	0	0	72	16777215	0
2145	Keep your cadence high and your body calm	8	0	0	72	16777215	0
2280	Keep calm and finish this out strongly	5	0	0	72	16777215	0
2325	Keep your cadence above 100rpm!	5	0	0	72	16777215	0
2340	Final minute, don't fade!	5	0	0	72	16777215	0
2385	Final seated push!	5	0	0	72	16777215	0
2400	Good work!	5	0	0	72	16777215	0
2400	Catch your breath while you keep your legs spinning lightly	8	0	0	72	16777215	10
2400	This upcoming third set will carry us over the halfway point	8	0	0	72	16777215	180
2400	Sounds like a good point to work on breathing	8	0	0	72	16777215	190
2400	In fact, let's get started on that now	5	0	0	72	16777215	200
2400	Often enough, we remember to breathe properly...	8	0	0	72	16777215	210
2400	only once we are out of breath	5	0	0	72	16777215	220
2400	But this is usually far too late	5	0	0	72	16777215	230
2400	Proper breathing is a habit to be developed & applied often	8	0	0	72	16777215	240
2400	So start by breathing in your nose & mouth...	8	0	0	72	16777215	250
2400	and push all that old air out with full belly exhaling	8	0	0	72	16777215	260
