[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Mallory,94,131. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
4	50
4	90
5	90
5	110
5.25	110
5.25	90
6	90
6	110
6.25	110
6.25	90
7	90
7	40
12	40
12	90
12.75	90
12.75	105
13	105
13	90
13.75	90
13.75	105
14	105
14	90
14.75	90
14.75	110
15	110
15	95
15.75	95
15.75	110
16	110
16	95
16.75	95
16.75	110
17	110
17	100
17.75	100
17.75	120
18	120
18	100
18.75	100
18.75	120
19	120
19	100
19.75	100
19.75	120
20	120
20	105
20.75	105
20.75	130
21	130
21	105
21.75	105
21.75	130
22	130
22	105
22.75	105
22.75	135
23	135
23	110
23.75	110
23.75	135
24	135
24	40
29	40
29	90
29.75	90
29.75	105
30	105
30	90
30.75	90
30.75	105
31	105
31	90
31.75	90
31.75	110
32	110
32	95
32.75	95
32.75	110
33	110
33	95
33.75	95
33.75	110
34	110
34	100
34.75	100
34.75	120
35	120
35	100
35.75	100
35.75	120
36	120
36	100
36.75	100
36.75	120
37	120
37	105
37.75	105
37.75	130
38	130
38	105
38.75	105
38.75	130
39	130
39	110
39.75	110
39.75	135
40	135
40	110
40.75	110
40.75	135
41	135
41	40
46	40
46	90
46.75	90
46.75	105
47	105
47	90
47.75	90
47.75	105
48	105
48	95
48.75	95
48.75	110
49	110
49	95
49.75	95
49.75	110
50	110
50	95
50.75	95
50.75	110
51	110
51	100
51.75	100
51.75	120
52	120
52	100
52.75	100
52.75	120
53	120
53	100
53.75	100
53.75	120
54	120
54	105
54.75	105
54.75	130
55	130
55	105
55.75	105
55.75	130
56	130
56	110
56.75	110
56.75	135
57	135
57	110
57.75	110
57.75	135
58	135
58	40
65	40
65	120
67	120
67	40
69	40
69	120
71	120
71	40
73	40
73	120
75	120
75	40
79	40
79	120
81	120
81	40
83	40
83	120
85	120
85	40
87	40
87	120
89	120
89	40
90	40
[END COURSE DATA]

[COURSE TEXT]
0	If you are following the Intermediate Build Plan...	8	0	0	72	16777215	1
0	then we're sure some variety would be welcome	8	0	0	72	16777215	10
0	So today's workout will give you just that	8	0	0	72	16777215	20
0	A combination of 3 over-under intervals lasting 12 minutes each...	8	0	0	72	16777215	30
0	followed by a couple sets of 3x2-minute VO2max intervals	8	0	0	72	16777215	40
0	You'll have short but adequate rest periods between efforts...	8	0	0	72	16777215	50
0	and plenty of workload!	5	0	0	72	16777215	60
0	Before then, use this short over-under warmup to get ready	8	0	0	72	16777215	70
240	Keep your spin light & quick	5	0	0	72	16777215	0
300	Steady spin, higher power	5	0	0	72	16777215	0
420	Ease up & spin lightly for the next 5 minutes	8	0	0	72	16777215	0
420	Alright then, time to talk over-under intervals	8	0	0	72	16777215	60
420	The bonus to these over-unders is that they are progressive	8	0	0	72	16777215	70
420	So as the set progresses, the intensity increases as well	8	0	0	72	16777215	80
420	This is very similar to what you experience in a team time trial (TTT)	8	0	0	72	16777215	90
420	The increased difficulty will make it hard to maintain a quick cadence...	8	0	0	72	16777215	100
420	so if it's too hard to maintain, shift down to keep your spin high	8	0	0	72	16777215	110
420	We'll let you get your bearings during the first set...	8	0	0	72	16777215	180
420	but after that we will work in some technique drills	8	0	0	72	16777215	190
420	During this first effort especially, try your best to maintain cadence	8	0	0	72	16777215	200
420	30 seconds until the first set, bring your spin upto 85rpm or higher	8	0	0	72	16777215	270
420	Remember to focus on maintaining the same quick cadence throughout	8	0	0	72	16777215	280
420	And breathe easy!	5	0	0	72	16777215	290
720	Let's roll	5	0	0	72	16777215	0
885	A little higher now	5	0	0	72	16777215	0
1020	Good! Now we're getting into the swing of things	8	0	0	72	16777215	0
1065	Pick it up!	8	0	0	72	16777215	0
1245	Higher still!	5	0	0	72	16777215	0
1365	Last set of increases, hang on!	5	0	0	72	16777215	0
1440	Nice job! Ease waaaaaaaay up	5	0	0	72	16777215	0
1440	Take some time to backpedal if needed during this rest	8	0	0	72	16777215	10
1440	This next set is nearly identical to the first	8	0	0	72	16777215	120
1440	But let's turn our focus to your body positioning	8	0	0	72	16777215	130
1440	Chances are, if you were to put out an effort like this when riding outside...	8	0	0	72	16777215	140
1440	it would be a Team Time Trial	5	0	0	72	16777215	150
1440	And if that's the case, then you would be in your drops or aero bars	8	0	0	72	16777215	160
1440	So if you have aero bars, use them during this next set	8	0	0	72	16777215	170
1440	If you don't have aero bars, then go to your drops...	8	0	0	72	16777215	180
1440	or your more-aero-than-usual position of choice	8	0	0	72	16777215	190
1440	Building power in this position is important if you plan to employ it outdoors	8	0	0	72	16777215	200
1440	And we'll work on refining it throughout the next set	8	0	0	72	16777215	210
1440	30 seconds until the next set, adjust your spin	8	0	0	72	16777215	270
1440	but don't get into your aero position just yet	8	0	0	72	16777215	280
1440	Use the first 10 seconds or so to get up to speed, then get into position	8	0	0	72	16777215	290
1740	Bring up that power & settle in	8	0	0	72	16777215	0
1740	Alright, now get into your aero position...	8	0	0	72	16777215	10
1740	and stay aero for as much of this interval as you can	8	0	0	72	16777215	20
1785	A little more effort, still aero	5	0	0	72	16777215	0
1920	Good! Now evaluate your position	5	0	0	72	16777215	0
1920	Are you bent over too far? Ease up a little	8	0	0	72	16777215	10
1920	Do you need to scoot forward an inch on your saddle?	8	0	0	72	16777215	20
1920	Is your head low? Neck long & relaxed?	8	0	0	72	16777215	30
2100	Are your shoulders relaxed? Let them fall	8	0	0	72	16777215	0
2100	Is your torso stable? Or are you rocking with every pedalstroke?	8	0	0	72	16777215	10
2220	Stay in position even though it's tough...	8	0	0	72	16777215	0
2220	and getting tougher by the minute	5	0	0	72	16777215	10
2385	Keep it going, fast & smooth!	5	0	0	72	16777215	0
2460	Very well done! Take it really easy for 5	8	0	0	72	16777215	0
2460	Don't be afraid to test & tweak your aero position frequently	8	0	0	72	16777215	70
2460	Riding on the trainer is a great opportunity to do so	8	0	0	72	16777215	80
2460	Keep in mind you might get more body movement when on a stationary bike...	8	0	0	72	16777215	90
2460	but working on maintaining a steady body on a trainer...	8	0	0	72	16777215	100
2460	will only make you more stable & powerful for outdoors	8	0	0	72	16777215	110
2460	During this next set we're going to work on pacing your effort	8	0	0	72	16777215	180
2460	While the end result is apparently physical...	8	0	0	72	16777215	190
2460	the means to the end is very much mental	8	0	0	72	16777215	200
2460	By controlling your output & your emotions, you can stay fresher for longer	8	0	0	72	16777215	210
2460	One key is to keep your cadence higher than when you're riding easy	8	0	0	72	16777215	220
2460	This will help you avoid flooding your muscles early on	8	0	0	72	16777215	230
2460	Try to anticipate increases in power with a quicker cadence	8	0	0	72	16777215	240
2460	And focus on breathing well before, throughout, even after the set	8	0	0	72	16777215	250
2460	10 seconds until the next set so start reathing deeply from your diaphragm	8	0	0	72	16777215	290
2760	Quick cadence, relaxed lower legs & upper body	8	0	0	72	16777215	0
2805	Keep a calm and relaxed face too	5	0	0	72	16777215	0
2820	Keep your cadence high in anticipation of the upcoming power increase	8	0	0	72	16777215	35
2940	Just because it's a hard work doesn't mean you need to breathe hard	8	0	0	72	16777215	0
2940	Control your breathing and control your mind	8	0	0	72	16777215	10
2940	Try not to let your thoughts wonder...	8	0	0	72	16777215	20
