[COURSE HEADER]
VERSION = 2
UNITS = ENGLISH
DESCRIPTION = Irvine, 6x3min efforts @ 120%FT followed by 4x2min efforts @ 135%FT
FILE NAME = NS90VO130_VO2TimeTrials3_10x2-3m.mrc
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0.00	50	60.71	3.5
5.00	50	60.71	3.5
5.00	95	98.33	7.5
7.00	95	98.33	7.5
7.00	40	48.57	3
8.00	40	48.57	3
8.00	120	107.88	10
9.00	120	107.88	10
9.00	40	48.57	3
10.00	40	48.57	3
10.00	135	109.35	10
10.50	135	109.35	10
10.50	40	48.57	3
15.00	40	48.57	3
15.00	120	107.88	10
18.00	120	107.88	10
18.00	40	48.57	3
21.00	40	48.57	3
21.00	120	107.88	10
24.00	120	107.88	10
24.00	40	48.57	3
27.00	40	48.57	3
27.00	120	107.88	10
30.00	120	107.88	10
30.00	40	48.57	3
33.00	40	48.57	3
33	120	107.88	10
36	120	107.88	10
36	40	48.57	3
39	40	48.57	3
39	120	107.88	10
42	120	107.88	10
42	40	48.57	3
45	40	48.57	3
45	120	107.88	10
48	120	107.88	10
48	40	48.57	3
49	40	48.57	3
49	70	79.32	5
64	70	79.32	5
64	40	48.57	3
65	40	48.57	3
65	135	109.35	10
67	135	109.35	10
67	40	48.57	3
71	40	48.57	3
71	135	109.35	10
73	135	109.35	10
73	40	48.57	3
77	40	48.57	3
77	135	109.35	10
79	135	109.35	10
79	40	48.57	3
83	40	48.57	3
83	135	109.35	10
85	135	109.35	10
85	40	48.57	3
90	40	48.57	3
[END COURSE DATA]

[INTERVAL DATA]
0	5400	Workout
300	420	Interval 1
480	540	Interval 2
600	630	Interval 3
900	1080	Interval 4
1260	1440	Interval 5
1620	1800	Interval 6
1980	2160	Interval 7
2340	2520	Interval 8
2700	2880	Interval 9
2940	3840	Interval 10
3900	4020	Interval 11
4260	4380	Interval 12
4620	4740	Interval 13
4980	5100	Interval 14
[END INTERVAL DATA]
