[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Sufferfest Hell Hath No Fury,93,105. Created by 1380.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
1.36	50
1.36	50
3.78	50
3.78	74
7.26	74
7.26	85
9.5	85
9.5	95
10	95
10	85
11.13	85
11.13	95
12.75	95
12.75	50
13.75	50
13.75	79
15.03	79
15.03	99
15.3	99
15.3	89
15.78	89
15.78	79
16	79
16	113
16.3	113
16.3	102
16.76	102
16.76	89
17.61	89
17.61	113
17.9	113
17.9	89
22.03	89
22.03	99
24.7	99
24.7	99
26.66	99
26.66	99
27.11	99
27.11	102
27.43	102
27.43	97
28.08	97
28.08	99
29.1	99
29.1	102
29.6	102
29.6	108
31.11	108
31.11	99
31.75	99
31.75	124
31.91	124
31.91	99
32.08	99
32.08	124
32.35	124
32.35	99
32.86	99
32.86	108
33.1	108
33.1	99
33.4	99
33.4	129
33.81	129
33.81	50
39.85	50
39.85	93
40.33	93
40.33	106
40.88	106
40.88	99
41.5	99
41.5	106
41.71	106
41.71	99
42.21	99
42.21	106
42.43	106
42.43	99
42.91	99
42.91	106
43.13	106
43.13	99
43.5	99
43.5	93
43.65	93
43.65	106
44.16	106
44.16	99
44.8	99
44.8	93
45	93
45	99
45.65	99
45.65	106
45.86	106
45.86	99
47.53	99
47.53	117
47.8	117
47.8	112
49.28	112
49.28	115
49.58	115
49.58	106
50.88	106
50.88	93
51.31	93
51.31	99
51.7	99
51.7	93
52.21	93
52.21	106
52.36	106
52.36	99
53.35	99
53.35	112
54.65	112
54.65	93
55.15	93
55.15	117
55.35	117
55.35	99
55.93	99
55.93	112
56.36	112
56.36	106
59.48	106
59.48	133
59.88	133
59.88	45
63.88	45
63.88	114
66.66	114
66.66	119
67.21	119
67.21	50
72	50
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	4320	Workout
227	436	Endurance 1
436	570	Sweet Spot 1
570	600	Sweet Spot 2
600	668	Sweet Spot 3
668	765	Sweet Spot 4
825	902	Tempo 1
902	918	Threshold 1
918	947	Sweet Spot 5
947	960	Tempo 2
960	978	VO2 Max 1
978	1006	Threshold 2
1006	1057	Sweet Spot 6
1057	1074	VO2 Max 2
1074	1322	Sweet Spot 7
1322	1482	Threshold 3
1482	1600	Threshold 4
1600	1627	Threshold 5
1627	1646	Threshold 6
1646	1685	Threshold 7
1685	1746	Threshold 8
1746	1776	Threshold 9
1776	1867	VO2 Max 3
1867	1905	Threshold 10
1905	1915	Sprint 1
1915	1925	Threshold 11
1925	1941	Sprint 2
1941	1972	Threshold 12
1972	1986	VO2 Max 4
1986	2004	Threshold 13
2004	2029	Sprint 3
829	2029	Main Set 1
2391	2420	Sweet Spot 8
2420	2453	VO2 Max 5
2453	2490	Threshold 14
2490	2503	VO2 Max 6
2503	2533	Threshold 15
2533	2546	VO2 Max 7
2546	2575	Threshold 16
2575	2588	VO2 Max 8
2588	2610	Threshold 17
2610	2619	Sweet Spot 9
2619	2650	VO2 Max 9
2650	2688	Threshold 18
2688	2700	Sweet Spot 10
2700	2739	Threshold 19
2739	2752	VO2 Max 10
2752	2852	Threshold 20
2852	2868	VO2 Max 11
2868	2957	VO2 Max 12
2957	2975	VO2 Max 13
2975	3053	VO2 Max 14
3053	3079	Sweet Spot 11
3079	3102	Threshold 21
3102	3133	Sweet Spot 12
3133	3142	VO2 Max 15
3142	3201	Threshold 22
3201	3279	VO2 Max 16
3279	3309	Sweet Spot 13
3309	3321	VO2 Max 17
3321	3356	Threshold 23
3356	3382	VO2 Max 18
3382	3569	VO2 Max 19
3569	3593	Sprint 4
2393	3593	Main Set 2
3833	4000	VO2 Max 20
4000	4033	VO2 Max 21
3833	4033	Main Set 3
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

