[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = RealRides Gran Fondo,90,121. Created by 11407.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	30
5.88	30
5.88	67
7.86	67
7.86	82
9.86	82
9.86	97
11.86	97
11.86	107
13.86	107
13.86	121
14.91	121
14.91	45
15.88	45
15.88	40
19.36	40
19.36	35
21.03	35
21.03	70
21.83	70
21.83	50
22.13	50
22.13	85
22.25	85
22.25	95
22.46	95
22.46	105
22.75	105
22.75	85
24.26	85
24.26	105
24.58	105
24.58	124
24.85	124
24.85	85
25.03	85
25.03	70
26.43	70
26.43	50
26.6	50
26.6	20
28.4	20
28.4	35
28.7	35
28.7	95
28.93	95
28.93	20
29.33	20
29.33	35
29.6	35
29.6	55
29.76	55
29.76	20
30.73	20
30.73	35
31.1	35
31.1	20
31.41	20
31.41	35
31.6	35
31.6	70
31.76	70
31.76	35
31.95	35
31.95	70
32.11	70
32.11	95
33.35	95
33.35	35
33.66	35
33.66	70
34.16	70
34.16	85
34.78	85
34.78	105
35.01	105
35.01	85
35.9	85
35.9	105
36.45	105
36.45	35
36.61	35
36.61	105
36.9	105
36.9	50
37.15	50
37.15	105
37.35	105
37.35	70
37.58	70
37.58	85
37.76	85
37.76	95
38.25	95
38.25	35
38.63	35
38.63	105
39.23	105
39.23	85
39.6	85
39.6	20
39.96	20
39.96	85
41.08	85
41.08	95
41.58	95
41.58	105
41.75	105
41.75	124
42.26	124
42.26	105
42.5	105
42.5	95
42.66	95
42.66	105
42.91	105
42.91	70
43.13	70
43.13	20
43.38	20
43.38	124
43.63	124
43.63	35
44.28	35
44.28	55
44.55	55
44.55	95
45	95
45	70
45.26	70
45.26	35
45.53	35
45.53	70
46.26	70
46.26	85
46.51	85
46.51	35
46.76	35
46.76	70
47.25	70
47.25	95
47.7	95
47.7	50
47.81	50
47.81	105
48.16	105
48.16	70
48.35	70
48.35	105
49.33	105
49.33	70
50.11	70
50.11	35
50.33	35
50.33	95
50.86	95
50.86	70
51.08	70
51.08	105
51.25	105
51.25	124
51.51	124
51.51	35
52.01	35
52.01	105
53.43	105
53.43	124
53.93	124
53.93	105
55.43	105
55.43	95
55.65	95
55.65	85
56.06	85
56.06	124
56.76	124
56.76	105
56.93	105
56.93	95
57.26	95
57.26	105
57.85	105
57.85	124
58.18	124
58.18	95
61.8	95
61.8	124
62.18	124
62.18	105
62.93	105
62.93	95
65.25	95
65.25	85
65.68	85
65.68	35
65.76	35
65.76	105
66.1	105
66.1	55
66.31	55
66.31	105
66.48	105
66.48	55
66.58	55
66.58	105
67.06	105
67.06	65
67.71	65
67.71	105
67.88	105
67.88	65
68.26	65
68.26	85
69.35	85
69.35	35
70.56	35
70.56	85
72.83	85
72.83	65
73.1	65
73.1	95
73.46	95
73.46	105
73.71	105
73.71	95
74.65	95
74.65	50
75.51	50
75.51	85
75.73	85
75.73	95
76.31	95
76.31	105
77.1	105
77.1	95
78.86	95
78.86	85
79.75	85
79.75	95
79.91	95
79.91	105
80.21	105
80.21	124
80.36	124
80.36	95
82	95
82	85
82.26	85
82.26	95
82.75	95
82.75	85
83.2	85
83.2	105
83.61	105
83.61	50
83.95	50
83.95	124
84.1	124
84.1	105
85.76	105
85.76	124
86.11	124
86.11	105
87.11	105
87.11	124
88.05	124
88.05	40
89.61	40
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	5377	Workout
472	592	Tempo 1
592	712	Threshold 1
712	832	VO2 Max 1
832	895	Anaerobic Capacity 1
1328	1335	Sweet Spot 1
1335	1348	Sweet Spot 2
1348	1365	Threshold 2
1365	1456	Sweet Spot 3
1456	1475	Threshold 3
1475	1491	Sprint 1
1491	1502	Sweet Spot 4
1722	1736	Sweet Spot 5
1927	2001	Sweet Spot 6
2050	2087	Sweet Spot 7
2087	2101	Threshold 4
2101	2154	Sweet Spot 8
2154	2187	Threshold 5
2197	2214	Threshold 6
2229	2241	Threshold 7
2255	2266	Sweet Spot 9
2266	2295	Sweet Spot 10
2318	2354	Threshold 8
2354	2376	Sweet Spot 11
2398	2465	Sweet Spot 12
2465	2495	Sweet Spot 13
2495	2505	Threshold 9
2505	2536	Anaerobic Capacity 2
2536	2550	Threshold 10
2550	2560	Sweet Spot 14
2560	2575	Threshold 11
2603	2618	Sprint 2
2673	2700	Sweet Spot 15
2776	2791	Sweet Spot 16
2835	2862	Sweet Spot 17
2869	2890	Threshold 12
2901	2960	Threshold 13
3020	3052	Sweet Spot 18
3065	3075	Threshold 14
3075	3091	Sprint 3
3121	3206	Threshold 15
3206	3236	Sprint 4
3236	3326	Threshold 16
3326	3339	Sweet Spot 19
3339	3364	Sweet Spot 20
3364	3406	Anaerobic Capacity 3
3406	3416	Threshold 17
3416	3436	Sweet Spot 21
3436	3471	Threshold 18
3471	3491	Sprint 5
3491	3708	Sweet Spot 22
3708	3731	Sprint 6
3731	3776	Threshold 19
3776	3915	Sweet Spot 23
3915	3941	Sweet Spot 24
3946	3966	Threshold 20
3979	3989	Threshold 21
3995	4024	Threshold 22
4063	4073	Threshold 23
4096	4161	Sweet Spot 25
4234	4370	Sweet Spot 26
4386	4408	Sweet Spot 27
4408	4423	Threshold 24
4423	4479	Sweet Spot 28
4531	4544	Sweet Spot 29
4544	4579	Sweet Spot 30
4579	4626	Threshold 25
4626	4732	Sweet Spot 31
4732	4785	Sweet Spot 32
4785	4795	Sweet Spot 33
4795	4813	Threshold 26
4813	4822	Sprint 7
4822	4920	Sweet Spot 34
4920	4936	Sweet Spot 35
4936	4965	Sweet Spot 36
4965	4992	Sweet Spot 37
4992	5017	Threshold 27
5037	5046	Sprint 8
5046	5146	Threshold 28
5146	5167	Sprint 9
5167	5227	Threshold 29
5227	5283	Anaerobic Capacity 4
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

