[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Ride Fit Miramar Lake Loops,88,78. Created by 11407.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	0
0.3	0
0.3	45
2.31	45
2.31	63
4	63
4	88
4.88	88
4.88	73
5.13	73
5.13	110
5.35	110
5.35	88
6.48	88
6.48	73
6.7	73
6.7	110
6.88	110
6.88	88
8.51	88
8.51	73
8.66	73
8.66	110
8.9	110
8.9	73
9.01	73
9.01	110
9.2	110
9.2	88
9.56	88
9.56	73
9.71	73
9.71	110
9.88	110
9.88	88
10.53	88
10.53	73
10.73	73
10.73	110
10.91	110
10.91	88
12.08	88
12.08	73
12.43	73
12.43	110
12.68	110
12.68	88
13.35	88
13.35	73
13.58	73
13.58	110
13.81	110
13.81	88
14.91	88
14.91	73
15.18	73
15.18	110
15.4	110
15.4	73
15.58	73
15.58	110
15.75	110
15.75	88
16.38	88
16.38	73
17	73
17	110
17.41	110
17.41	88
18.18	88
18.18	73
18.41	73
18.41	110
18.93	110
18.93	128
19.56	128
19.56	88
20.06	88
20.06	59
21.85	59
21.85	88
22.65	88
22.65	73
22.9	73
22.9	110
23.11	110
23.11	88
24.13	88
24.13	73
24.36	73
24.36	110
24.53	110
24.53	88
26.16	88
26.16	73
26.3	73
26.3	110
26.51	110
26.51	73
26.65	73
26.65	110
26.83	110
26.83	88
27.18	88
27.18	73
27.33	73
27.33	110
27.48	110
27.48	88
27.81	88
27.81	67
28.28	67
28.28	73
28.55	73
28.55	110
28.75	110
28.75	88
29.81	88
29.81	73
30.18	73
30.18	110
30.45	110
30.45	88
31.08	88
31.08	73
31.31	73
31.31	110
31.55	110
31.55	88
32.55	88
32.55	73
32.86	73
32.86	110
33.1	110
33.1	73
33.25	73
33.25	110
33.43	110
33.43	88
34.05	88
34.05	73
34.6	73
34.6	110
35.05	110
35.05	88
35.91	88
35.91	73
36.13	73
36.13	110
36.61	110
36.61	128
37.26	128
37.26	88
37.83	88
37.83	59
39.78	59
39.78	88
40.33	88
40.33	114
41.11	114
41.11	73
41.55	73
41.55	110
41.83	110
41.83	88
42.56	88
42.56	73
43.03	73
43.03	110
43.5	110
43.5	88
44.08	88
44.08	73
44.33	73
44.33	110
44.48	110
44.48	73
44.75	73
44.75	110
45.05	110
45.05	88
46.05	88
46.05	73
46.26	73
46.26	110
46.48	110
46.48	88
47.11	88
47.11	73
47.38	73
47.38	110
47.71	110
47.71	88
48.86	88
48.86	73
49.18	73
49.18	110
49.6	110
49.6	99
49.98	99
49.98	73
50.18	73
50.18	110
50.43	110
50.43	88
50.66	88
50.66	73
50.81	73
50.81	110
50.95	110
50.95	73
51.18	73
51.18	110
51.48	110
51.48	88
52.81	88
52.81	73
53.06	73
53.06	110
53.43	110
53.43	88
54.35	88
54.35	73
54.5	73
54.5	110
54.78	110
54.78	114
55.33	114
55.33	114
55.5	114
55.5	45
60.23	45
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	3614	Workout
139	240	Endurance 1
240	293	Sweet Spot 1
293	308	Endurance 2
308	321	VO2 Max 1
321	389	Sweet Spot 2
389	402	Endurance 3
402	413	VO2 Max 2
413	511	Sweet Spot 3
511	520	Endurance 4
520	534	VO2 Max 3
534	541	Endurance 5
541	552	VO2 Max 4
552	574	Sweet Spot 4
574	583	Endurance 6
583	593	VO2 Max 5
593	632	Sweet Spot 5
632	644	Endurance 7
644	655	VO2 Max 6
655	725	Sweet Spot 6
725	746	Endurance 8
746	761	VO2 Max 7
761	801	Sweet Spot 7
801	815	Endurance 9
815	829	VO2 Max 8
829	895	Sweet Spot 8
895	911	Endurance 10
911	924	VO2 Max 9
924	935	Endurance 11
935	945	VO2 Max 10
945	983	Sweet Spot 9
983	1020	Endurance 12
1020	1045	VO2 Max 11
1045	1091	Sweet Spot 10
1091	1105	Endurance 13
1105	1136	VO2 Max 12
1136	1174	Anaerobic Capacity 1
1174	1204	Sweet Spot 11
1204	1311	Endurance 14
1311	1359	Sweet Spot 12
1359	1374	Endurance 15
1374	1387	VO2 Max 13
1387	1448	Sweet Spot 13
1448	1462	Endurance 16
1462	1472	VO2 Max 14
1472	1570	Sweet Spot 14
1570	1578	Endurance 17
1578	1591	VO2 Max 15
1591	1599	Endurance 18
1599	1610	VO2 Max 16
1610	1631	Sweet Spot 15
1631	1640	Endurance 19
1640	1649	VO2 Max 17
1649	1669	Sweet Spot 16
1669	1697	Endurance 20
1697	1713	Endurance 21
1713	1725	VO2 Max 18
1725	1789	Sweet Spot 17
1789	1811	Endurance 22
1811	1827	VO2 Max 19
1827	1865	Sweet Spot 18
1865	1879	Endurance 23
1879	1893	VO2 Max 20
1893	1953	Sweet Spot 19
1953	1972	Endurance 24
1972	1986	VO2 Max 21
1986	1995	Endurance 25
1995	2006	VO2 Max 22
2006	2043	Sweet Spot 20
2043	2076	Endurance 26
2076	2103	VO2 Max 23
2103	2155	Sweet Spot 21
2155	2168	Endurance 27
2168	2197	VO2 Max 24
2197	2236	Anaerobic Capacity 2
2236	2270	Sweet Spot 22
2270	2387	Endurance 28
2387	2420	Sweet Spot 23
2420	2467	VO2 Max 25
2467	2493	Endurance 29
2493	2510	VO2 Max 26
2510	2554	Sweet Spot 24
2554	2582	Endurance 30
2582	2610	VO2 Max 27
2610	2645	Sweet Spot 25
2645	2660	Endurance 31
2660	2669	VO2 Max 28
2669	2685	Endurance 32
2685	2703	VO2 Max 29
2703	2763	Sweet Spot 26
2763	2776	Endurance 33
2776	2789	VO2 Max 30
2789	2827	Sweet Spot 27
2827	2843	Endurance 34
2843	2863	VO2 Max 31
2863	2932	Sweet Spot 28
2932	2951	Endurance 35
2951	2976	VO2 Max 32
2976	2999	Threshold 1
2999	3011	Endurance 36
3011	3026	VO2 Max 33
3026	3040	Sweet Spot 29
3040	3049	Endurance 37
3049	3057	VO2 Max 34
3057	3071	Endurance 38
3071	3089	VO2 Max 35
3089	3169	Sweet Spot 30
3169	3184	Endurance 39
3184	3206	VO2 Max 36
3206	3261	Sweet Spot 31
3261	3270	Endurance 40
3270	3287	VO2 Max 37
3287	3320	VO2 Max 38
3320	3330	VO2 Max 39
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

