[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Ride Fit Local Rollers,91,85. Created by 11407.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	0
0.3	0
0.3	45
2.31	45
2.31	63
4	63
4	82
4.31	82
4.31	96
5.13	96
5.13	99
5.88	99
5.88	96
6.1	96
6.1	92
7.5	92
7.5	96
7.91	96
7.91	77
8.08	77
8.08	82
8.43	82
8.43	71
8.73	71
8.73	82
9.03	82
9.03	71
9.45	71
9.45	99
9.71	99
9.71	110
10.33	110
10.33	88
10.6	88
10.6	82
10.83	82
10.83	71
11.05	71
11.05	82
11.31	82
11.31	110
12.2	110
12.2	88
12.63	88
12.63	82
13.21	82
13.21	71
13.8	71
13.8	99
14.31	99
14.31	96
16.6	96
16.6	92
18.8	92
18.8	96
19.86	96
19.86	88
20.81	88
20.81	96
21.85	96
21.85	92
23.78	92
23.78	96
24.45	96
24.45	92
24.96	92
24.96	96
25.5	96
25.5	88
25.93	88
25.93	96
26.76	96
26.76	77
27.31	77
27.31	73
27.85	73
27.85	110
28.33	110
28.33	82
29.41	82
29.41	71
29.75	71
29.75	93
29.95	93
29.95	99
30.8	99
30.8	93
31.16	93
31.16	88
32.3	88
32.3	99
32.7	99
32.7	110
34.76	110
34.76	88
35.18	88
35.18	82
35.91	82
35.91	110
36.86	110
36.86	88
37.1	88
37.1	73
37.65	73
37.65	110
37.9	110
37.9	92
39.16	92
39.16	96
39.41	96
39.41	77
39.6	77
39.6	96
39.95	96
39.95	92
42.18	92
42.18	96
42.6	96
42.6	99
43.31	99
43.31	96
44.33	96
44.33	114
45.4	114
45.4	82
46.23	82
46.23	63
46.63	63
46.63	88
48.26	88
48.26	93
48.88	93
48.88	99
49.56	99
49.56	96
56	96
56	107
56.5	107
56.5	51
61.23	51
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	3674	Workout
139	240	Endurance 1
240	259	Tempo 1
259	308	Threshold 1
308	353	Threshold 2
353	366	Threshold 3
366	450	Sweet Spot 1
450	475	Threshold 4
475	485	Tempo 2
485	506	Tempo 3
506	524	Endurance 2
524	542	Tempo 4
542	567	Endurance 3
567	583	Threshold 5
583	620	VO2 Max 1
620	636	Sweet Spot 2
636	650	Tempo 5
650	663	Endurance 4
663	679	Tempo 6
679	732	VO2 Max 2
732	758	Sweet Spot 3
758	793	Tempo 7
793	828	Endurance 5
828	859	Threshold 6
859	996	Threshold 7
996	1128	Sweet Spot 4
1128	1192	Threshold 8
1192	1249	Sweet Spot 5
1249	1311	Threshold 9
1311	1427	Sweet Spot 6
1427	1467	Threshold 10
1467	1498	Sweet Spot 7
1498	1530	Threshold 11
1530	1556	Sweet Spot 8
1556	1606	Threshold 12
1606	1639	Tempo 8
1639	1671	Endurance 6
1671	1700	VO2 Max 3
1700	1765	Tempo 9
1765	1785	Endurance 7
1785	1797	Sweet Spot 9
1797	1848	Threshold 13
1848	1870	Sweet Spot 10
1870	1938	Sweet Spot 11
1938	1962	Threshold 14
1962	2086	VO2 Max 4
2086	2111	Sweet Spot 12
2111	2155	Tempo 10
2155	2212	VO2 Max 5
2212	2226	Sweet Spot 13
2226	2259	Endurance 8
2259	2274	VO2 Max 6
2274	2350	Sweet Spot 14
2350	2365	Threshold 15
2365	2376	Tempo 11
2376	2397	Threshold 16
2397	2531	Sweet Spot 15
2531	2556	Threshold 17
2556	2599	Threshold 18
2599	2660	Threshold 19
2660	2724	VO2 Max 7
2724	2774	Tempo 12
2774	2798	Endurance 9
2798	2896	Sweet Spot 16
2896	2933	Sweet Spot 17
2933	2974	Threshold 20
2974	3360	Threshold 21
3360	3390	VO2 Max 8
3390	3674	Active Recovery 1
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

