[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = RealRides Speed,83,81. Created by 11407.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	30
5	30
5	50
7.01	50
7.01	60
8.98	60
8.98	80
11	80
11	100
13	100
13	110
15	110
15	40
16.76	40
16.76	60
18.78	60
18.78	40
19.71	40
19.71	100
20.76	100
20.76	40
21.78	40
21.78	100
22.81	100
22.81	40
23.8	40
23.8	100
24.81	100
24.81	40
25.95	40
25.95	60
27.91	60
27.91	40
30.45	40
30.45	90
30.8	90
30.8	100
31.2	100
31.2	110
31.36	110
31.36	140
31.45	140
31.45	40
32.95	40
32.95	90
33.26	90
33.26	100
33.73	100
33.73	110
33.83	110
33.83	140
33.95	140
33.95	40
35.45	40
35.45	90
35.78	90
35.78	100
36.18	100
36.18	110
36.31	110
36.31	140
36.46	140
36.46	40
38.41	40
38.41	90
38.63	90
38.63	150
38.8	150
38.8	40
40.58	40
40.58	90
40.8	90
40.8	150
41	150
41	40
42.8	40
42.8	90
43	90
43	150
43.16	150
43.16	40
44.46	40
44.46	90
45.16	90
45.16	150
45.33	150
45.33	40
47.16	40
47.16	90
47.35	90
47.35	150
47.51	150
47.51	40
49.31	40
49.31	90
49.53	90
49.53	150
49.7	150
49.7	40
51.5	40
51.5	90
51.7	90
51.7	150
51.88	150
51.88	40
53.51	40
53.51	90
53.86	90
53.86	155
54.03	155
54.03	40
56.96	40
56.96	90
58.35	90
58.35	80
59.33	80
59.33	100
59.53	100
59.53	110
59.75	110
59.75	140
59.9	140
59.9	70
60.2	70
60.2	110
60.4	110
60.4	90
60.71	90
60.71	100
61.11	100
61.11	110
61.45	110
61.45	90
61.86	90
61.86	100
62.13	100
62.13	110
62.4	110
62.4	150
62.63	150
62.63	80
62.68	80
62.68	110
62.96	110
62.96	100
63.33	100
63.33	110
63.98	110
63.98	100
64.41	100
64.41	110
65.08	110
65.08	150
65.35	150
65.35	40
70.8	40
70.8	80
70.85	80
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	4251	Workout
300	421	Active Recovery 1
421	539	Endurance 1
539	660	Tempo 1
660	780	Threshold 1
780	900	VO2 Max 1
1006	1127	Endurance 2
1183	1246	Threshold 2
1307	1369	Threshold 3
1428	1489	Threshold 4
1557	1675	Endurance 3
1827	1848	Sweet Spot 1
1848	1872	Threshold 5
1872	1882	VO2 Max 2
1882	1887	Sprint 1
1977	1996	Sweet Spot 2
1996	2024	Threshold 6
2024	2030	VO2 Max 3
2030	2037	Sprint 2
2127	2147	Sweet Spot 3
2147	2171	Threshold 7
2171	2179	VO2 Max 4
2179	2188	Sprint 3
2305	2318	Sweet Spot 4
2318	2328	Sprint 4
2435	2448	Sweet Spot 5
2448	2460	Sprint 5
2568	2580	Sweet Spot 6
2580	2590	Sprint 6
2668	2710	Sweet Spot 7
2710	2720	Sprint 7
2830	2841	Sweet Spot 8
2841	2851	Sprint 8
2959	2972	Sweet Spot 9
2972	2982	Sprint 9
3090	3102	Sweet Spot 10
3102	3113	Sprint 10
3211	3232	Sweet Spot 11
3232	3242	Sprint 11
3418	3501	Sweet Spot 12
3501	3560	Tempo 2
3560	3572	Threshold 8
3572	3585	VO2 Max 5
3585	3594	Sprint 12
3594	3612	Endurance 4
3612	3624	VO2 Max 6
3624	3643	Sweet Spot 13
3643	3667	Threshold 9
3667	3687	VO2 Max 7
3687	3712	Sweet Spot 14
3712	3728	Threshold 10
3728	3744	VO2 Max 8
3744	3758	Sprint 13
3758	3761	Tempo 3
3761	3778	VO2 Max 9
3778	3800	Threshold 11
3800	3839	VO2 Max 10
3839	3865	Threshold 12
3865	3905	VO2 Max 11
3905	3921	Sprint 14
4248	4251	Tempo 4
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

