[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = RealRides Power,93,111. Created by 11407.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	40
1.53	40
1.53	63
3.53	63
3.53	76
4.53	76
4.53	89
5.53	89
5.53	101
6.53	101
6.53	114
7.53	114
7.53	127
8.53	127
8.53	50
13.55	50
13.55	127
14.05	127
14.05	50
14.55	50
14.55	127
15.05	127
15.05	50
15.55	50
15.55	127
16.05	127
16.05	50
16.55	50
16.55	127
17.05	127
17.05	50
21.06	50
21.06	127
22.06	127
22.06	50
23.06	50
23.06	127
24.06	127
24.06	50
25.06	50
25.06	127
26.06	127
26.06	37
30.06	37
30.06	134
30.56	134
30.56	50
31.06	50
31.06	134
31.56	134
31.56	50
32.06	50
32.06	134
32.56	134
32.56	50
33.06	50
33.06	140
33.56	140
33.56	37
37.56	37
37.56	101
38.06	101
38.06	114
38.56	114
38.56	127
38.9	127
38.9	166
39.08	166
39.08	37
40.58	37
40.58	101
41.18	101
41.18	114
41.6	114
41.6	127
41.91	127
41.91	166
42.08	166
42.08	50
44.1	50
44.1	50
44.9	50
44.9	90
45.35	90
45.35	110
45.63	110
45.63	90
46.11	90
46.11	110
46.31	110
46.31	90
46.86	90
46.86	110
47.1	110
47.1	90
47.51	90
47.51	110
47.78	110
47.78	90
48.41	90
48.41	110
48.68	110
48.68	90
49.25	90
49.25	120
50.01	120
50.01	90
50.61	90
50.61	140
50.88	140
50.88	40
54.11	40
54.11	80
54.95	80
54.95	90
55.7	90
55.7	110
56.13	110
56.13	90
57.03	90
57.03	110
57.4	110
57.4	90
58.31	90
58.31	110
59.16	110
59.16	90
59.9	90
59.9	110
60.41	110
60.41	90
60.75	90
60.75	130
61.21	130
61.21	40
63.65	40
63.65	90
64.48	90
64.48	100
65.16	100
65.16	90
65.31	90
65.31	100
66.13	100
66.13	90
66.5	90
66.5	100
66.96	100
66.96	120
67.38	120
67.38	70
68.06	70
68.06	120
68.63	120
68.63	70
69.21	70
69.21	120
69.6	120
69.6	70
70.2	70
70.2	120
70.56	120
70.56	90
71.13	90
71.13	120
71.51	120
71.51	90
72.11	90
72.11	130
72.36	130
72.36	40
76.78	40
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	4607	Workout
92	212	Endurance 1
212	272	Tempo 1
272	332	Sweet Spot 1
332	392	Threshold 1
392	452	VO2 Max 1
452	512	Anaerobic Capacity 1
813	843	Sprint 1
873	903	Sprint 2
933	963	Sprint 3
993	1023	Sprint 4
1264	1324	Anaerobic Capacity 2
1384	1444	Anaerobic Capacity 3
1504	1564	Anaerobic Capacity 4
1804	1834	Sprint 5
1864	1894	Sprint 6
1924	1954	Sprint 7
1984	2014	Sprint 8
2254	2284	Threshold 2
2284	2314	VO2 Max 2
2314	2334	Sprint 9
2334	2345	Sprint 10
2435	2471	Threshold 3
2471	2496	VO2 Max 3
2496	2515	Sprint 11
2515	2525	Sprint 12
2694	2721	Sweet Spot 2
2721	2738	VO2 Max 4
2738	2767	Sweet Spot 3
2767	2779	VO2 Max 5
2779	2812	Sweet Spot 4
2812	2826	VO2 Max 6
2826	2851	Sweet Spot 5
2851	2867	VO2 Max 7
2867	2905	Sweet Spot 6
2905	2921	VO2 Max 8
2921	2955	Sweet Spot 7
2955	3001	VO2 Max 9
3001	3037	Sweet Spot 8
3037	3053	Sprint 13
3247	3297	Tempo 2
3297	3342	Sweet Spot 9
3342	3368	VO2 Max 10
3368	3422	Sweet Spot 10
3422	3444	VO2 Max 11
3444	3499	Sweet Spot 11
3499	3550	VO2 Max 12
3550	3594	Sweet Spot 12
3594	3625	VO2 Max 13
3625	3645	Sweet Spot 13
3645	3673	Sprint 14
3819	3869	Sweet Spot 14
3869	3910	Threshold 4
3910	3919	Sweet Spot 15
3919	3968	Threshold 5
3968	3990	Sweet Spot 16
3990	4018	Threshold 6
4018	4043	VO2 Max 14
4043	4084	Endurance 2
4084	4118	VO2 Max 15
4118	4153	Endurance 3
4153	4176	VO2 Max 16
4176	4212	Endurance 4
4212	4234	VO2 Max 17
4234	4268	Sweet Spot 17
4268	4291	VO2 Max 18
4291	4327	Sweet Spot 18
4327	4342	Sprint 15
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

