[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Pierce,87,89. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	125
15	125
15	10
16	10
16	40
20	40
20	88
20.25	88
20.25	125
20.5	125
20.5	88
20.75	88
20.75	125
21	125
21	88
21.41	88
21.41	125
21.75	125
21.75	88
22	88
22	125
22.33	125
22.33	88
22.58	88
22.58	125
22.91	125
22.91	88
23.41	88
23.41	125
23.83	125
23.83	88
24.08	88
24.08	125
24.5	125
24.5	40
28.5	40
28.5	88
28.75	88
28.75	125
29	125
29	88
29.25	88
29.25	125
29.5	125
29.5	88
29.91	88
29.91	125
30.25	125
30.25	88
30.5	88
30.5	125
30.83	125
30.83	88
31.08	88
31.08	125
31.41	125
31.41	88
31.91	88
31.91	125
32.33	125
32.33	88
32.58	88
32.58	125
33	125
33	40
37	40
37	88
37.25	88
37.25	125
37.5	125
37.5	88
37.75	88
37.75	125
38	125
38	88
38.41	88
38.41	125
38.75	125
38.75	88
39	88
39	125
39.33	125
39.33	88
39.58	88
39.58	125
39.91	125
39.91	88
40.41	88
40.41	125
40.83	125
40.83	88
41.08	88
41.08	125
41.5	125
41.5	40
45.5	40
45.5	88
45.75	88
45.75	125
46	125
46	88
46.25	88
46.25	125
46.5	125
46.5	88
46.91	88
46.91	125
47.25	125
47.25	88
47.5	88
47.5	125
47.83	125
47.83	88
48.08	88
48.08	125
48.41	125
48.41	88
48.91	88
48.91	125
49.33	125
49.33	88
49.58	88
49.58	125
50	125
50	40
54	40
54	88
54.25	88
54.25	125
54.5	125
54.5	88
54.75	88
54.75	125
55	125
55	88
55.41	88
55.41	125
55.75	125
55.75	88
56	88
56	125
56.33	125
56.33	88
56.58	88
56.58	125
56.91	125
56.91	88
57.41	88
57.41	125
57.83	125
57.83	88
58.08	88
58.08	125
58.5	125
58.5	40
62.5	40
62.5	88
62.75	88
62.75	125
63	125
63	88
63.25	88
63.25	125
63.5	125
63.5	88
63.91	88
63.91	125
64.25	125
64.25	88
64.5	88
64.5	125
64.83	125
64.83	88
65.08	88
65.08	125
65.41	125
65.41	88
65.91	88
65.91	125
66.33	125
66.33	88
66.58	88
66.58	125
67	125
67	40
70	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	4200	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1215	Sweet Spot 1
1215	1230	Sprint 4
1230	1245	Sweet Spot 2
1245	1260	Sprint 5
1260	1285	Sweet Spot 3
1285	1305	Sprint 6
1305	1320	Sweet Spot 4
1320	1340	Sprint 7
1340	1355	Sweet Spot 5
1355	1375	Sprint 8
1375	1405	Sweet Spot 6
1405	1430	Sprint 9
1430	1445	Sweet Spot 7
1445	1470	Sprint 10
1710	1725	Sweet Spot 8
1725	1740	Sprint 11
1740	1755	Sweet Spot 9
1755	1770	Sprint 12
1770	1795	Sweet Spot 10
1795	1815	Sprint 13
1815	1830	Sweet Spot 11
1830	1850	Sprint 14
1850	1865	Sweet Spot 12
1865	1885	Sprint 15
1885	1915	Sweet Spot 13
1915	1940	Sprint 16
1940	1955	Sweet Spot 14
1955	1980	Sprint 17
2220	2235	Sweet Spot 15
2235	2250	Sprint 18
2250	2265	Sweet Spot 16
2265	2280	Sprint 19
2280	2305	Sweet Spot 17
2305	2325	Sprint 20
2325	2340	Sweet Spot 18
2340	2360	Sprint 21
2360	2375	Sweet Spot 19
2375	2395	Sprint 22
2395	2425	Sweet Spot 20
2425	2450	Sprint 23
2450	2465	Sweet Spot 21
2465	2490	Sprint 24
2730	2745	Sweet Spot 22
2745	2760	Sprint 25
2760	2775	Sweet Spot 23
2775	2790	Sprint 26
2790	2815	Sweet Spot 24
2815	2835	Sprint 27
2835	2850	Sweet Spot 25
2850	2870	Sprint 28
2870	2885	Sweet Spot 26
2885	2905	Sprint 29
2905	2935	Sweet Spot 27
2935	2960	Sprint 30
2960	2975	Sweet Spot 28
2975	3000	Sprint 31
3240	3255	Sweet Spot 29
3255	3270	Sprint 32
3270	3285	Sweet Spot 30
3285	3300	Sprint 33
3300	3325	Sweet Spot 31
3325	3345	Sprint 34
3345	3360	Sweet Spot 32
3360	3380	Sprint 35
3380	3395	Sweet Spot 33
3395	3415	Sprint 36
3415	3445	Sweet Spot 34
3445	3470	Sprint 37
3470	3485	Sweet Spot 35
3485	3510	Sprint 38
3750	3765	Sweet Spot 36
3765	3780	Sprint 39
3780	3795	Sweet Spot 37
3795	3810	Sprint 40
3810	3835	Sweet Spot 38
3835	3855	Sprint 41
3855	3870	Sweet Spot 39
3870	3890	Sprint 42
3890	3905	Sweet Spot 40
3905	3925	Sprint 43
3925	3955	Sweet Spot 41
3955	3980	Sprint 44
3980	3995	Sweet Spot 42
3995	4020	Sprint 45
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

