[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Whiteface,89,93. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
5	50
5	72
10	72
10	96
10.75	96
10.75	125
11	125
11	96
11.75	96
11.75	125
12	125
12	96
12.75	96
12.75	125
13	125
13	10
14	10
14	40
18	40
18	88
18.25	88
18.25	125
18.5	125
18.5	88
18.75	88
18.75	125
19	125
19	88
19.25	88
19.25	125
19.5	125
19.5	88
19.91	88
19.91	125
20.25	125
20.25	88
20.5	88
20.5	125
20.83	125
20.83	88
21.08	88
21.08	125
21.41	125
21.41	88
21.91	88
21.91	125
22.33	125
22.33	88
22.58	88
22.58	125
23	125
23	40
27	40
27	88
27.25	88
27.25	125
27.5	125
27.5	88
27.75	88
27.75	125
28	125
28	88
28.25	88
28.25	125
28.5	125
28.5	88
28.91	88
28.91	125
29.25	125
29.25	88
29.5	88
29.5	125
29.83	125
29.83	88
30.08	88
30.08	125
30.41	125
30.41	88
30.91	88
30.91	125
31.33	125
31.33	88
31.58	88
31.58	125
32	125
32	40
36	40
36	88
36.25	88
36.25	125
36.5	125
36.5	88
36.75	88
36.75	125
37	125
37	88
37.25	88
37.25	125
37.5	125
37.5	88
37.91	88
37.91	125
38.25	125
38.25	88
38.5	88
38.5	125
38.83	125
38.83	88
39.08	88
39.08	125
39.41	125
39.41	88
39.91	88
39.91	125
40.33	125
40.33	88
40.58	88
40.58	125
41	125
41	40
45	40
45	88
45.25	88
45.25	125
45.5	125
45.5	88
45.75	88
45.75	125
46	125
46	88
46.25	88
46.25	125
46.5	125
46.5	88
46.91	88
46.91	125
47.25	125
47.25	88
47.5	88
47.5	125
47.83	125
47.83	88
48.08	88
48.08	125
48.41	125
48.41	88
48.91	88
48.91	125
49.33	125
49.33	88
49.58	88
49.58	125
50	125
50	40
54	40
54	88
54.25	88
54.25	125
54.5	125
54.5	88
54.75	88
54.75	125
55	125
55	88
55.25	88
55.25	125
55.5	125
55.5	88
55.91	88
55.91	125
56.25	125
56.25	88
56.5	88
56.5	125
56.83	125
56.83	88
57.08	88
57.08	125
57.41	125
57.41	88
57.91	88
57.91	125
58.33	125
58.33	88
58.58	88
58.58	125
59	125
59	40
63	40
63	88
63.25	88
63.25	125
63.5	125
63.5	88
63.75	88
63.75	125
64	125
64	88
64.25	88
64.25	125
64.5	125
64.5	88
64.91	88
64.91	125
65.25	125
65.25	88
65.5	88
65.5	125
65.83	125
65.83	88
66.08	88
66.08	125
66.41	125
66.41	88
66.91	88
66.91	125
67.33	125
67.33	88
67.58	88
67.58	125
68	125
68	40
70	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	4200	Workout
300	600	Endurance 1
600	645	Threshold 1
645	660	Sprint 1
660	705	Threshold 2
705	720	Sprint 2
720	765	Threshold 3
765	780	Sprint 3
1080	1095	Sweet Spot 1
1095	1110	Sprint 4
1110	1125	Sweet Spot 2
1125	1140	Sprint 5
1140	1155	Sweet Spot 3
1155	1170	Sprint 6
1170	1195	Sweet Spot 4
1195	1215	Sprint 7
1215	1230	Sweet Spot 5
1230	1250	Sprint 8
1250	1265	Sweet Spot 6
1265	1285	Sprint 9
1285	1315	Sweet Spot 7
1315	1340	Sprint 10
1340	1355	Sweet Spot 8
1355	1380	Sprint 11
1620	1635	Sweet Spot 9
1635	1650	Sprint 12
1650	1665	Sweet Spot 10
1665	1680	Sprint 13
1680	1695	Sweet Spot 11
1695	1710	Sprint 14
1710	1735	Sweet Spot 12
1735	1755	Sprint 15
1755	1770	Sweet Spot 13
1770	1790	Sprint 16
1790	1805	Sweet Spot 14
1805	1825	Sprint 17
1825	1855	Sweet Spot 15
1855	1880	Sprint 18
1880	1895	Sweet Spot 16
1895	1920	Sprint 19
2160	2175	Sweet Spot 17
2175	2190	Sprint 20
2190	2205	Sweet Spot 18
2205	2220	Sprint 21
2220	2235	Sweet Spot 19
2235	2250	Sprint 22
2250	2275	Sweet Spot 20
2275	2295	Sprint 23
2295	2310	Sweet Spot 21
2310	2330	Sprint 24
2330	2345	Sweet Spot 22
2345	2365	Sprint 25
2365	2395	Sweet Spot 23
2395	2420	Sprint 26
2420	2435	Sweet Spot 24
2435	2460	Sprint 27
2700	2715	Sweet Spot 25
2715	2730	Sprint 28
2730	2745	Sweet Spot 26
2745	2760	Sprint 29
2760	2775	Sweet Spot 27
2775	2790	Sprint 30
2790	2815	Sweet Spot 28
2815	2835	Sprint 31
2835	2850	Sweet Spot 29
2850	2870	Sprint 32
2870	2885	Sweet Spot 30
2885	2905	Sprint 33
2905	2935	Sweet Spot 31
2935	2960	Sprint 34
2960	2975	Sweet Spot 32
2975	3000	Sprint 35
3240	3255	Sweet Spot 33
3255	3270	Sprint 36
3270	3285	Sweet Spot 34
3285	3300	Sprint 37
3300	3315	Sweet Spot 35
3315	3330	Sprint 38
3330	3355	Sweet Spot 36
3355	3375	Sprint 39
3375	3390	Sweet Spot 37
3390	3410	Sprint 40
3410	3425	Sweet Spot 38
3425	3445	Sprint 41
3445	3475	Sweet Spot 39
3475	3500	Sprint 42
3500	3515	Sweet Spot 40
3515	3540	Sprint 43
3780	3795	Sweet Spot 41
3795	3810	Sprint 44
3810	3825	Sweet Spot 42
3825	3840	Sprint 45
3840	3855	Sweet Spot 43
3855	3870	Sprint 46
3870	3895	Sweet Spot 44
3895	3915	Sprint 47
3915	3930	Sweet Spot 45
3930	3950	Sprint 48
3950	3965	Sweet Spot 46
3965	3985	Sprint 49
3985	4015	Sweet Spot 47
4015	4040	Sprint 50
4040	4055	Sweet Spot 48
4055	4080	Sprint 51
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

