[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Mitchell,91,97. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	125
15	125
15	10
16	10
16	40
20	40
20	88
20.25	88
20.25	125
20.5	125
20.5	88
20.75	88
20.75	125
21	125
21	88
21.25	88
21.25	125
21.5	125
21.5	88
21.75	88
21.75	125
22	125
22	88
22.41	88
22.41	125
22.75	125
22.75	88
23	88
23	125
23.33	125
23.33	88
23.58	88
23.58	125
23.91	125
23.91	88
24.41	88
24.41	125
24.83	125
24.83	88
25.08	88
25.08	125
25.5	125
25.5	40
28.5	40
28.5	88
28.75	88
28.75	125
29	125
29	88
29.25	88
29.25	125
29.5	125
29.5	88
29.75	88
29.75	125
30	125
30	88
30.25	88
30.25	125
30.5	125
30.5	88
30.91	88
30.91	125
31.25	125
31.25	88
31.5	88
31.5	125
31.83	125
31.83	88
32.08	88
32.08	125
32.41	125
32.41	88
32.91	88
32.91	125
33.33	125
33.33	88
33.58	88
33.58	125
34	125
34	40
37	40
37	88
37.25	88
37.25	125
37.5	125
37.5	88
37.75	88
37.75	125
38	125
38	88
38.25	88
38.25	125
38.5	125
38.5	88
38.75	88
38.75	125
39	125
39	88
39.41	88
39.41	125
39.75	125
39.75	88
40	88
40	125
40.33	125
40.33	88
40.58	88
40.58	125
40.91	125
40.91	88
41.41	88
41.41	125
41.83	125
41.83	88
42.08	88
42.08	125
42.5	125
42.5	40
45.5	40
45.5	88
45.75	88
45.75	125
46	125
46	88
46.25	88
46.25	125
46.5	125
46.5	88
46.75	88
46.75	125
47	125
47	88
47.25	88
47.25	125
47.5	125
47.5	88
47.91	88
47.91	125
48.25	125
48.25	88
48.5	88
48.5	125
48.83	125
48.83	88
49.08	88
49.08	125
49.41	125
49.41	88
49.91	88
49.91	125
50.33	125
50.33	88
50.58	88
50.58	125
51	125
51	40
54	40
54	88
54.25	88
54.25	125
54.5	125
54.5	88
54.75	88
54.75	125
55	125
55	88
55.25	88
55.25	125
55.5	125
55.5	88
55.75	88
55.75	125
56	125
56	88
56.41	88
56.41	125
56.75	125
56.75	88
57	88
57	125
57.33	125
57.33	88
57.58	88
57.58	125
57.91	125
57.91	88
58.41	88
58.41	125
58.83	125
58.83	88
59.08	88
59.08	125
59.5	125
59.5	40
62.5	40
62.5	88
62.75	88
62.75	125
63	125
63	88
63.25	88
63.25	125
63.5	125
63.5	88
63.75	88
63.75	125
64	125
64	88
64.25	88
64.25	125
64.5	125
64.5	88
64.91	88
64.91	125
65.25	125
65.25	88
65.5	88
65.5	125
65.83	125
65.83	88
66.08	88
66.08	125
66.41	125
66.41	88
66.91	88
66.91	125
67.33	125
67.33	88
67.58	88
67.58	125
68	125
68	40
70	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	4200	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1215	Sweet Spot 1
1215	1230	Sprint 4
1230	1245	Sweet Spot 2
1245	1260	Sprint 5
1260	1275	Sweet Spot 3
1275	1290	Sprint 6
1290	1305	Sweet Spot 4
1305	1320	Sprint 7
1320	1345	Sweet Spot 5
1345	1365	Sprint 8
1365	1380	Sweet Spot 6
1380	1400	Sprint 9
1400	1415	Sweet Spot 7
1415	1435	Sprint 10
1435	1465	Sweet Spot 8
1465	1490	Sprint 11
1490	1505	Sweet Spot 9
1505	1530	Sprint 12
1710	1725	Sweet Spot 10
1725	1740	Sprint 13
1740	1755	Sweet Spot 11
1755	1770	Sprint 14
1770	1785	Sweet Spot 12
1785	1800	Sprint 15
1800	1815	Sweet Spot 13
1815	1830	Sprint 16
1830	1855	Sweet Spot 14
1855	1875	Sprint 17
1875	1890	Sweet Spot 15
1890	1910	Sprint 18
1910	1925	Sweet Spot 16
1925	1945	Sprint 19
1945	1975	Sweet Spot 17
1975	2000	Sprint 20
2000	2015	Sweet Spot 18
2015	2040	Sprint 21
2220	2235	Sweet Spot 19
2235	2250	Sprint 22
2250	2265	Sweet Spot 20
2265	2280	Sprint 23
2280	2295	Sweet Spot 21
2295	2310	Sprint 24
2310	2325	Sweet Spot 22
2325	2340	Sprint 25
2340	2365	Sweet Spot 23
2365	2385	Sprint 26
2385	2400	Sweet Spot 24
2400	2420	Sprint 27
2420	2435	Sweet Spot 25
2435	2455	Sprint 28
2455	2485	Sweet Spot 26
2485	2510	Sprint 29
2510	2525	Sweet Spot 27
2525	2550	Sprint 30
2730	2745	Sweet Spot 28
2745	2760	Sprint 31
2760	2775	Sweet Spot 29
2775	2790	Sprint 32
2790	2805	Sweet Spot 30
2805	2820	Sprint 33
2820	2835	Sweet Spot 31
2835	2850	Sprint 34
2850	2875	Sweet Spot 32
2875	2895	Sprint 35
2895	2910	Sweet Spot 33
2910	2930	Sprint 36
2930	2945	Sweet Spot 34
2945	2965	Sprint 37
2965	2995	Sweet Spot 35
2995	3020	Sprint 38
3020	3035	Sweet Spot 36
3035	3060	Sprint 39
3240	3255	Sweet Spot 37
3255	3270	Sprint 40
3270	3285	Sweet Spot 38
3285	3300	Sprint 41
3300	3315	Sweet Spot 39
3315	3330	Sprint 42
3330	3345	Sweet Spot 40
3345	3360	Sprint 43
3360	3385	Sweet Spot 41
3385	3405	Sprint 44
3405	3420	Sweet Spot 42
3420	3440	Sprint 45
3440	3455	Sweet Spot 43
3455	3475	Sprint 46
3475	3505	Sweet Spot 44
3505	3530	Sprint 47
3530	3545	Sweet Spot 45
3545	3570	Sprint 48
3750	3765	Sweet Spot 46
3765	3780	Sprint 49
3780	3795	Sweet Spot 47
3795	3810	Sprint 50
3810	3825	Sweet Spot 48
3825	3840	Sprint 51
3840	3855	Sweet Spot 49
3855	3870	Sprint 52
3870	3895	Sweet Spot 50
3895	3915	Sprint 53
3915	3930	Sweet Spot 51
3930	3950	Sprint 54
3950	3965	Sweet Spot 52
3965	3985	Sprint 55
3985	4015	Sweet Spot 53
4015	4040	Sprint 56
4040	4055	Sweet Spot 54
4055	4080	Sprint 57
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

