[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Monroe,92,105. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	125
15	125
15	10
16	10
16	40
20	40
20	88
20.25	88
20.25	125
20.5	125
20.5	88
20.75	88
20.75	125
21	125
21	88
21.25	88
21.25	125
21.5	125
21.5	88
21.75	88
21.75	125
22	125
22	88
22.41	88
22.41	125
22.75	125
22.75	88
23	88
23	125
23.25	125
23.25	88
23.5	88
23.5	125
23.83	125
23.83	88
24.08	88
24.08	125
24.41	125
24.41	88
24.91	88
24.91	125
25.33	125
25.33	88
25.58	88
25.58	125
26	125
26	40
29	40
29	88
29.25	88
29.25	125
29.5	125
29.5	88
29.75	88
29.75	125
30	125
30	88
30.25	88
30.25	125
30.58	125
30.58	88
30.83	88
30.83	125
31.16	125
31.16	88
31.66	88
31.66	125
32	125
32	88
32.25	88
32.25	125
32.58	125
32.58	88
32.83	88
32.83	125
33.08	125
33.08	88
33.33	88
33.33	125
33.58	125
33.58	88
33.91	88
33.91	125
34.33	125
34.33	88
34.58	88
34.58	125
35	125
35	40
38	40
38	88
38.25	88
38.25	125
38.5	125
38.5	88
38.75	88
38.75	125
39	125
39	88
39.25	88
39.25	125
39.58	125
39.58	88
39.91	88
39.91	125
40.25	125
40.25	88
40.58	88
40.58	125
40.91	125
40.91	88
41.16	88
41.16	125
41.41	125
41.41	88
41.66	88
41.66	125
41.91	125
41.91	88
42.25	88
42.25	125
42.66	125
42.66	88
42.91	88
42.91	125
43.33	125
43.33	88
43.58	88
43.58	125
44	125
44	40
47	40
47	88
47.25	88
47.25	125
47.5	125
47.5	88
47.75	88
47.75	125
48	125
48	88
48.25	88
48.25	125
48.58	125
48.58	88
48.83	88
48.83	125
49.16	125
49.16	88
49.66	88
49.66	125
50.08	125
50.08	88
50.41	88
50.41	125
50.75	125
50.75	88
51.08	88
51.08	125
51.33	125
51.33	88
51.58	88
51.58	125
51.83	125
51.83	88
52.08	88
52.08	125
52.33	125
52.33	88
52.58	88
52.58	125
53	125
53	40
56	40
56	88
56.25	88
56.25	125
56.5	125
56.5	88
56.75	88
56.75	125
57	125
57	88
57.25	88
57.25	125
57.58	125
57.58	88
57.91	88
57.91	125
58.25	125
58.25	88
58.5	88
58.5	125
58.83	125
58.83	88
59.08	88
59.08	125
59.33	125
59.33	88
59.58	88
59.58	125
59.83	125
59.83	88
60.08	88
60.08	125
60.5	125
60.5	88
60.91	88
60.91	125
61.33	125
61.33	88
61.58	88
61.58	125
62	125
62	40
65	40
65	88
65.25	88
65.25	125
65.5	125
65.5	88
65.75	88
65.75	125
66	125
66	88
66.25	88
66.25	125
66.5	125
66.5	88
66.75	88
66.75	125
67.08	125
67.08	88
67.33	88
67.33	125
67.66	125
67.66	88
68	88
68	125
68.33	125
68.33	88
68.58	88
68.58	125
69	125
69	88
69.25	88
69.25	125
69.5	125
69.5	88
69.91	88
69.91	125
70.33	125
70.33	88
70.58	88
70.58	125
71	125
71	40
75	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	4500	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1215	Sweet Spot 1
1215	1230	Sprint 4
1230	1245	Sweet Spot 2
1245	1260	Sprint 5
1260	1275	Sweet Spot 3
1275	1290	Sprint 6
1290	1305	Sweet Spot 4
1305	1320	Sprint 7
1320	1345	Sweet Spot 5
1345	1365	Sprint 8
1365	1380	Sweet Spot 6
1380	1395	Sprint 9
1395	1410	Sweet Spot 7
1410	1430	Sprint 10
1430	1445	Sweet Spot 8
1445	1465	Sprint 11
1465	1495	Sweet Spot 9
1495	1520	Sprint 12
1520	1535	Sweet Spot 10
1535	1560	Sprint 13
1740	1755	Sweet Spot 11
1755	1770	Sprint 14
1770	1785	Sweet Spot 12
1785	1800	Sprint 15
1800	1815	Sweet Spot 13
1815	1835	Sprint 16
1835	1850	Sweet Spot 14
1850	1870	Sprint 17
1870	1900	Sweet Spot 15
1900	1920	Sprint 18
1920	1935	Sweet Spot 16
1935	1955	Sprint 19
1955	1970	Sweet Spot 17
1970	1985	Sprint 20
1985	2000	Sweet Spot 18
2000	2015	Sprint 21
2015	2035	Sweet Spot 19
2035	2060	Sprint 22
2060	2075	Sweet Spot 20
2075	2100	Sprint 23
2280	2295	Sweet Spot 21
2295	2310	Sprint 24
2310	2325	Sweet Spot 22
2325	2340	Sprint 25
2340	2355	Sweet Spot 23
2355	2375	Sprint 26
2375	2395	Sweet Spot 24
2395	2415	Sprint 27
2415	2435	Sweet Spot 25
2435	2455	Sprint 28
2455	2470	Sweet Spot 26
2470	2485	Sprint 29
2485	2500	Sweet Spot 27
2500	2515	Sprint 30
2515	2535	Sweet Spot 28
2535	2560	Sprint 31
2560	2575	Sweet Spot 29
2575	2600	Sprint 32
2600	2615	Sweet Spot 30
2615	2640	Sprint 33
2820	2835	Sweet Spot 31
2835	2850	Sprint 34
2850	2865	Sweet Spot 32
2865	2880	Sprint 35
2880	2895	Sweet Spot 33
2895	2915	Sprint 36
2915	2930	Sweet Spot 34
2930	2950	Sprint 37
2950	2980	Sweet Spot 35
2980	3005	Sprint 38
3005	3025	Sweet Spot 36
3025	3045	Sprint 39
3045	3065	Sweet Spot 37
3065	3080	Sprint 40
3080	3095	Sweet Spot 38
3095	3110	Sprint 41
3110	3125	Sweet Spot 39
3125	3140	Sprint 42
3140	3155	Sweet Spot 40
3155	3180	Sprint 43
3360	3375	Sweet Spot 41
3375	3390	Sprint 44
3390	3405	Sweet Spot 42
3405	3420	Sprint 45
3420	3435	Sweet Spot 43
3435	3455	Sprint 46
3455	3475	Sweet Spot 44
3475	3495	Sprint 47
3495	3510	Sweet Spot 45
3510	3530	Sprint 48
3530	3545	Sweet Spot 46
3545	3560	Sprint 49
3560	3575	Sweet Spot 47
3575	3590	Sprint 50
3590	3605	Sweet Spot 48
3605	3630	Sprint 51
3630	3655	Sweet Spot 49
3655	3680	Sprint 52
3680	3695	Sweet Spot 50
3695	3720	Sprint 53
3900	3915	Sweet Spot 51
3915	3930	Sprint 54
3930	3945	Sweet Spot 52
3945	3960	Sprint 55
3960	3975	Sweet Spot 53
3975	3990	Sprint 56
3990	4005	Sweet Spot 54
4005	4025	Sprint 57
4025	4040	Sweet Spot 55
4040	4060	Sprint 58
4060	4080	Sweet Spot 56
4080	4100	Sprint 59
4100	4115	Sweet Spot 57
4115	4140	Sprint 60
4140	4155	Sweet Spot 58
4155	4170	Sprint 61
4170	4195	Sweet Spot 59
4195	4220	Sprint 62
4220	4235	Sweet Spot 60
4235	4260	Sprint 63
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

