[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Megantic,86,75. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	150
15	150
15	10
16	10
16	40
20	40
20	150
20.5	150
20.5	80
21	88
21	88
21.25	88
21.25	125
21.5	125
21.5	88
21.75	88
21.75	125
22	125
22	88
22.25	88
22.25	125
22.5	125
22.5	88
22.75	88
22.75	125
23	125
23	88
23.25	88
23.25	125
23.5	125
23.5	88
23.75	88
23.75	125
24	125
24	88
24.25	88
24.25	125
24.5	125
24.5	88
24.75	88
24.75	125
25	125
25	40
30	40
30	150
30.5	150
30.5	80
31	88
31	88
31.25	88
31.25	125
31.5	125
31.5	88
31.75	88
31.75	125
32	125
32	88
32.25	88
32.25	125
32.5	125
32.5	88
32.75	88
32.75	125
33	125
33	88
33.25	88
33.25	125
33.5	125
33.5	88
33.75	88
33.75	125
34	125
34	88
34.25	88
34.25	125
34.5	125
34.5	88
34.75	88
34.75	125
35	125
35	40
40	40
40	150
40.5	150
40.5	80
41	88
41	88
41.25	88
41.25	125
41.5	125
41.5	88
41.75	88
41.75	125
42	125
42	88
42.25	88
42.25	125
42.5	125
42.5	88
42.75	88
42.75	125
43	125
43	88
43.25	88
43.25	125
43.5	125
43.5	88
43.75	88
43.75	125
44	125
44	88
44.25	88
44.25	125
44.5	125
44.5	88
44.75	88
44.75	125
45	125
45	40
50	40
50	150
50.5	150
50.5	80
51	88
51	88
51.25	88
51.25	125
51.5	125
51.5	88
51.75	88
51.75	125
52	125
52	88
52.25	88
52.25	125
52.5	125
52.5	88
52.75	88
52.75	125
53	125
53	88
53.25	88
53.25	125
53.5	125
53.5	88
53.75	88
53.75	125
54	125
54	88
54.25	88
54.25	125
54.5	125
54.5	88
54.75	88
54.75	125
55	125
55	40
60	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	3600	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1230	Sprint 4
1230	1260	Tempo 1
1260	1275	Sweet Spot 1
1275	1290	Sprint 5
1290	1305	Sweet Spot 2
1305	1320	Sprint 6
1320	1335	Sweet Spot 3
1335	1350	Sprint 7
1350	1365	Sweet Spot 4
1365	1380	Sprint 8
1380	1395	Sweet Spot 5
1395	1410	Sprint 9
1410	1425	Sweet Spot 6
1425	1440	Sprint 10
1440	1455	Sweet Spot 7
1455	1470	Sprint 11
1470	1485	Sweet Spot 8
1485	1500	Sprint 12
1800	1830	Sprint 13
1830	1860	Tempo 2
1860	1875	Sweet Spot 9
1875	1890	Sprint 14
1890	1905	Sweet Spot 10
1905	1920	Sprint 15
1920	1935	Sweet Spot 11
1935	1950	Sprint 16
1950	1965	Sweet Spot 12
1965	1980	Sprint 17
1980	1995	Sweet Spot 13
1995	2010	Sprint 18
2010	2025	Sweet Spot 14
2025	2040	Sprint 19
2040	2055	Sweet Spot 15
2055	2070	Sprint 20
2070	2085	Sweet Spot 16
2085	2100	Sprint 21
2400	2430	Sprint 22
2430	2460	Tempo 3
2460	2475	Sweet Spot 17
2475	2490	Sprint 23
2490	2505	Sweet Spot 18
2505	2520	Sprint 24
2520	2535	Sweet Spot 19
2535	2550	Sprint 25
2550	2565	Sweet Spot 20
2565	2580	Sprint 26
2580	2595	Sweet Spot 21
2595	2610	Sprint 27
2610	2625	Sweet Spot 22
2625	2640	Sprint 28
2640	2655	Sweet Spot 23
2655	2670	Sprint 29
2670	2685	Sweet Spot 24
2685	2700	Sprint 30
3000	3030	Sprint 31
3030	3060	Tempo 4
3060	3075	Sweet Spot 25
3075	3090	Sprint 32
3090	3105	Sweet Spot 26
3105	3120	Sprint 33
3120	3135	Sweet Spot 27
3135	3150	Sprint 34
3150	3165	Sweet Spot 28
3165	3180	Sprint 35
3180	3195	Sweet Spot 29
3195	3210	Sprint 36
3210	3225	Sweet Spot 30
3225	3240	Sprint 37
3240	3255	Sweet Spot 31
3255	3270	Sprint 38
3270	3285	Sweet Spot 32
3285	3300	Sprint 39
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

