[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Flume,83,103. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	125
15	125
15	10
16	10
16	40
20	40
20	87
20.25	87
20.25	125
20.5	125
20.5	87
20.75	87
20.75	125
21	125
21	87
21.25	87
21.25	125
21.5	125
21.5	87
22	87
22	125
22.25	125
22.25	87
22.5	87
22.5	125
22.75	125
22.75	87
23	87
23	125
23.25	125
23.25	40
26.5	40
26.5	88
26.75	88
26.75	125
27	125
27	88
27.25	88
27.25	125
27.5	125
27.5	88
27.75	88
27.75	125
28	125
28	88
28.5	88
28.5	125
28.75	125
28.75	88
29	88
29	125
29.25	125
29.25	88
29.75	88
29.75	125
30	125
30	88
30.25	88
30.25	125
30.5	125
30.5	88
30.75	88
30.75	125
31	125
31	40
35.5	40
35.5	88
35.75	88
35.75	125
36	125
36	88
36.25	88
36.25	125
36.5	125
36.5	88
36.75	88
36.75	125
37	125
37	88
37.5	88
37.5	125
37.75	125
37.75	88
38	88
38	125
38.25	125
38.25	88
38.5	88
38.5	125
38.75	125
38.75	88
39.25	88
39.25	125
39.5	125
39.5	88
39.75	88
39.75	125
40	125
40	88
40.25	88
40.25	125
40.5	125
40.5	40
45.5	40
45.5	88
45.75	88
45.75	125
46	125
46	88
46.25	88
46.25	125
46.5	125
46.5	88
46.75	88
46.75	125
47	125
47	88
47.5	88
47.5	125
47.75	125
47.75	88
48	88
48	125
48.25	125
48.25	88
48.5	88
48.5	125
48.75	125
48.75	88
49	88
49	125
49.25	125
49.25	88
49.75	88
49.75	125
50	125
50	88
50.25	88
50.25	125
50.5	125
50.5	88
50.75	88
50.75	125
51	125
51	40
56.5	40
56.5	88
56.75	88
56.75	125
57	125
57	88
57.25	88
57.25	125
57.5	125
57.5	88
57.75	88
57.75	125
58	125
58	88
58.5	88
58.5	125
58.75	125
58.75	88
59	88
59	125
59.25	125
59.25	88
59.5	88
59.5	125
59.75	125
59.75	88
60.25	88
60.25	125
60.5	125
60.5	88
60.75	88
60.75	125
61	125
61	88
61.25	88
61.25	125
61.5	125
61.5	40
66.5	40
66.5	88
66.75	88
66.75	125
67	125
67	88
67.25	88
67.25	125
67.5	125
67.5	88
67.75	88
67.75	125
68	125
68	88
68.5	88
68.5	125
68.75	125
68.75	88
69	88
69	125
69.25	125
69.25	88
69.75	88
69.75	125
70	125
70	88
70.25	88
70.25	125
70.5	125
70.5	88
70.75	88
70.75	125
71	125
71	40
75.5	40
75.5	88
75.75	88
75.75	125
76	125
76	88
76.25	88
76.25	125
76.5	125
76.5	88
76.75	88
76.75	125
77	125
77	88
77.5	88
77.5	125
77.75	125
77.75	88
78	88
78	125
78.25	125
78.25	88
78.5	88
78.5	125
78.75	125
78.75	50
90	40
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	5400	Workout
0	360	Active Recovery 1
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1215	Sweet Spot 1
1215	1230	Sprint 4
1230	1245	Sweet Spot 2
1245	1260	Sprint 5
1260	1275	Sweet Spot 3
1275	1290	Sprint 6
1290	1320	Sweet Spot 4
1320	1335	Sprint 7
1335	1350	Sweet Spot 5
1350	1365	Sprint 8
1365	1380	Sweet Spot 6
1380	1395	Sprint 9
1590	1605	Sweet Spot 7
1605	1620	Sprint 10
1620	1635	Sweet Spot 8
1635	1650	Sprint 11
1650	1665	Sweet Spot 9
1665	1680	Sprint 12
1680	1710	Sweet Spot 10
1710	1725	Sprint 13
1725	1740	Sweet Spot 11
1740	1755	Sprint 14
1755	1785	Sweet Spot 12
1785	1800	Sprint 15
1800	1815	Sweet Spot 13
1815	1830	Sprint 16
1830	1845	Sweet Spot 14
1845	1860	Sprint 17
2130	2145	Sweet Spot 15
2145	2160	Sprint 18
2160	2175	Sweet Spot 16
2175	2190	Sprint 19
2190	2205	Sweet Spot 17
2205	2220	Sprint 20
2220	2250	Sweet Spot 18
2250	2265	Sprint 21
2265	2280	Sweet Spot 19
2280	2295	Sprint 22
2295	2310	Sweet Spot 20
2310	2325	Sprint 23
2325	2355	Sweet Spot 21
2355	2370	Sprint 24
2370	2385	Sweet Spot 22
2385	2400	Sprint 25
2400	2415	Sweet Spot 23
2415	2430	Sprint 26
2730	2745	Sweet Spot 24
2745	2760	Sprint 27
2760	2775	Sweet Spot 25
2775	2790	Sprint 28
2790	2805	Sweet Spot 26
2805	2820	Sprint 29
2820	2850	Sweet Spot 27
2850	2865	Sprint 30
2865	2880	Sweet Spot 28
2880	2895	Sprint 31
2895	2910	Sweet Spot 29
2910	2925	Sprint 32
2925	2940	Sweet Spot 30
2940	2955	Sprint 33
2955	2985	Sweet Spot 31
2985	3000	Sprint 34
3000	3015	Sweet Spot 32
3015	3030	Sprint 35
3030	3045	Sweet Spot 33
3045	3060	Sprint 36
3390	3405	Sweet Spot 34
3405	3420	Sprint 37
3420	3435	Sweet Spot 35
3435	3450	Sprint 38
3450	3465	Sweet Spot 36
3465	3480	Sprint 39
3480	3510	Sweet Spot 37
3510	3525	Sprint 40
3525	3540	Sweet Spot 38
3540	3555	Sprint 41
3555	3570	Sweet Spot 39
3570	3585	Sprint 42
3585	3615	Sweet Spot 40
3615	3630	Sprint 43
3630	3645	Sweet Spot 41
3645	3660	Sprint 44
3660	3675	Sweet Spot 42
3675	3690	Sprint 45
3990	4005	Sweet Spot 43
4005	4020	Sprint 46
4020	4035	Sweet Spot 44
4035	4050	Sprint 47
4050	4065	Sweet Spot 45
4065	4080	Sprint 48
4080	4110	Sweet Spot 46
4110	4125	Sprint 49
4125	4140	Sweet Spot 47
4140	4155	Sprint 50
4155	4185	Sweet Spot 48
4185	4200	Sprint 51
4200	4215	Sweet Spot 49
4215	4230	Sprint 52
4230	4245	Sweet Spot 50
4245	4260	Sprint 53
4530	4545	Sweet Spot 51
4545	4560	Sprint 54
4560	4575	Sweet Spot 52
4575	4590	Sprint 55
4590	4605	Sweet Spot 53
4605	4620	Sprint 56
4620	4650	Sweet Spot 54
4650	4665	Sprint 57
4665	4680	Sweet Spot 55
4680	4695	Sprint 58
4695	4710	Sweet Spot 56
4710	4725	Sprint 59
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

