[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Hunger,86,110. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
5	50
5	72
10	72
10	96
10.75	96
10.75	125
11	125
11	96
11.75	96
11.75	125
12	125
12	96
12.75	96
12.75	125
13	125
13	10
14	10
14	40
18	40
18	87
18.25	87
18.25	124
18.5	124
18.5	87
18.75	87
18.75	124
19	124
19	87
19.25	87
19.25	124
19.5	124
19.5	87
19.75	87
19.75	124
20	124
20	40
22	40
22	88
22.25	88
22.25	125
22.5	125
22.5	88
22.75	88
22.75	125
23	125
23	88
23.25	88
23.25	125
23.5	125
23.5	88
24	88
24	125
24.25	125
24.25	88
24.5	88
24.5	125
24.75	125
24.75	88
25	88
25	125
25.25	125
25.25	40
28.25	40
28.25	88
28.5	88
28.5	125
28.75	125
28.75	88
29	88
29	125
29.25	125
29.25	88
29.5	88
29.5	125
29.75	125
29.75	88
30	88
30	125
30.25	125
30.25	88
30.75	88
30.75	125
31	125
31	88
31.25	88
31.25	125
31.5	125
31.5	88
31.75	88
31.75	125
32	125
32	88
32.25	88
32.25	125
32.5	125
32.5	40
36.5	40
36.5	88
36.75	88
36.75	125
37	125
37	88
37.25	88
37.25	125
37.5	125
37.5	88
37.75	88
37.75	125
38	125
38	88
38.5	88
38.5	125
38.75	125
38.75	88
39	88
39	125
39.25	125
39.25	88
39.5	88
39.5	125
39.75	125
39.75	88
40.25	88
40.25	125
40.5	125
40.5	88
40.75	88
40.75	125
41	125
41	88
41.25	88
41.25	125
41.5	125
41.5	88
41.75	88
41.75	125
42	125
42	40
47	40
47	88
47.25	88
47.25	125
47.5	125
47.5	88
47.75	88
47.75	125
48	125
48	88
48.25	88
48.25	125
48.5	125
48.5	88
49	88
49	125
49.25	125
49.25	88
49.5	88
49.5	125
49.75	125
49.75	88
50	88
50	125
50.25	125
50.25	88
50.75	88
50.75	125
51	125
51	88
51.25	88
51.25	125
51.5	125
51.5	88
51.75	88
51.75	125
52	125
52	88
52.5	88
52.5	125
52.75	125
52.75	88
53	88
53	125
53.25	125
53.25	88
53.5	88
53.5	125
53.75	125
53.75	40
59.75	40
59.75	88
60	88
60	125
60.25	125
60.25	88
60.5	88
60.5	125
60.75	125
60.75	88
61	88
61	125
61.25	125
61.25	88
61.75	88
61.75	125
62	125
62	88
62.25	88
62.25	125
62.5	125
62.5	88
62.75	88
62.75	125
63	125
63	88
63.5	88
63.5	125
63.75	125
63.75	88
64	88
64	125
64.25	125
64.25	88
64.5	88
64.5	125
64.75	125
64.75	88
65	88
65	125
65.25	125
65.25	40
70.25	40
70.25	88
70.5	88
70.5	125
70.75	125
70.75	88
71	88
71	125
71.25	125
71.25	88
71.5	88
71.5	125
71.75	125
71.75	88
72	88
72	125
72.25	125
72.25	88
72.75	88
72.75	125
73	125
73	88
73.25	88
73.25	125
73.5	125
73.5	88
73.75	88
73.75	125
74	125
74	88
74.25	88
74.25	125
74.5	125
74.5	40
78.5	40
78.5	88
78.75	88
78.75	125
79	125
79	88
79.25	88
79.25	125
79.5	125
79.5	88
79.75	88
79.75	125
80	125
80	88
80.5	88
80.5	125
80.75	125
80.75	88
81	88
81	125
81.25	125
81.25	88
81.5	88
81.5	125
81.75	125
81.75	41
84.75	41
84.75	88
85	88
85	125
85.25	125
85.25	88
85.5	88
85.5	125
85.75	125
85.75	88
86	88
86	125
86.25	125
86.25	88
86.5	88
86.5	125
86.75	125
86.75	40
90	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	5400	Workout
300	600	Endurance 1
600	645	Threshold 1
645	660	Sprint 1
660	705	Threshold 2
705	720	Sprint 2
720	765	Threshold 3
765	780	Sprint 3
1080	1095	Sweet Spot 1
1095	1110	Sprint 4
1110	1125	Sweet Spot 2
1125	1140	Sprint 5
1140	1155	Sweet Spot 3
1155	1170	Sprint 6
1170	1185	Sweet Spot 4
1185	1200	Sprint 7
1320	1335	Sweet Spot 5
1335	1350	Sprint 8
1350	1365	Sweet Spot 6
1365	1380	Sprint 9
1380	1395	Sweet Spot 7
1395	1410	Sprint 10
1410	1440	Sweet Spot 8
1440	1455	Sprint 11
1455	1470	Sweet Spot 9
1470	1485	Sprint 12
1485	1500	Sweet Spot 10
1500	1515	Sprint 13
1695	1710	Sweet Spot 11
1710	1725	Sprint 14
1725	1740	Sweet Spot 12
1740	1755	Sprint 15
1755	1770	Sweet Spot 13
1770	1785	Sprint 16
1785	1800	Sweet Spot 14
1800	1815	Sprint 17
1815	1845	Sweet Spot 15
1845	1860	Sprint 18
1860	1875	Sweet Spot 16
1875	1890	Sprint 19
1890	1905	Sweet Spot 17
1905	1920	Sprint 20
1920	1935	Sweet Spot 18
1935	1950	Sprint 21
2190	2205	Sweet Spot 19
2205	2220	Sprint 22
2220	2235	Sweet Spot 20
2235	2250	Sprint 23
2250	2265	Sweet Spot 21
2265	2280	Sprint 24
2280	2310	Sweet Spot 22
2310	2325	Sprint 25
2325	2340	Sweet Spot 23
2340	2355	Sprint 26
2355	2370	Sweet Spot 24
2370	2385	Sprint 27
2385	2415	Sweet Spot 25
2415	2430	Sprint 28
2430	2445	Sweet Spot 26
2445	2460	Sprint 29
2460	2475	Sweet Spot 27
2475	2490	Sprint 30
2490	2505	Sweet Spot 28
2505	2520	Sprint 31
2820	2835	Sweet Spot 29
2835	2850	Sprint 32
2850	2865	Sweet Spot 30
2865	2880	Sprint 33
2880	2895	Sweet Spot 31
2895	2910	Sprint 34
2910	2940	Sweet Spot 32
2940	2955	Sprint 35
2955	2970	Sweet Spot 33
2970	2985	Sprint 36
2985	3000	Sweet Spot 34
3000	3015	Sprint 37
3015	3045	Sweet Spot 35
3045	3060	Sprint 38
3060	3075	Sweet Spot 36
3075	3090	Sprint 39
3090	3105	Sweet Spot 37
3105	3120	Sprint 40
3120	3150	Sweet Spot 38
3150	3165	Sprint 41
3165	3180	Sweet Spot 39
3180	3195	Sprint 42
3195	3210	Sweet Spot 40
3210	3225	Sprint 43
3585	3600	Sweet Spot 41
3600	3615	Sprint 44
3615	3630	Sweet Spot 42
3630	3645	Sprint 45
3645	3660	Sweet Spot 43
3660	3675	Sprint 46
3675	3705	Sweet Spot 44
3705	3720	Sprint 47
3720	3735	Sweet Spot 45
3735	3750	Sprint 48
3750	3765	Sweet Spot 46
3765	3780	Sprint 49
3780	3810	Sweet Spot 47
3810	3825	Sprint 50
3825	3840	Sweet Spot 48
3840	3855	Sprint 51
3855	3870	Sweet Spot 49
3870	3885	Sprint 52
3885	3900	Sweet Spot 50
3900	3915	Sprint 53
4215	4230	Sweet Spot 51
4230	4245	Sprint 54
4245	4260	Sweet Spot 52
4260	4275	Sprint 55
4275	4290	Sweet Spot 53
4290	4305	Sprint 56
4305	4320	Sweet Spot 54
4320	4335	Sprint 57
4335	4365	Sweet Spot 55
4365	4380	Sprint 58
4380	4395	Sweet Spot 56
4395	4410	Sprint 59
4410	4425	Sweet Spot 57
4425	4440	Sprint 60
4440	4455	Sweet Spot 58
4455	4470	Sprint 61
4710	4725	Sweet Spot 59
4725	4740	Sprint 62
4740	4755	Sweet Spot 60
