[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Tecumseh,88,117. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
5	50
5	72
10	72
10	96
10.75	96
10.75	125
11	125
11	96
11.75	96
11.75	125
12	125
12	96
12.75	96
12.75	125
13	125
13	10
14	10
14	40
18	40
18	88
18.25	88
18.25	125
18.5	125
18.5	88
18.75	88
18.75	125
19	125
19	88
19.25	88
19.25	125
19.5	125
19.5	88
19.75	88
19.75	125
20	125
20	88
20.25	88
20.25	125
20.5	125
20.5	88
20.75	88
20.75	125
21	125
21	40
22.5	40
22.5	88
22.75	88
22.75	125
23	125
23	88
23.25	88
23.25	125
23.5	125
23.5	88
23.75	88
23.75	125
24	125
24	88
24.75	88
24.75	125
25	125
25	88
25.25	88
25.25	125
25.5	125
25.5	88
25.75	88
25.75	125
26	125
26	88
26.25	88
26.25	125
26.5	125
26.5	40
28.25	40
28.25	88
28.5	88
28.5	125
28.75	125
28.75	88
29	88
29	125
29.25	125
29.25	88
29.5	88
29.5	125
29.75	125
29.75	88
30	88
30	125
30.25	125
30.25	88
31	88
31	125
31.25	125
31.25	88
31.5	88
31.5	125
31.75	125
31.75	88
32	88
32	125
32.25	125
32.25	88
32.5	88
32.5	125
32.75	125
32.75	88
33	88
33	125
33.25	125
33.25	40
35.25	40
35.25	88
35.5	88
35.5	125
35.75	125
35.75	88
36	88
36	125
36.25	125
36.25	88
36.5	88
36.5	125
36.75	125
36.75	88
37.5	88
37.5	125
37.75	125
37.75	88
38	88
38	125
38.25	125
38.25	88
38.5	88
38.5	125
38.75	125
38.75	88
39.5	88
39.5	125
39.75	125
39.75	88
40	88
40	125
40.25	125
40.25	88
40.5	88
40.5	125
40.75	125
40.75	88
41	88
41	125
41.25	125
41.25	40
43.5	40
43.5	88
43.75	88
43.75	125
44	125
44	88
44.25	88
44.25	125
44.5	125
44.5	88
44.75	88
44.75	125
45	125
45	88
45.75	88
45.75	125
46	125
46	88
46.25	88
46.25	125
46.5	125
46.5	88
46.75	88
46.75	125
47	125
47	88
47.25	88
47.25	125
47.5	125
47.5	88
48.25	88
48.25	125
48.5	125
48.5	88
48.75	88
48.75	125
49	125
49	88
49.25	88
49.25	125
49.5	125
49.5	88
49.75	88
49.75	125
50	125
50	88
50.25	88
50.25	125
50.5	125
50.5	40
53	40
53	88
53.25	88
53.25	125
53.5	125
53.5	88
53.75	88
53.75	125
54	125
54	88
54.25	88
54.25	125
54.5	125
54.5	88
55.25	88
55.25	125
55.5	125
55.5	88
55.75	88
55.75	125
56	125
56	88
56.25	88
56.25	125
56.5	125
56.5	88
56.75	88
56.75	125
57	125
57	88
57.75	88
57.75	125
58	125
58	88
58.25	88
58.25	125
58.5	125
58.5	88
58.75	88
58.75	125
59	125
59	40
61.25	40
61.25	88
61.5	88
61.5	125
61.75	125
61.75	88
62	88
62	125
62.25	125
62.25	88
62.5	88
62.5	125
62.75	125
62.75	88
63.5	88
63.5	125
63.75	125
63.75	88
64	88
64	125
64.25	125
64.25	88
64.5	88
64.5	125
64.75	125
64.75	88
65.5	88
65.5	125
65.75	125
65.75	88
66	88
66	125
66.25	125
66.25	40
68.25	40
68.25	88
68.5	88
68.5	125
68.75	125
68.75	88
69	88
69	125
69.25	125
69.25	88
69.5	88
69.5	125
69.75	125
69.75	88
70.5	88
70.5	125
70.75	125
70.75	88
71	88
71	125
71.25	125
71.25	88
71.5	88
71.5	125
71.75	125
71.75	88
72	88
72	125
72.25	125
72.25	40
74	40
74	88
74.25	88
74.25	125
74.5	125
74.5	88
74.75	88
74.75	125
75	125
75	88
75.25	88
75.25	125
75.5	125
75.5	88
75.75	88
75.75	125
76	125
76	88
76.25	88
76.25	125
76.5	125
76.5	88
76.75	88
76.75	125
77	125
77	50
90	40
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	5400	Workout
300	600	Endurance 1
600	645	Threshold 1
645	660	Sprint 1
660	705	Threshold 2
705	720	Sprint 2
720	765	Threshold 3
765	780	Sprint 3
1080	1095	Sweet Spot 1
1095	1110	Sprint 4
1110	1125	Sweet Spot 2
1125	1140	Sprint 5
1140	1155	Sweet Spot 3
1155	1170	Sprint 6
1170	1185	Sweet Spot 4
1185	1200	Sprint 7
1200	1215	Sweet Spot 5
1215	1230	Sprint 8
1230	1245	Sweet Spot 6
1245	1260	Sprint 9
1350	1365	Sweet Spot 7
1365	1380	Sprint 10
1380	1395	Sweet Spot 8
1395	1410	Sprint 11
1410	1425	Sweet Spot 9
1425	1440	Sprint 12
1440	1485	Sweet Spot 10
1485	1500	Sprint 13
1500	1515	Sweet Spot 11
1515	1530	Sprint 14
1530	1545	Sweet Spot 12
1545	1560	Sprint 15
1560	1575	Sweet Spot 13
1575	1590	Sprint 16
1695	1710	Sweet Spot 14
1710	1725	Sprint 17
1725	1740	Sweet Spot 15
1740	1755	Sprint 18
1755	1770	Sweet Spot 16
1770	1785	Sprint 19
1785	1800	Sweet Spot 17
1800	1815	Sprint 20
1815	1860	Sweet Spot 18
1860	1875	Sprint 21
1875	1890	Sweet Spot 19
1890	1905	Sprint 22
1905	1920	Sweet Spot 20
1920	1935	Sprint 23
1935	1950	Sweet Spot 21
1950	1965	Sprint 24
1965	1980	Sweet Spot 22
1980	1995	Sprint 25
2115	2130	Sweet Spot 23
2130	2145	Sprint 26
2145	2160	Sweet Spot 24
2160	2175	Sprint 27
2175	2190	Sweet Spot 25
2190	2205	Sprint 28
2205	2250	Sweet Spot 26
2250	2265	Sprint 29
2265	2280	Sweet Spot 27
2280	2295	Sprint 30
2295	2310	Sweet Spot 28
2310	2325	Sprint 31
2325	2370	Sweet Spot 29
2370	2385	Sprint 32
2385	2400	Sweet Spot 30
2400	2415	Sprint 33
2415	2430	Sweet Spot 31
2430	2445	Sprint 34
2445	2460	Sweet Spot 32
2460	2475	Sprint 35
2610	2625	Sweet Spot 33
2625	2640	Sprint 36
2640	2655	Sweet Spot 34
2655	2670	Sprint 37
2670	2685	Sweet Spot 35
2685	2700	Sprint 38
2700	2745	Sweet Spot 36
2745	2760	Sprint 39
2760	2775	Sweet Spot 37
2775	2790	Sprint 40
2790	2805	Sweet Spot 38
2805	2820	Sprint 41
2820	2835	Sweet Spot 39
2835	2850	Sprint 42
2850	2895	Sweet Spot 40
2895	2910	Sprint 43
2910	2925	Sweet Spot 41
2925	2940	Sprint 44
2940	2955	Sweet Spot 42
2955	2970	Sprint 45
2970	2985	Sweet Spot 43
2985	3000	Sprint 46
3000	3015	Sweet Spot 44
3015	3030	Sprint 47
3180	3195	Sweet Spot 45
3195	3210	Sprint 48
3210	3225	Sweet Spot 46
3225	3240	Sprint 49
3240	3255	Sweet Spot 47
3255	3270	Sprint 50
3270	3315	Sweet Spot 48
3315	3330	Sprint 51
3330	3345	Sweet Spot 49
3345	3360	Sprint 52
3360	3375	Sweet Spot 50
3375	3390	Sprint 53
3390	3405	Sweet Spot 51
3405	3420	Sprint 54
3420	3465	Sweet Spot 52
3465	3480	Sprint 55
3480	3495	Sweet Spot 53
3495	3510	Sprint 56
3510	3525	Sweet Spot 54
3525	3540	Sprint 57
