[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Lincoln,92,126. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	125
15	125
15	10
16	10
16	40
20	40
20	88
20.25	88
20.25	125
20.5	125
20.5	88
20.75	88
20.75	125
21	125
21	88
21.25	88
21.25	125
21.5	125
21.5	88
22	88
22	125
22.25	125
22.25	88
22.5	88
22.5	125
22.75	125
22.75	88
23	88
23	125
23.25	125
23.25	88
23.75	88
23.75	125
24	125
24	88
24.25	88
24.25	125
24.5	125
24.5	88
24.75	88
24.75	125
25	125
25	40
27.5	40
27.5	88
27.75	88
27.75	125
28	125
28	88
28.25	88
28.25	125
28.5	125
28.5	88
28.75	88
28.75	125
29	125
29	88
29.25	88
29.25	125
29.5	125
29.5	88
30	88
30	125
30.25	125
30.25	88
30.5	88
30.5	125
30.75	125
30.75	88
31	88
31	125
31.25	125
31.25	88
31.5	88
31.5	125
31.75	125
31.75	88
32.25	88
32.25	125
32.5	125
32.5	88
32.75	88
32.75	125
33	125
33	88
33.25	88
33.25	125
33.5	125
33.5	88
33.75	88
33.75	125
34	125
34	40
37	40
37	88
37.25	88
37.25	125
37.5	125
37.5	88
37.75	88
37.75	125
38	125
38	88
38.25	88
38.25	125
38.5	125
38.5	88
38.75	88
38.75	125
39	125
39	88
39.25	88
39.25	125
39.5	125
39.5	88
40	88
40	125
40.25	125
40.25	88
40.5	88
40.5	125
40.75	125
40.75	88
41	88
41	125
41.25	125
41.25	88
41.5	88
41.5	125
41.75	125
41.75	88
42	88
42	125
42.25	125
42.25	88
42.75	88
42.75	125
43	125
43	88
43.25	88
43.25	125
43.5	125
43.5	88
43.75	88
43.75	125
44	125
44	88
44.25	88
44.25	125
44.5	125
44.5	88
44.75	88
44.75	125
45	125
45	40
48.5	40
48.5	88
48.75	88
48.75	125
49	125
49	88
49.25	88
49.25	125
49.5	125
49.5	88
49.75	88
49.75	125
50	125
50	88
50.25	88
50.25	125
50.5	125
50.5	88
51	88
51	125
51.25	125
51.25	88
51.5	88
51.5	125
51.75	125
51.75	88
52	88
52	125
52.25	125
52.25	88
52.5	88
52.5	125
52.75	125
52.75	88
53.25	88
53.25	125
53.5	125
53.5	88
53.75	88
53.75	125
54	125
54	88
54.25	88
54.25	125
54.5	125
54.5	88
54.75	88
54.75	125
55	125
55	88
55.5	88
55.5	125
55.75	125
55.75	88
56	88
56	125
56.25	125
56.25	88
56.5	88
56.5	125
56.75	125
56.75	88
57	88
57	125
57.25	125
57.25	40
61.25	40
61.25	88
61.5	88
61.5	125
61.75	125
61.75	88
62	88
62	125
62.25	125
62.25	88
62.5	88
62.5	125
62.75	125
62.75	88
63	88
63	125
63.25	125
63.25	88
63.5	88
63.5	125
63.75	125
63.75	88
64.25	88
64.25	125
64.5	125
64.5	88
64.75	88
64.75	125
65	125
65	88
65.25	88
65.25	125
65.5	125
65.5	88
65.75	88
65.75	125
66	125
66	88
66.25	88
66.25	125
66.5	125
66.5	88
67	88
67	125
67.25	125
67.25	88
67.5	88
67.5	125
67.75	125
67.75	88
68	88
68	125
68.25	125
68.25	88
68.5	88
68.5	125
68.75	125
68.75	88
69	88
69	125
69.25	125
69.25	40
72.75	40
72.75	88
73	88
73	125
73.25	125
73.25	88
73.5	88
73.5	125
73.75	125
73.75	88
74	88
74	125
74.25	125
74.25	88
74.5	88
74.5	125
74.75	125
74.75	88
75.25	88
75.25	125
75.5	125
75.5	88
75.75	88
75.75	125
76	125
76	88
76.25	88
76.25	125
76.5	125
76.5	88
76.75	88
76.75	125
77	125
77	88
77.5	88
77.5	125
77.75	125
77.75	88
78	88
78	125
78.25	125
78.25	88
78.5	88
78.5	125
78.75	125
78.75	88
79	88
79	125
79.25	125
79.25	40
82.25	40
82.25	88
82.5	88
82.5	125
82.75	125
82.75	88
83	88
83	125
83.25	125
83.25	88
83.5	88
83.5	125
83.75	125
83.75	88
84.25	88
84.25	125
84.5	125
84.5	88
84.75	88
84.75	125
85	125
85	88
85.25	88
85.25	125
85.5	125
85.5	88
86	88
86	125
86.25	125
86.25	88
86.5	88
86.5	125
86.75	125
86.75	88
87	88
87	125
87.25	125
87.25	88
87.5	88
87.5	125
87.75	125
87.75	40
90	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	5400	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1215	Sweet Spot 1
1215	1230	Sprint 4
1230	1245	Sweet Spot 2
1245	1260	Sprint 5
1260	1275	Sweet Spot 3
1275	1290	Sprint 6
1290	1320	Sweet Spot 4
1320	1335	Sprint 7
1335	1350	Sweet Spot 5
1350	1365	Sprint 8
1365	1380	Sweet Spot 6
1380	1395	Sprint 9
1395	1425	Sweet Spot 7
1425	1440	Sprint 10
1440	1455	Sweet Spot 8
1455	1470	Sprint 11
1470	1485	Sweet Spot 9
1485	1500	Sprint 12
1650	1665	Sweet Spot 10
1665	1680	Sprint 13
1680	1695	Sweet Spot 11
1695	1710	Sprint 14
1710	1725	Sweet Spot 12
1725	1740	Sprint 15
1740	1755	Sweet Spot 13
1755	1770	Sprint 16
1770	1800	Sweet Spot 14
1800	1815	Sprint 17
1815	1830	Sweet Spot 15
1830	1845	Sprint 18
1845	1860	Sweet Spot 16
1860	1875	Sprint 19
1875	1890	Sweet Spot 17
1890	1905	Sprint 20
1905	1935	Sweet Spot 18
1935	1950	Sprint 21
1950	1965	Sweet Spot 19
1965	1980	Sprint 22
1980	1995	Sweet Spot 20
1995	2010	Sprint 23
2010	2025	Sweet Spot 21
2025	2040	Sprint 24
2220	2235	Sweet Spot 22
2235	2250	Sprint 25
2250	2265	Sweet Spot 23
2265	2280	Sprint 26
2280	2295	Sweet Spot 24
2295	2310	Sprint 27
2310	2325	Sweet Spot 25
2325	2340	Sprint 28
2340	2355	Sweet Spot 26
2355	2370	Sprint 29
2370	2400	Sweet Spot 27
2400	2415	Sprint 30
2415	2430	Sweet Spot 28
2430	2445	Sprint 31
2445	2460	Sweet Spot 29
2460	2475	Sprint 32
2475	2490	Sweet Spot 30
2490	2505	Sprint 33
2505	2520	Sweet Spot 31
2520	2535	Sprint 34
2535	2565	Sweet Spot 32
2565	2580	Sprint 35
2580	2595	Sweet Spot 33
2595	2610	Sprint 36
2610	2625	Sweet Spot 34
2625	2640	Sprint 37
2640	2655	Sweet Spot 35
2655	2670	Sprint 38
2670	2685	Sweet Spot 36
2685	2700	Sprint 39
2910	2925	Sweet Spot 37
2925	2940	Sprint 40
2940	2955	Sweet Spot 38
2955	2970	Sprint 41
2970	2985	Sweet Spot 39
2985	3000	Sprint 42
3000	3015	Sweet Spot 40
3015	3030	Sprint 43
3030	3060	Sweet Spot 41
3060	3075	Sprint 44
3075	3090	Sweet Spot 42
3090	3105	Sprint 45
3105	3120	Sweet Spot 43
3120	3135	Sprint 46
3135	3150	Sweet Spot 44
3150	3165	Sprint 47
