[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Sassafras,92,127. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	125
15	125
15	10
16	10
16	40
20	40
20	87
20.25	87
20.25	124
20.5	124
20.5	87
20.75	87
20.75	124
21	124
21	87
21.25	87
21.25	124
21.5	124
21.5	87
21.75	87
21.75	124
22	124
22	40
23	40
23	88
23.25	88
23.25	125
23.5	125
23.5	88
23.75	88
23.75	125
24	125
24	88
24.25	88
24.25	125
24.5	125
24.5	88
25	88
25	125
25.25	125
25.25	88
25.5	88
25.5	125
25.75	125
25.75	88
26	88
26	125
26.25	125
26.25	40
27.5	40
27.5	88
27.75	88
27.75	125
28	125
28	88
28.25	88
28.25	125
28.5	125
28.5	88
28.75	88
28.75	125
29	125
29	88
29.25	88
29.25	125
29.5	125
29.5	88
30	88
30	125
30.25	125
30.25	88
30.5	88
30.5	125
30.75	125
30.75	88
31	88
31	125
31.25	125
31.25	88
31.5	88
31.5	125
31.75	125
31.75	40
33.25	40
33.25	88
33.5	88
33.5	125
33.75	125
33.75	88
34	88
34	125
34.25	125
34.25	88
34.5	88
34.5	125
34.75	125
34.75	88
35.25	88
35.25	125
35.5	125
35.5	88
35.75	88
35.75	125
36	125
36	88
36.25	88
36.25	125
36.5	125
36.5	88
37	88
37	125
37.25	125
37.25	88
37.5	88
37.5	125
37.75	125
37.75	88
38	88
38	125
38.25	125
38.25	40
40	40
40	88
40.25	88
40.25	125
40.5	125
40.5	88
40.75	88
40.75	125
41	125
41	88
41.25	88
41.25	125
41.5	125
41.5	88
42	88
42	125
42.25	125
42.25	88
42.5	88
42.5	125
42.75	125
42.75	88
43	88
43	125
43.25	125
43.25	88
43.75	88
43.75	125
44	125
44	88
44.25	88
44.25	125
44.5	125
44.5	88
44.75	88
44.75	125
45	125
45	88
45.5	88
45.5	125
45.75	125
45.75	88
46	88
46	125
46.25	125
46.25	88
46.5	88
46.5	125
46.75	125
46.75	40
48.75	40
48.75	88
49	88
49	125
49.25	125
49.25	88
49.5	88
49.5	125
49.75	125
49.75	88
50	88
50	125
50.25	125
50.25	88
50.5	88
50.5	125
50.75	125
50.75	88
51.25	88
51.25	125
51.5	125
51.5	88
51.75	88
51.75	125
52	125
52	88
52.25	88
52.25	125
52.5	125
52.5	88
53	88
53	125
53.25	125
53.25	88
53.5	88
53.5	125
53.75	125
53.75	88
54	88
54	125
54.25	125
54.25	88
54.75	88
54.75	125
55	125
55	88
55.25	88
55.25	125
55.5	125
55.5	88
55.75	88
55.75	125
56	125
56	88
56.25	88
56.25	125
56.5	125
56.5	40
59	40
59	88
59.25	88
59.25	125
59.5	125
59.5	88
59.75	88
59.75	125
60	125
60	88
60.25	88
60.25	125
60.5	125
60.5	88
61	88
61	125
61.25	125
61.25	88
61.5	88
61.5	125
61.75	125
61.75	88
62	88
62	125
62.25	125
62.25	88
62.75	88
62.75	125
63	125
63	88
63.25	88
63.25	125
63.5	125
63.5	88
63.75	88
63.75	125
64	125
64	88
64.5	88
64.5	125
64.75	125
64.75	88
65	88
65	125
65.25	125
65.25	88
65.5	88
65.5	125
65.75	125
65.75	40
67.75	40
67.75	88
68	88
68	125
68.25	125
68.25	88
68.5	88
68.5	125
68.75	125
68.75	88
69	88
69	125
69.25	125
69.25	88
69.75	88
69.75	125
70	125
70	88
70.25	88
70.25	125
70.5	125
70.5	88
70.75	88
70.75	125
71	125
71	88
71.5	88
71.5	125
71.75	125
71.75	88
72	88
72	125
72.25	125
72.25	88
72.5	88
72.5	125
72.75	125
72.75	40
74.5	40
74.5	88
74.75	88
74.75	125
75	125
75	88
75.25	88
75.25	125
75.5	125
75.5	88
75.75	88
75.75	125
76	125
76	88
76.25	88
76.25	125
76.5	125
76.5	88
77	88
77	125
77.25	125
77.25	88
77.5	88
77.5	125
77.75	125
77.75	88
78	88
78	125
78.25	125
78.25	88
78.5	88
78.5	125
78.75	125
78.75	40
80.25	40
80.25	88
80.5	88
80.5	125
80.75	125
80.75	88
81	88
81	125
81.25	125
81.25	88
81.5	88
81.5	125
81.75	125
81.75	88
82.25	88
82.25	125
82.5	125
82.5	88
82.75	88
82.75	125
83	125
83	88
83.25	88
83.25	125
83.5	125
83.5	41
84.75	41
84.75	88
85	88
85	125
85.25	125
85.25	88
85.5	88
85.5	125
85.75	125
85.75	88
86	88
86	125
86.25	125
86.25	88
86.5	88
86.5	125
86.75	125
86.75	40
90	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	5400	Workout
0	360	Active Recovery 1
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1215	Sweet Spot 1
1215	1230	Sprint 4
1230	1245	Sweet Spot 2
1245	1260	Sprint 5
1260	1275	Sweet Spot 3
1275	1290	Sprint 6
1290	1305	Sweet Spot 4
1305	1320	Sprint 7
1380	1395	Sweet Spot 5
1395	1410	Sprint 8
1410	1425	Sweet Spot 6
1425	1440	Sprint 9
1440	1455	Sweet Spot 7
1455	1470	Sprint 10
1470	1500	Sweet Spot 8
1500	1515	Sprint 11
1515	1530	Sweet Spot 9
1530	1545	Sprint 12
1545	1560	Sweet Spot 10
1560	1575	Sprint 13
1650	1665	Sweet Spot 11
1665	1680	Sprint 14
1680	1695	Sweet Spot 12
1695	1710	Sprint 15
1710	1725	Sweet Spot 13
1725	1740	Sprint 16
1740	1755	Sweet Spot 14
1755	1770	Sprint 17
1770	1800	Sweet Spot 15
1800	1815	Sprint 18
1815	1830	Sweet Spot 16
1830	1845	Sprint 19
1845	1860	Sweet Spot 17
1860	1875	Sprint 20
1875	1890	Sweet Spot 18
1890	1905	Sprint 21
1995	2010	Sweet Spot 19
2010	2025	Sprint 22
2025	2040	Sweet Spot 20
2040	2055	Sprint 23
2055	2070	Sweet Spot 21
2070	2085	Sprint 24
2085	2115	Sweet Spot 22
2115	2130	Sprint 25
2130	2145	Sweet Spot 23
2145	2160	Sprint 26
2160	2175	Sweet Spot 24
2175	2190	Sprint 27
2190	2220	Sweet Spot 25
2220	2235	Sprint 28
2235	2250	Sweet Spot 26
2250	2265	Sprint 29
2265	2280	Sweet Spot 27
2280	2295	Sprint 30
2400	2415	Sweet Spot 28
2415	2430	Sprint 31
2430	2445	Sweet Spot 29
2445	2460	Sprint 32
2460	2475	Sweet Spot 30
2475	2490	Sprint 33
2490	2520	Sweet Spot 31
2520	2535	Sprint 34
2535	2550	Sweet Spot 32
2550	2565	Sprint 35
2565	2580	Sweet Spot 33
2580	2595	Sprint 36
2595	2625	Sweet Spot 34
2625	2640	Sprint 37
2640	2655	Sweet Spot 35
2655	2670	Sprint 38
2670	2685	Sweet Spot 36
2685	2700	Sprint 39
2700	2730	Sweet Spot 37
2730	2745	Sprint 40
2745	2760	Sweet Spot 38
2760	2775	Sprint 41
2775	2790	Sweet Spot 39
2790	2805	Sprint 42
2925	2940	Sweet Spot 40
2940	2955	Sprint 43
