[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Isolation,91,145. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	125
15	125
15	10
16	10
16	40
20	40
20	88
20.25	88
20.25	125
20.5	125
20.5	88
20.75	88
20.75	125
21	125
21	88
21.25	88
21.25	125
21.5	125
21.5	88
22	88
22	125
22.25	125
22.25	88
22.5	88
22.5	125
22.75	125
22.75	88
23	88
23	125
23.25	125
23.25	88
23.5	88
23.5	125
23.75	125
23.75	88
24.25	88
24.25	125
24.5	125
24.5	88
24.75	88
24.75	125
25	125
25	88
25.25	88
25.25	125
25.5	125
25.5	88
25.75	88
25.75	125
26	125
26	88
26.25	88
26.25	125
26.5	125
26.5	40
29.5	40
29.5	88
29.75	88
29.75	125
30	125
30	88
30.25	88
30.25	125
30.5	125
30.5	88
30.75	88
30.75	125
31	125
31	88
31.25	88
31.25	125
31.5	125
31.5	88
32	88
32	125
32.25	125
32.25	88
32.5	88
32.5	125
32.75	125
32.75	88
33	88
33	125
33.25	125
33.25	88
33.5	88
33.5	125
33.75	125
33.75	88
34	88
34	125
34.25	125
34.25	88
34.75	88
34.75	125
35	125
35	88
35.25	88
35.25	125
35.5	125
35.5	88
35.75	88
35.75	125
36	125
36	88
36.25	88
36.25	125
36.5	125
36.5	88
36.75	88
36.75	125
37	125
37	40
40.5	40
40.5	88
40.75	88
40.75	125
41	125
41	88
41.25	88
41.25	125
41.5	125
41.5	88
41.75	88
41.75	125
42	125
42	88
42.25	88
42.25	125
42.5	125
42.5	88
42.75	88
42.75	125
43	125
43	88
43.5	88
43.5	125
43.75	125
43.75	88
44	88
44	125
44.25	125
44.25	88
44.5	88
44.5	125
44.75	125
44.75	88
45	88
45	125
45.25	125
45.25	88
45.5	88
45.5	125
45.75	125
45.75	88
46	88
46	125
46.25	125
46.25	88
46.75	88
46.75	125
47	125
47	88
47.25	88
47.25	125
47.5	125
47.5	88
47.75	88
47.75	125
48	125
48	88
48.25	88
48.25	125
48.5	125
48.5	88
48.75	88
48.75	125
49	125
49	40
53	40
53	88
53.25	88
53.25	125
53.5	125
53.5	88
53.75	88
53.75	125
54	125
54	88
54.25	88
54.25	125
54.5	125
54.5	88
54.75	88
54.75	125
55	125
55	88
55.25	88
55.25	125
55.5	125
55.5	88
56	88
56	125
56.25	125
56.25	88
56.5	88
56.5	125
56.75	125
56.75	88
57	88
57	125
57.25	125
57.25	88
57.5	88
57.5	125
57.75	125
57.75	88
58	88
58	125
58.25	125
58.25	88
58.75	88
58.75	125
59	125
59	88
59.25	88
59.25	125
59.5	125
59.5	88
59.75	88
59.75	125
60	125
60	88
60.25	88
60.25	125
60.5	125
60.5	88
61	88
61	125
61.25	125
61.25	88
61.5	88
61.5	125
61.75	125
61.75	88
62	88
62	125
62.25	125
62.25	88
62.5	88
62.5	125
62.75	125
62.75	40
67.25	40
67.25	88
67.5	88
67.5	125
67.75	125
67.75	88
68	88
68	125
68.25	125
68.25	88
68.5	88
68.5	125
68.75	125
68.75	88
69	88
69	125
69.25	125
69.25	88
69.5	88
69.5	125
69.75	125
69.75	88
70.25	88
70.25	125
70.5	125
70.5	88
70.75	88
70.75	125
71	125
71	88
71.25	88
71.25	125
71.5	125
71.5	88
71.75	88
71.75	125
72	125
72	88
72.25	88
72.25	125
72.5	125
72.5	88
72.75	88
72.75	125
73	125
73	88
73.5	88
73.5	125
73.75	125
73.75	88
74	88
74	125
74.25	125
74.25	88
74.5	88
74.5	125
74.75	125
74.75	88
75	88
75	125
75.25	125
75.25	88
75.5	88
75.5	125
75.75	125
75.75	40
79.75	40
79.75	88
80	88
80	125
80.25	125
80.25	88
80.5	88
80.5	125
80.75	125
80.75	88
81	88
81	125
81.25	125
81.25	88
81.75	88
81.75	125
82	125
82	88
82.25	88
82.25	125
82.5	125
82.5	88
82.75	88
82.75	125
83	125
83	88
83.25	88
83.25	125
83.5	125
83.5	88
84	88
84	125
84.25	125
84.25	88
84.5	88
84.5	125
84.75	125
84.75	88
85	88
85	125
85.25	125
85.25	88
85.75	88
85.75	125
86	125
86	88
86.25	88
86.25	125
86.5	125
86.5	88
86.75	88
86.75	125
87	125
87	88
87.25	88
87.25	125
87.5	125
87.5	40
91	40
91	88
91.25	88
91.25	125
91.5	125
91.5	88
91.75	88
91.75	125
92	125
92	88
92.25	88
92.25	125
92.5	125
92.5	88
92.75	88
92.75	125
93	125
93	88
93.5	88
93.5	125
93.75	125
93.75	88
94	88
94	125
94.25	125
94.25	88
94.5	88
94.5	125
94.75	125
94.75	88
95.25	88
95.25	125
95.5	125
95.5	88
95.75	88
95.75	125
96	125
96	88
96.25	88
96.25	125
96.5	125
96.5	88
96.75	88
96.75	125
97	125
97	88
97.25	88
97.25	125
97.5	125
97.5	40
105	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	6300	Workout
0	360	Active Recovery 1
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1215	Sweet Spot 1
1215	1230	Sprint 4
1230	1245	Sweet Spot 2
1245	1260	Sprint 5
1260	1275	Sweet Spot 3
1275	1290	Sprint 6
1290	1320	Sweet Spot 4
1320	1335	Sprint 7
1335	1350	Sweet Spot 5
1350	1365	Sprint 8
1365	1380	Sweet Spot 6
1380	1395	Sprint 9
1395	1410	Sweet Spot 7
1410	1425	Sprint 10
1425	1455	Sweet Spot 8
1455	1470	Sprint 11
1470	1485	Sweet Spot 9
1485	1500	Sprint 12
1500	1515	Sweet Spot 10
1515	1530	Sprint 13
1530	1545	Sweet Spot 11
1545	1560	Sprint 14
1560	1575	Sweet Spot 12
1575	1590	Sprint 15
1770	1785	Sweet Spot 13
1785	1800	Sprint 16
1800	1815	Sweet Spot 14
1815	1830	Sprint 17
1830	1845	Sweet Spot 15
1845	1860	Sprint 18
1860	1875	Sweet Spot 16
1875	1890	Sprint 19
1890	1920	Sweet Spot 17
1920	1935	Sprint 20
1935	1950	Sweet Spot 18
1950	1965	Sprint 21
1965	1980	Sweet Spot 19
1980	1995	Sprint 22
1995	2010	Sweet Spot 20
2010	2025	Sprint 23
2025	2040	Sweet Spot 21
2040	2055	Sprint 24
2055	2085	Sweet Spot 22
2085	2100	Sprint 25
2100	2115	Sweet Spot 23
2115	2130	Sprint 26
2130	2145	Sweet Spot 24
2145	2160	Sprint 27
2160	2175	Sweet Spot 25
2175	2190	Sprint 28
2190	2205	Sweet Spot 26
2205	2220	Sprint 29
2430	2445	Sweet Spot 27
2445	2460	Sprint 30
2460	2475	Sweet Spot 28
2475	2490	Sprint 31
2490	2505	Sweet Spot 29
2505	2520	Sprint 32
2520	2535	Sweet Spot 30
2535	2550	Sprint 33
2550	2565	Sweet Spot 31
2565	2580	Sprint 34
2580	2610	Sweet Spot 32
2610	2625	Sprint 35
2625	2640	Sweet Spot 33
2640	2655	Sprint 36
2655	2670	Sweet Spot 34
2670	2685	Sprint 37
