[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Blood,94,111. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	150
15	150
15	10
16	10
16	40
20	40
20	165
20.5	165
20.5	80
21	88
21	88
21.08	88
21.08	122
21.25	122
21.25	88
21.33	88
21.33	122
21.5	122
21.5	88
21.58	88
21.58	130
21.75	130
21.75	83
21.91	83
21.91	125
22.08	125
22.08	88
22.16	88
22.16	120
22.41	120
22.41	88
22.5	88
22.5	127
22.66	127
22.66	80
22.91	80
22.91	122
23.16	122
23.16	88
23.41	88
23.41	125
23.66	125
23.66	85
23.91	85
23.91	112
24.41	112
24.41	77
24.66	77
24.66	123
25	123
25	88
25.25	88
25.25	118
25.75	118
25.75	83
26.16	83
26.16	126
26.58	126
26.58	85
26.83	85
26.83	124
27.16	124
27.16	88
27.41	88
27.41	119
27.91	119
27.91	75
28.33	75
28.33	125
28.58	125
28.58	88
28.83	88
28.83	132
29.08	132
29.08	88
29.28	88
29.28	124
29.61	124
29.61	70
29.86	70
29.86	104
31.28	104
31.28	86
32.03	86
32.03	127
32.36	127
32.36	80
32.78	80
32.78	120
33.11	120
33.11	88
33.36	88
33.36	127
33.7	127
33.7	88
33.83	88
33.83	88
33.91	88
33.91	125
34.08	125
34.08	88
34.16	88
34.16	130
34.33	130
34.33	88
34.41	88
34.41	125
34.58	125
34.58	88
34.66	88
34.66	125
34.83	125
34.83	85
35.08	85
35.08	145
35.25	145
35.25	88
35.33	88
35.33	125
35.5	125
35.5	88
35.75	88
35.75	125
35.91	125
35.91	88
36.08	88
36.08	140
36.25	140
36.25	88
36.33	88
36.33	125
36.5	125
36.5	85
36.91	85
36.91	135
37.08	135
37.08	88
37.16	88
37.16	125
37.33	125
37.33	88
37.41	88
37.41	125
37.58	125
37.58	88
37.66	88
37.66	135
37.83	135
37.83	88
38.25	88
38.25	120
38.41	120
38.41	88
38.5	88
38.5	120
38.66	120
38.66	83
38.91	83
38.91	130
39.08	130
39.08	88
39.16	88
39.16	125
39.33	125
39.33	88
39.41	88
39.41	125
39.58	125
39.58	85
39.83	85
39.83	135
40	135
40	88
40.16	88
40.16	128
40.5	128
40.5	88
40.75	88
40.75	123
41.08	123
41.08	84
41.33	84
41.33	118
41.66	118
41.66	65
42.16	65
42.16	113
43	113
43	78
44	78
44	108
45.25	108
45.25	70
46.08	70
46.08	117
47.58	117
47.58	75
48.75	75
48.75	106
50.41	106
50.41	65
51.16	65
51.16	105
52.75	105
52.75	85
53.33	85
53.33	125
53.58	125
53.58	80
54.16	80
54.16	119
54.58	119
54.58	88
54.83	88
54.83	127
55.25	127
55.25	77
55.5	77
55.5	115
55.91	115
55.91	85
56.16	85
56.16	112
56.58	112
56.58	88
56.83	88
56.83	121
57.25	121
57.25	70
57.5	70
57.5	116
57.91	116
57.91	65
58.16	65
58.16	106
59.58	106
59.58	70
60.33	70
60.33	123
60.58	123
60.58	88
60.83	88
60.83	119
61.08	119
61.08	85
61.33	85
61.33	125
61.58	125
61.58	88
61.66	88
61.66	125
61.83	125
61.83	88
61.91	88
61.91	127
62.16	127
62.16	80
62.58	80
62.58	135
62.75	135
62.75	88
62.83	88
62.83	125
63	125
63	88
63.08	88
63.08	125
63.25	125
63.25	88
63.33	88
63.33	125
63.66	125
63.66	85
63.91	85
63.91	125
64.08	125
64.08	88
64.16	88
64.16	122
64.5	122
64.5	85
64.66	85
64.66	145
65	145
65	40
75	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	4500	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1230	Sprint 4
1230	1260	Tempo 1
1260	1265	Sweet Spot 1
1265	1275	Sprint 5
1275	1280	Sweet Spot 2
1280	1290	Sprint 6
1290	1295	Sweet Spot 3
1295	1305	Sprint 7
1305	1315	Tempo 2
1315	1325	Sprint 8
1325	1330	Sweet Spot 4
1330	1345	VO2 Max 1
1345	1350	Sweet Spot 5
1350	1360	Sprint 9
1360	1375	Tempo 3
1375	1390	Sprint 10
1390	1405	Sweet Spot 6
1405	1420	Sprint 11
1420	1435	Sweet Spot 7
1435	1465	VO2 Max 2
1465	1480	Tempo 4
1480	1500	Sprint 12
1500	1515	Sweet Spot 8
1515	1545	VO2 Max 3
1545	1570	Tempo 5
1570	1595	Sprint 13
1595	1610	Sweet Spot 9
1610	1630	Sprint 14
1630	1645	Sweet Spot 10
1645	1675	VO2 Max 4
1675	1700	Endurance 2
1700	1715	Sprint 15
1715	1730	Sweet Spot 11
1730	1745	Sprint 16
1745	1757	Sweet Spot 12
1757	1777	Sprint 17
1777	1792	Endurance 3
1792	1877	Threshold 4
1877	1922	Sweet Spot 13
1922	1942	Sprint 18
1942	1967	Tempo 6
1967	1987	VO2 Max 5
1987	2002	Sweet Spot 14
2002	2022	Sprint 19
2022	2030	Sweet Spot 15
2030	2035	Sweet Spot 16
2035	2045	Sprint 20
2045	2050	Sweet Spot 17
2050	2060	Sprint 21
2060	2065	Sweet Spot 18
2065	2075	Sprint 22
2075	2080	Sweet Spot 19
2080	2090	Sprint 23
2090	2105	Sweet Spot 20
2105	2115	Sprint 24
2115	2120	Sweet Spot 21
2120	2130	Sprint 25
2130	2145	Sweet Spot 22
2145	2155	Sprint 26
2155	2165	Sweet Spot 23
2165	2175	Sprint 27
2175	2180	Sweet Spot 24
2180	2190	Sprint 28
2190	2215	Sweet Spot 25
2215	2225	Sprint 29
2225	2230	Sweet Spot 26
2230	2240	Sprint 30
2240	2245	Sweet Spot 27
2245	2255	Sprint 31
2255	2260	Sweet Spot 28
2260	2270	Sprint 32
2270	2295	Sweet Spot 29
2295	2305	VO2 Max 6
2305	2310	Sweet Spot 30
2310	2320	VO2 Max 7
2320	2335	Tempo 7
2335	2345	Sprint 33
2345	2350	Sweet Spot 31
2350	2360	Sprint 34
2360	2365	Sweet Spot 32
2365	2375	Sprint 35
2375	2390	Sweet Spot 33
2390	2400	Sprint 36
2400	2410	Sweet Spot 34
2410	2430	Sprint 37
2430	2445	Sweet Spot 35
2445	2465	Sprint 38
2465	2480	Tempo 8
2480	2500	VO2 Max 8
2500	2530	Endurance 4
2530	2580	VO2 Max 9
2580	2640	Tempo 9
2640	2715	VO2 Max 10
2715	2765	Endurance 5
2765	2855	VO2 Max 11
2855	2925	Endurance 6
2925	3025	VO2 Max 12
3025	3070	Endurance 7
3070	3165	Threshold 5
3165	3200	Sweet Spot 36
3200	3215	Sprint 39
3215	3250	Tempo 10
3250	3275	VO2 Max 13
3275	3290	Sweet Spot 37
3290	3315	Sprint 40
3315	3330	Tempo 11
3330	3355	VO2 Max 14
3355	3370	Sweet Spot 38
3370	3395	VO2 Max 15
3395	3410	Sweet Spot 39
3410	3435	Sprint 41
3435	3450	Endurance 8
3450	3475	VO2 Max 16
3475	3490	Endurance 9
3490	3575	VO2 Max 17
3575	3620	Endurance 10
3620	3635	Sprint 42
