[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Blue,84,89. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	150
15	150
15	10
16	10
16	40
20	40
20	152
20.5	152
20.5	67
21	75
21	75
21.08	75
21.08	109
21.25	109
21.25	75
21.33	75
21.33	109
21.5	109
21.5	75
21.58	75
21.58	117
21.75	117
21.75	70
21.91	70
21.91	112
22.08	112
22.08	75
22.16	75
22.16	107
22.41	107
22.41	75
22.5	75
22.5	114
22.66	114
22.66	67
22.91	67
22.91	109
23.16	109
23.16	75
23.41	75
23.41	112
23.66	112
23.66	72
23.91	72
23.91	99
24.41	99
24.41	64
24.66	64
24.66	110
25	110
25	75
25.25	75
25.25	105
25.75	105
25.75	70
26.16	70
26.16	113
26.58	113
26.58	72
26.83	72
26.83	111
27.16	111
27.16	75
27.41	75
27.41	106
27.91	106
27.91	62
28.33	62
28.33	112
28.58	112
28.58	75
28.83	75
28.83	119
29.08	119
29.08	75
29.28	75
29.28	111
29.61	111
29.61	57
29.86	57
29.86	91
31.28	91
31.28	73
32.03	73
32.03	114
32.36	114
32.36	67
32.78	67
32.78	107
33.11	107
33.11	75
33.36	75
33.36	114
33.7	114
33.7	75
33.83	75
33.83	75
33.91	75
33.91	112
34.08	112
34.08	75
34.16	75
34.16	117
34.33	117
34.33	75
34.41	75
34.41	112
34.58	112
34.58	75
34.66	75
34.66	112
34.83	112
34.83	72
35.08	72
35.08	132
35.25	132
35.25	75
35.33	75
35.33	112
35.5	112
35.5	75
35.75	75
35.75	112
35.91	112
35.91	75
36.08	75
36.08	127
36.25	127
36.25	75
36.33	75
36.33	112
36.5	112
36.5	72
36.91	72
36.91	122
37.08	122
37.08	75
37.16	75
37.16	112
37.33	112
37.33	75
37.41	75
37.41	112
37.58	112
37.58	75
37.66	75
37.66	122
37.83	122
37.83	75
38.25	75
38.25	107
38.41	107
38.41	75
38.5	75
38.5	107
38.66	107
38.66	70
38.91	70
38.91	117
39.08	117
39.08	75
39.16	75
39.16	112
39.33	112
39.33	75
39.41	75
39.41	112
39.58	112
39.58	72
39.83	72
39.83	122
40	122
40	75
40.16	75
40.16	115
40.5	115
40.5	75
40.75	75
40.75	110
41.08	110
41.08	71
41.33	71
41.33	105
41.66	105
41.66	52
42.16	52
42.16	100
43	100
43	65
44	65
44	95
45.25	95
45.25	57
46.08	57
46.08	104
47.58	104
47.58	62
48.75	62
48.75	93
50.41	93
50.41	52
51.16	52
51.16	92
52.75	92
52.75	72
53.33	72
53.33	112
53.58	112
53.58	67
54.16	67
54.16	106
54.58	106
54.58	75
54.83	75
54.83	114
55.25	114
55.25	64
55.5	64
55.5	102
55.91	102
55.91	72
56.16	72
56.16	99
56.58	99
56.58	75
56.83	75
56.83	108
57.25	108
57.25	57
57.5	57
57.5	103
57.91	103
57.91	52
58.16	52
58.16	93
59.58	93
59.58	57
60.33	57
60.33	110
60.58	110
60.58	75
60.83	75
60.83	106
61.08	106
61.08	72
61.33	72
61.33	112
61.58	112
61.58	75
61.66	75
61.66	112
61.83	112
61.83	75
61.91	75
61.91	114
62.16	114
62.16	67
62.58	67
62.58	122
62.75	122
62.75	75
62.83	75
62.83	112
63	112
63	75
63.08	75
63.08	112
63.25	112
63.25	75
63.33	75
63.33	112
63.66	112
63.66	72
63.91	72
63.91	112
64.08	112
64.08	75
64.16	75
64.16	109
64.5	109
64.5	72
64.66	72
64.66	132
65	132
65	40
75	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	4500	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1230	Sprint 4
1230	1260	Endurance 2
1260	1265	Endurance 3
1265	1275	VO2 Max 1
1275	1280	Endurance 4
1280	1290	VO2 Max 2
1290	1295	Endurance 5
1295	1305	VO2 Max 3
1305	1315	Endurance 6
1315	1325	VO2 Max 4
1325	1330	Endurance 7
1330	1345	VO2 Max 5
1345	1350	Endurance 8
1350	1360	VO2 Max 6
1360	1375	Endurance 9
1375	1390	VO2 Max 7
1390	1405	Endurance 10
1405	1420	VO2 Max 8
1420	1435	Endurance 11
1435	1465	Threshold 4
1465	1480	Endurance 12
1480	1500	VO2 Max 9
1500	1515	Endurance 13
1515	1545	Threshold 5
1545	1570	Endurance 14
1570	1595	VO2 Max 10
1595	1610	Endurance 15
1610	1630	VO2 Max 11
1630	1645	Endurance 16
1645	1675	VO2 Max 12
1675	1700	Endurance 17
1700	1715	VO2 Max 13
1715	1730	Endurance 18
1730	1745	VO2 Max 14
1745	1757	Endurance 19
1757	1777	VO2 Max 15
1777	1792	Endurance 20
1792	1877	Sweet Spot 1
1877	1922	Endurance 21
1922	1942	VO2 Max 16
1942	1967	Endurance 22
1967	1987	VO2 Max 17
1987	2002	Endurance 23
2002	2022	VO2 Max 18
2022	2030	Endurance 24
2030	2035	Endurance 25
2035	2045	VO2 Max 19
2045	2050	Endurance 26
2050	2060	VO2 Max 20
2060	2065	Endurance 27
2065	2075	VO2 Max 21
2075	2080	Endurance 28
2080	2090	VO2 Max 22
2090	2105	Endurance 29
2105	2115	Sprint 5
2115	2120	Endurance 30
2120	2130	VO2 Max 23
2130	2145	Endurance 31
2145	2155	VO2 Max 24
2155	2165	Endurance 32
2165	2175	Sprint 6
2175	2180	Endurance 33
2180	2190	VO2 Max 25
2190	2215	Endurance 34
2215	2225	Sprint 7
2225	2230	Endurance 35
2230	2240	VO2 Max 26
2240	2245	Endurance 36
2245	2255	VO2 Max 27
2255	2260	Endurance 37
2260	2270	Sprint 8
2270	2295	Endurance 38
2295	2305	VO2 Max 28
2305	2310	Endurance 39
2310	2320	VO2 Max 29
2320	2335	Endurance 40
2335	2345	VO2 Max 30
2345	2350	Endurance 41
2350	2360	VO2 Max 31
2360	2365	Endurance 42
2365	2375	VO2 Max 32
2375	2390	Endurance 43
2390	2400	Sprint 9
2400	2410	Endurance 44
2410	2430	VO2 Max 33
2430	2445	Endurance 45
2445	2465	VO2 Max 34
2465	2480	Endurance 46
2480	2500	Threshold 6
2500	2530	Active Recovery 1
2530	2580	Threshold 7
2580	2640	Endurance 47
2640	2715	Sweet Spot 2
2715	2765	Endurance 48
2765	2855	Threshold 8
2855	2925	Endurance 49
2925	3025	Sweet Spot 3
3025	3070	Active Recovery 2
3070	3165	Sweet Spot 4
3165	3200	Endurance 50
3200	3215	VO2 Max 35
3215	3250	Endurance 51
3250	3275	VO2 Max 36
3275	3290	Endurance 52
3290	3315	VO2 Max 37
3315	3330	Endurance 53
3330	3355	Threshold 9
3355	3370	Endurance 54
3370	3395	Threshold 10
3395	3410	Endurance 55
3410	3435	VO2 Max 38
3435	3450	Endurance 56
3450	3475	Threshold 11
3475	3490	Active Recovery 3
3490	3575	Sweet Spot 5
3575	3620	Endurance 57
3620	3635	VO2 Max 39
3635	3650	Endurance 58
3650	3665	VO2 Max 40
3665	3680	Endurance 59
