[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Sufferfest Violator,106,129. Created by 1221.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	40
4.66	40
4.66	55
7.75	55
7.75	74
9.56	74
9.56	89
10.63	89
10.63	50
11.58	50
11.58	98
12.61	98
12.61	50
13.61	50
13.61	110
14.63	110
14.63	74
16.61	74
16.61	190
16.7	190
16.7	50
17.21	50
17.21	190
17.3	190
17.3	50
17.8	50
17.8	190
17.88	190
17.88	50
18.38	50
18.38	190
18.46	190
18.46	50
18.96	50
18.96	190
19.05	190
19.05	50
19.55	50
19.55	190
19.63	190
19.63	50
20.13	50
20.13	190
20.21	190
20.21	50
20.71	50
20.71	190
20.8	190
20.8	50
21.3	50
21.3	190
21.38	190
21.38	50
21.88	50
21.88	190
21.96	190
21.96	50
22.46	50
22.46	190
22.55	190
22.55	50
23.05	50
23.05	190
23.13	190
23.13	50
23.63	50
23.63	170
23.8	170
23.8	50
24.8	50
24.8	170
24.96	170
24.96	50
25.96	50
25.96	170
26.13	170
26.13	50
27.13	50
27.13	170
27.3	170
27.3	50
28.3	50
28.3	170
28.46	170
28.46	50
29.46	50
29.46	170
29.63	170
29.63	50
30.63	50
30.63	170
30.8	170
30.8	50
31.8	50
31.8	170
31.96	170
31.96	50
32.96	50
32.96	155
33.21	155
33.21	50
34.71	50
34.71	155
34.96	155
34.96	50
36.46	50
36.46	155
36.71	155
36.71	50
38.21	50
38.21	155
38.46	155
38.46	50
39.96	50
39.96	155
40.21	155
40.21	50
41.71	50
41.71	155
41.96	155
41.96	50
44.96	50
44.96	190
45.05	190
45.05	50
45.3	50
45.3	190
45.38	190
45.38	50
45.63	50
45.63	190
45.71	190
45.71	50
45.96	50
45.96	190
46.05	190
46.05	50
46.3	50
46.3	190
46.38	190
46.38	50
46.63	50
46.63	190
46.71	190
46.71	50
46.96	50
46.96	190
47.05	190
47.05	50
47.3	50
47.3	190
47.38	190
47.38	50
47.63	50
47.63	190
47.71	190
47.71	50
47.96	50
47.96	190
48.05	190
48.05	50
48.3	50
48.3	170
48.46	170
48.46	50
48.96	50
48.96	170
49.13	170
49.13	50
49.63	50
49.63	170
49.8	170
49.8	50
50.3	50
50.3	170
50.46	170
50.46	50
50.96	50
50.96	170
51.13	170
51.13	50
51.63	50
51.63	170
51.8	170
51.8	50
52.3	50
52.3	170
52.46	170
52.46	50
52.96	50
52.96	170
53.13	170
53.13	50
53.63	50
53.63	155
53.88	155
53.88	50
54.63	50
54.63	155
54.88	155
54.88	50
55.63	50
55.63	155
55.88	155
55.88	50
56.63	50
56.63	155
56.88	155
56.88	50
59.63	50
59.63	190
59.71	190
59.71	50
59.8	50
59.8	190
59.88	190
59.88	50
59.96	50
59.96	190
60.05	190
60.05	50
60.13	50
60.13	190
60.21	190
60.21	50
60.3	50
60.3	190
60.38	190
60.38	50
60.46	50
60.46	190
60.55	190
60.55	50
60.63	50
60.63	190
60.71	190
60.71	50
60.8	50
60.8	190
60.88	190
60.88	50
60.96	50
60.96	170
61.13	170
61.13	50
61.3	50
61.3	170
61.46	170
61.46	50
61.63	50
61.63	170
61.8	170
61.8	50
61.96	50
61.96	170
62.13	170
62.13	50
62.3	50
62.3	170
62.46	170
62.46	50
62.63	50
62.63	170
62.8	170
62.8	50
62.96	50
62.96	155
63.21	155
63.21	50
63.46	50
63.46	155
63.71	155
63.71	50
63.96	50
63.96	38
68.51	38
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	4111	Workout
280	465	Endurance 1
465	574	Endurance 2
574	638	Sweet Spot 1
695	757	Threshold 1
817	878	VO2 Max 1
878	997	Endurance 3
997	1002	Sprint 1
1033	1038	Sprint 2
1068	1073	Sprint 3
1103	1108	Sprint 4
1138	1143	Sprint 5
1173	1178	Sprint 6
1208	1213	Sprint 7
1243	1248	Sprint 8
1278	1283	Sprint 9
1313	1318	Sprint 10
1348	1353	Sprint 11
1383	1388	Sprint 12
1418	1428	Sprint 13
1488	1498	Sprint 14
1558	1568	Sprint 15
1628	1638	Sprint 16
1698	1708	Sprint 17
1768	1778	Sprint 18
1838	1848	Sprint 19
1908	1918	Sprint 20
1978	1993	Sprint 21
2083	2098	Sprint 22
2188	2203	Sprint 23
2293	2308	Sprint 24
2398	2413	Sprint 25
2503	2518	Sprint 26
2698	2703	Sprint 27
2718	2723	Sprint 28
2738	2743	Sprint 29
2758	2763	Sprint 30
2778	2783	Sprint 31
2798	2803	Sprint 32
2818	2823	Sprint 33
2838	2843	Sprint 34
2858	2863	Sprint 35
2878	2883	Sprint 36
2898	2908	Sprint 37
2938	2948	Sprint 38
2978	2988	Sprint 39
3018	3028	Sprint 40
3058	3068	Sprint 41
3098	3108	Sprint 42
3138	3148	Sprint 43
3178	3188	Sprint 44
3218	3233	Sprint 45
3278	3293	Sprint 46
3338	3353	Sprint 47
3398	3413	Sprint 48
3578	3583	Sprint 49
3588	3593	Sprint 50
3598	3603	Sprint 51
3608	3613	Sprint 52
3618	3623	Sprint 53
3628	3633	Sprint 54
3638	3643	Sprint 55
3648	3653	Sprint 56
3658	3668	Sprint 57
3678	3688	Sprint 58
3698	3708	Sprint 59
3718	3728	Sprint 60
3738	3748	Sprint 61
3758	3768	Sprint 62
3778	3793	Sprint 63
3808	3823	Sprint 64
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

