[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Sufferfest ISLAGIATT,91,160. Created by 9296.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	62
8.25	62
8.25	50
8.75	50
8.75	82
10.75	82
10.75	50
11.25	50
11.25	50
11.41	50
11.41	88
13.13	88
13.13	50
13.15	50
13.15	50
13.91	50
13.91	94
15.76	94
15.76	50
16.33	50
16.33	100
18.28	100
18.28	50
21.26	50
21.26	82
22.16	82
22.16	94
23.93	94
23.93	100
24.53	100
24.53	82
26.11	82
26.11	118
26.61	118
26.61	94
29.36	94
29.36	146
29.61	146
29.61	106
29.93	106
29.93	82
29.95	82
29.95	82
30.61	82
30.61	94
30.86	94
30.86	82
31.36	82
31.36	94
32.3	94
32.3	88
33.11	88
33.11	94
36.18	94
36.18	50
39.23	50
39.23	112
40.61	112
40.61	106
42.11	106
42.11	146
42.31	146
42.31	94
42.7	94
42.7	100
43.8	100
43.8	146
43.96	146
43.96	94
45.23	94
45.23	100
45.43	100
45.43	94
46.58	94
46.58	100
46.88	100
46.88	94
49.83	94
49.83	88
50.7	88
50.7	106
51.53	106
51.53	94
54.3	94
54.3	112
54.38	112
54.38	106
54.68	106
54.68	100
56.4	100
56.4	94
56.71	94
56.71	106
57.03	106
57.03	118
57.16	118
57.16	100
59.2	100
59.2	50
64.21	50
64.21	94
67.43	94
67.43	106
68.16	106
68.16	94
71.18	94
71.18	146
71.51	146
71.51	100
72.66	100
72.66	103
72.93	103
72.93	94
73.3	94
73.3	97
73.75	97
73.75	94
75.66	94
75.66	97
76.88	97
76.88	70
77.33	70
77.33	88
77.76	88
77.76	118
78.28	118
78.28	94
79.28	94
79.28	100
81.95	100
81.95	103
82.95	103
82.95	106
83.68	106
83.68	112
84.21	112
84.21	58
85.36	58
85.36	70
86.13	70
86.13	88
86.65	88
86.65	58
87.06	58
87.06	70
90.65	70
90.65	88
91.16	88
91.16	50
92.41	50
92.41	94
92.83	94
92.83	146
93.16	146
93.16	106
93.85	106
93.85	100
95.35	100
95.35	88
95.88	88
95.88	106
96.61	106
96.61	88
96.78	88
96.78	106
97.63	106
97.63	94
98.3	94
98.3	106
98.9	106
98.9	88
99.08	88
99.08	106
99.36	106
99.36	88
99.6	88
99.6	106
99.93	106
99.93	118
100.18	118
100.18	106
100.71	106
100.71	50
102.9	50
102.9	70
103.16	70
103.16	58
103.81	58
103.81	91
104.16	91
104.16	58
105.11	58
105.11	118
105.36	118
105.36	58
105.53	58
105.53	106
105.71	106
105.71	70
106	70
106	100
106.4	100
106.4	110
106.56	110
106.56	70
107.15	70
107.15	106
107.5	106
107.5	70
107.61	70
107.61	118
108	118
108	70
108.18	70
108.18	106
109.63	106
109.63	70
110.48	70
110.48	94
110.68	94
110.68	146
110.96	146
110.96	50
116.66	50
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	7000	Workout
525	645	Tempo 1
685	788	Sweet Spot 1
835	946	Sweet Spot 2
980	1097	Threshold 1
1276	1330	Tempo 2
1330	1436	Sweet Spot 3
1436	1472	Threshold 2
1472	1567	Tempo 3
1567	1597	VO2 Max 1
1597	1762	Sweet Spot 4
1762	1777	Sprint 1
1777	1796	VO2 Max 2
1796	1837	Tempo 5
1837	1852	Sweet Spot 5
1852	1882	Tempo 6
1882	1938	Sweet Spot 6
1938	1987	Sweet Spot 7
1987	2171	Sweet Spot 8
2354	2437	VO2 Max 3
2437	2527	VO2 Max 4
2527	2539	Sprint 2
2539	2562	Sweet Spot 9
2562	2628	Threshold 3
2628	2638	Sprint 3
2638	2714	Sweet Spot 10
2714	2726	Threshold 4
2726	2795	Sweet Spot 11
2795	2813	Threshold 5
2813	2990	Sweet Spot 12
2990	3042	Sweet Spot 13
3042	3092	VO2 Max 5
3092	3258	Sweet Spot 14
3258	3263	VO2 Max 6
3263	3281	VO2 Max 7
3281	3384	Threshold 6
3384	3403	Sweet Spot 15
3403	3422	VO2 Max 8
3422	3430	VO2 Max 9
3430	3552	Threshold 7
3853	4046	Sweet Spot 16
4046	4090	VO2 Max 10
4090	4271	Sweet Spot 17
4271	4291	Sprint 4
4291	4360	Threshold 8
4360	4376	Threshold 9
4376	4398	Sweet Spot 18
4398	4425	Threshold 10
4425	4540	Sweet Spot 19
4540	4613	Threshold 11
4640	4666	Sweet Spot 20
4666	4697	VO2 Max 11
4697	4757	Sweet Spot 21
4757	4917	Threshold 12
4917	4977	Threshold 13
4977	5021	VO2 Max 12
5021	5053	VO2 Max 13
5168	5199	Sweet Spot 22
5439	5470	Sweet Spot 23
5545	5570	Sweet Spot 24
5570	5590	Sprint 5
5590	5631	VO2 Max 14
5631	5721	Threshold 14
5721	5753	Sweet Spot 25
5753	5797	VO2 Max 15
5797	5807	Sweet Spot 26
5807	5858	VO2 Max 16
5858	5898	Sweet Spot 27
5898	5934	VO2 Max 17
5934	5945	Sweet Spot 28
5945	5962	VO2 Max 18
5962	5976	Sweet Spot 29
5976	5996	VO2 Max 19
5996	6011	VO2 Max 20
6011	6043	VO2 Max 21
6229	6250	Sweet Spot 30
6307	6322	VO2 Max 22
6332	6343	VO2 Max 23
6360	6384	Threshold 15
6384	6394	VO2 Max 24
6429	6450	VO2 Max 25
6457	6480	VO2 Max 26
6491	6578	VO2 Max 27
6629	6641	Sweet Spot 31
6641	6658	Sprint 6
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

