[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Huntington,78,168. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	52
11.5	62
11.5	80
16.5	95
16.5	40
21.5	40
21.5	40
22	80
22	80
23.5	80
23.5	80
25	95
25	95
26.5	80
26.5	80
28	80
28	80
29.5	100
29.5	100
31	80
31	80
32.5	80
32.5	80
34	95
34	95
35.5	80
35.5	80
37	80
37	80
38.5	100
38.5	100
40	80
40	60
52	60
52	60
52.5	80
52.5	80
54	80
54	80
55.5	95
55.5	95
57	80
57	80
58.5	80
58.5	80
60	100
60	100
61.5	80
61.5	80
63	80
63	80
64.5	95
64.5	95
66	80
66	80
67.5	80
67.5	80
69	100
69	100
70.5	80
70.5	60
82.5	60
82.5	60
83	80
83	80
84.5	80
84.5	80
86	95
86	95
87.5	80
87.5	80
89	80
89	80
90.5	100
90.5	100
92	80
92	80
93.5	80
93.5	80
95	95
95	95
96.5	80
96.5	80
98	80
98	80
99.5	100
99.5	100
101	80
101	60
113	60
113	60
113.5	80
113.5	80
115	80
115	80
116.5	95
116.5	95
118	80
118	80
119.5	80
119.5	80
121	100
121	100
122.5	80
122.5	80
124	80
124	80
125.5	95
125.5	95
127	80
127	80
128.5	80
128.5	80
130	100
130	100
131.5	80
131.5	60
143.5	60
143.5	60
144	80
144	80
145.5	80
145.5	80
147	95
147	95
148.5	80
148.5	80
150	80
150	80
151.5	100
151.5	100
153	80
153	80
154.5	80
154.5	80
156	95
156	95
157.5	80
157.5	80
159	80
159	80
160.5	100
160.5	100
162	80
162	40
165	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	9900	Workout
0	690	Endurance 1
690	990	Sweet Spot 1
1320	1410	Tempo 1
1410	1500	Sweet Spot 2
1500	1590	Sweet Spot 3
1590	1680	Tempo 2
1680	1770	Sweet Spot 4
1770	1860	Sweet Spot 5
1860	1950	Tempo 3
1950	2040	Sweet Spot 6
2040	2130	Sweet Spot 7
2130	2220	Tempo 4
2220	2310	Sweet Spot 8
2310	2400	Sweet Spot 9
2400	3120	Endurance 2
3120	3150	Endurance 3
3150	3240	Tempo 5
3240	3330	Sweet Spot 10
3330	3420	Sweet Spot 11
3420	3510	Tempo 6
3510	3600	Sweet Spot 12
3600	3690	Sweet Spot 13
3690	3780	Tempo 7
3780	3870	Sweet Spot 14
3870	3960	Sweet Spot 15
3960	4050	Tempo 8
4050	4140	Sweet Spot 16
4140	4230	Sweet Spot 17
4230	4950	Endurance 4
4950	4980	Endurance 5
4980	5070	Tempo 9
5070	5160	Sweet Spot 18
5160	5250	Sweet Spot 19
5250	5340	Tempo 10
5340	5430	Sweet Spot 20
5430	5520	Sweet Spot 21
5520	5610	Tempo 11
5610	5700	Sweet Spot 22
5700	5790	Sweet Spot 23
5790	5880	Tempo 12
5880	5970	Sweet Spot 24
5970	6060	Sweet Spot 25
6060	6780	Endurance 6
6780	6810	Endurance 7
6810	6900	Tempo 13
6900	6990	Sweet Spot 26
6990	7080	Sweet Spot 27
7080	7170	Tempo 14
7170	7260	Sweet Spot 28
7260	7350	Sweet Spot 29
7350	7440	Tempo 15
7440	7530	Sweet Spot 30
7530	7620	Sweet Spot 31
7620	7710	Tempo 16
7710	7800	Sweet Spot 32
7800	7890	Sweet Spot 33
7890	8610	Endurance 8
8610	8640	Endurance 9
8640	8730	Tempo 17
8730	8820	Sweet Spot 34
8820	8910	Sweet Spot 35
8910	9000	Tempo 18
9000	9090	Sweet Spot 36
9090	9180	Sweet Spot 37
9180	9270	Tempo 19
9270	9360	Sweet Spot 38
9360	9450	Sweet Spot 39
9450	9540	Tempo 20
9540	9630	Sweet Spot 40
9630	9720	Sweet Spot 41
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

