[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Eddy McKenney,78,181. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
14.5	60
14.5	80
19.5	95
19.5	40
26.5	40
26.5	40
27	80
27	80
29	80
29	80
30.5	95
30.5	95
32	80
32	80
34	80
34	80
35.5	100
35.5	100
37	80
37	80
39	80
39	80
40.5	95
40.5	95
42	80
42	80
44	80
44	80
45.5	100
45.5	100
47	80
47	60
59	60
59	60
59.5	80
59.5	80
61.5	80
61.5	80
63	95
63	95
64.5	80
64.5	80
66.5	80
66.5	80
68	100
68	100
69.5	80
69.5	80
71.5	80
71.5	80
73	95
73	95
74.5	80
74.5	80
76.5	80
76.5	80
78	100
78	100
79.5	80
79.5	60
91.5	60
91.5	60
92	80
92	80
94	80
94	80
95.5	95
95.5	95
97	80
97	80
99	80
99	80
100.5	100
100.5	100
102	80
102	80
104	80
104	80
105.5	95
105.5	95
107	80
107	80
109	80
109	80
110.5	100
110.5	100
112	80
112	60
124	60
124	60
124.5	80
124.5	80
126.5	80
126.5	80
128	95
128	95
129.5	80
129.5	80
131.5	80
131.5	80
133	100
133	100
134.5	80
134.5	80
136.5	80
136.5	80
138	95
138	95
139.5	80
139.5	80
141.5	80
141.5	80
143	100
143	100
144.5	80
144.5	60
156.5	60
156.5	60
157	80
157	80
159	80
159	80
160.5	95
160.5	95
162	80
162	80
164	80
164	80
165.5	100
165.5	100
167	80
167	80
169	80
169	80
170.5	95
170.5	95
172	80
172	80
174	80
174	80
175.5	100
175.5	100
177	80
177	40
180	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	10800	Workout
870	1170	Sweet Spot 1
1620	1740	Tempo 1
1740	1830	Sweet Spot 2
1830	1920	Sweet Spot 3
1920	2040	Tempo 2
2040	2130	Sweet Spot 4
2130	2220	Sweet Spot 5
2220	2340	Tempo 3
2340	2430	Sweet Spot 6
2430	2520	Sweet Spot 7
2520	2640	Tempo 4
2640	2730	Sweet Spot 8
2730	2820	Sweet Spot 9
2820	3540	Endurance 1
3540	3570	Endurance 2
3570	3690	Tempo 5
3690	3780	Sweet Spot 10
3780	3870	Sweet Spot 11
3870	3990	Tempo 6
3990	4080	Sweet Spot 12
4080	4170	Sweet Spot 13
4170	4290	Tempo 7
4290	4380	Sweet Spot 14
4380	4470	Sweet Spot 15
4470	4590	Tempo 8
4590	4680	Sweet Spot 16
4680	4770	Sweet Spot 17
4770	5490	Endurance 3
5490	5520	Endurance 4
5520	5640	Tempo 9
5640	5730	Sweet Spot 18
5730	5820	Sweet Spot 19
5820	5940	Tempo 10
5940	6030	Sweet Spot 20
6030	6120	Sweet Spot 21
6120	6240	Tempo 11
6240	6330	Sweet Spot 22
6330	6420	Sweet Spot 23
6420	6540	Tempo 12
6540	6630	Sweet Spot 24
6630	6720	Sweet Spot 25
6720	7440	Endurance 5
7440	7470	Endurance 6
7470	7590	Tempo 13
7590	7680	Sweet Spot 26
7680	7770	Sweet Spot 27
7770	7890	Tempo 14
7890	7980	Sweet Spot 28
7980	8070	Sweet Spot 29
8070	8190	Tempo 15
8190	8280	Sweet Spot 30
8280	8370	Sweet Spot 31
8370	8490	Tempo 16
8490	8580	Sweet Spot 32
8580	8670	Sweet Spot 33
8670	9390	Endurance 7
9390	9420	Endurance 8
9420	9540	Tempo 17
9540	9630	Sweet Spot 34
9630	9720	Sweet Spot 35
9720	9840	Tempo 18
9840	9930	Sweet Spot 36
9930	10020	Sweet Spot 37
10020	10140	Tempo 19
10140	10230	Sweet Spot 38
10230	10320	Sweet Spot 39
10320	10440	Tempo 20
10440	10530	Sweet Spot 40
10530	10620	Sweet Spot 41
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

