[COURSE HEADER]
VERSION = 2
UNITS = ENGLISH
DESCRIPTION = 94, 89, SUFFERFEST - FIGHT CLUB
FILE NAME = FLIGHT_CLUB.MRC
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0.00	50
1.27	50
2.30	50
2.30	50
5.25	50
5.25	62
7.43	62
7.43	74
9.03	74
9.03	86
10.90	86
10.90	135
11.13	135
11.13	86
11.85	86
11.85	135
12.08	135
12.08	86
12.52	86
12.52	135
12.75	135
12.75	86
13.67	86
13.67	135
13.88	135
13.88	86
15.05	86
15.05	50
16.77	50
16.77	99
17.85	99
17.85	135
18.08	135
18.08	99
19.13	99
19.13	135
19.35	135
19.35	99
20.85	99
20.85	111
21.62	111
21.62	135
21.85	135
21.85	111
22.52	111
22.52	135
22.75	135
22.75	111
23.52	111
23.52	50
26.92	50
26.92	99
28.07	99
28.07	135
28.30	135
28.30	99
28.98	99
28.98	135
29.20	135
29.20	99
31.12	99
31.12	111
31.92	111
31.92	135
32.13	135
32.13	111
33.00	111
33.00	135
33.22	135
33.22	111
33.67	111
33.67	135
33.90	135
33.90	50
37.35	50
37.35	99
38.35	99
38.35	135
38.57	135
38.57	99
40.22	99
40.22	135
40.45	135
40.45	99
40.83	99
40.83	135
40.95	135
40.95	99
41.73	99
41.73	111
42.10	111
42.10	135
42.33	135
42.33	111
42.97	111
42.97	135
43.20	135
43.20	111
43.93	111
43.93	135
44.07	135
44.07	111
44.32	111
44.32	50
47.58	50
47.58	99
48.13	99
48.13	135
48.35	135
48.35	99
48.82	99
48.82	135
49.05	135
49.05	99
50.07	99
50.07	135
50.27	135
50.27	99
51.12	99
51.12	135
51.25	135
51.25	99
51.43	99
51.43	135
51.78	135
51.78	111
52.27	111
52.27	135
52.48	135
52.48	111
52.97	111
52.97	135
53.08	135
53.08	111
53.62	111
53.62	135
53.83	135
53.83	111
54.38	111
54.38	135
54.80	135
54.80	50
60.32	50
[END COURSE DATA]

[INTERVAL DATA]
0	3619	Workout
542	903	Tempo 1
654	668	Attack 1
711	725	Attack 2
751	765	Attack 3
820	833	Attack 4
1006	1411	Time Trial 1
1071	1085	Attack 5
1148	1161	Attack 6
1251	1411	Climb 1
1297	1311	Attack 7
1351	1365	Attack 8
1615	2034	Time Trial 2
1684	1698	Attack 9
1739	1752	Attack 10
1867	2034	Climb 2
1915	1928	Attack 11
1980	1993	Attack 12
2020	2034	Attack 13
2241	2659	Time Trial 3
2301	2314	Attack 14
2413	2427	Attack 15
2450	2457	Attack 16
2504	2659	Climb 3
2526	2540	Attack 17
2578	2592	Attack 18
2636	2644	Attack 19
2855	3288	Time Trial 4
2888	2901	Attack 20
2929	2943	Attack 21
3004	3016	Attack 22
3067	3075	Attack 23
3086	3107	Attack 24
3107	3288	Climb 4
3136	3149	Attack 25
3178	3185	Attack 26
3217	3230	Attack 27
3263	3288	Attack 28
[END INTERVAL DATA]

