[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Hell Hath No Fury (pre June 201,93,109. Created by 1221.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
1.36	50
1.36	50
3.58	50
3.58	73
7.23	73
7.23	84
8.5	84
8.5	94
8.85	94
8.85	84
9.48	84
9.48	94
9.96	94
9.96	84
11.36	84
11.36	89
13.58	89
13.58	94
14.88	94
14.88	118
15.16	118
15.16	107
15.63	107
15.63	94
15.85	94
15.85	118
16.16	118
16.16	107
16.63	107
16.63	94
17.46	94
17.46	118
17.76	118
17.76	100
21.96	100
21.96	107
24.58	107
24.58	100
26.53	100
26.53	107
26.98	107
26.98	113
27.3	113
27.3	100
27.95	100
27.95	107
28.98	107
28.98	113
29.48	113
29.48	119
31	119
31	107
31.61	107
31.61	118
31.8	118
31.8	107
31.95	107
31.95	118
32.23	118
32.23	113
32.75	113
32.75	116
32.96	116
32.96	107
33.48	107
33.48	134
33.93	134
33.93	50
40.2	50
40.2	86
40.65	86
40.65	99
41.2	99
41.2	92
41.83	92
41.83	99
42.03	99
42.03	92
42.55	92
42.55	99
42.75	99
42.75	92
43.23	92
43.23	99
43.45	99
43.45	92
43.81	92
43.81	86
43.95	86
43.95	99
44.48	99
44.48	92
45.1	92
45.1	86
45.31	86
45.31	92
45.98	92
45.98	99
46.18	99
46.18	92
47.83	92
47.83	110
48.11	110
48.11	105
49.61	105
49.61	108
49.9	108
49.9	99
51.18	99
51.18	86
51.7	86
51.7	92
52.11	92
52.11	86
52.63	86
52.63	99
52.78	99
52.78	92
53.76	92
53.76	105
55.05	105
55.05	86
55.53	86
55.53	110
55.75	110
55.75	92
56.35	92
56.35	105
56.78	105
56.78	99
59.9	99
59.9	126
60.3	126
60.3	50
65.08	50
65.08	114
67.73	114
67.73	119
68.43	119
68.43	50
74.88	50
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	4493	Workout
215	434	Endurance 1
434	510	Tempo 1
510	531	Sweet Spot 1
531	569	Tempo 2
569	598	Sweet Spot 2
598	682	Tempo 3
682	815	Sweet Spot 3
815	893	Sweet Spot 4
893	910	VO2 Max 1
910	938	VO2 Max 2
938	951	Sweet Spot 5
951	970	VO2 Max 3
970	998	VO2 Max 4
998	1048	Sweet Spot 6
1048	1066	VO2 Max 5
1066	1318	Threshold 1
1318	1475	VO2 Max 6
1475	1592	Threshold 2
1592	1619	VO2 Max 7
1619	1638	VO2 Max 8
1638	1677	Threshold 3
1677	1739	VO2 Max 9
1739	1769	VO2 Max 10
1769	1860	VO2 Max 11
1860	1897	VO2 Max 12
1897	1908	VO2 Max 13
1908	1917	VO2 Max 14
1917	1934	VO2 Max 15
1934	1965	VO2 Max 16
1965	1978	VO2 Max 17
1978	2009	VO2 Max 18
2009	2036	Sprint 1
836	2036	Main Set 1
2412	2439	Sweet Spot 7
2439	2472	Threshold 4
2472	2510	Sweet Spot 8
2510	2522	Threshold 5
2522	2553	Sweet Spot 9
2553	2565	Threshold 6
2565	2594	Sweet Spot 10
2594	2607	Threshold 7
2607	2629	Sweet Spot 11
2629	2637	Sweet Spot 12
2637	2669	Threshold 8
2669	2706	Sweet Spot 13
2706	2719	Sweet Spot 14
2719	2759	Sweet Spot 15
2759	2771	Threshold 9
2771	2870	Sweet Spot 16
2870	2887	VO2 Max 19
2887	2977	Threshold 10
2977	2994	VO2 Max 20
2994	3071	Threshold 11
3071	3102	Sweet Spot 17
3102	3127	Sweet Spot 18
3127	3158	Sweet Spot 19
3158	3167	Threshold 12
3167	3226	Sweet Spot 20
3226	3303	Threshold 13
3303	3332	Sweet Spot 21
3332	3345	VO2 Max 21
3345	3381	Sweet Spot 22
3381	3407	Threshold 14
3407	3594	Threshold 15
3594	3618	Sprint 2
2418	3618	Main Set 2
3905	4064	VO2 Max 22
4064	4106	VO2 Max 23
3905	4106	Main Set 3
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

