[COURSE HEADER]
VERSION = 2
UNITS = ENGLISH
DESCRIPTION = University, 0.94, 88, 3x12min OverUnders of increasing intensity to simulate 4-man paceline/TTT format;5RBS.
FILE NAME = NS60ME088_TeamTimeTrial2_3x12m.mrc
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0.0	50
4.0	50
4.0	90
5.0	90
5.0	110
5.25	110
5.25	90
6.0	90
6.0	110
6.25	110
6.25	90
7.0	90
7.0	40
12.0	40
12.0	90
12.75	90
12.75	105
13.0	105
13.0	90
13.75	90
13.75	105
14.0	105
14.0	90
14.75	90
14.75	110
15.0	110
15.0	95
15.75	95
15.75	110
16.0	110
16.0	95
16.75	95
16.75	110
17.0	110
17.0	100
17.75	100
17.75	120
18.0	120
18.0	100
18.75	100
18.75	120
19.0	120
19.0	100
19.75	100
19.75	120
20.0	120
20.0	105
20.75	105
20.75	130
21.0	130
21.0	105
21.75	105
21.75	130
22.0	130
22.0	105
22.75	105
22.75	135
23.0	135
23.0	110
23.75	110
23.75	135
24.0	135
24.0	40
29.0	40
29.0	90
29.75	90
29.75	105
30.0	105
30.0	90
30.75	90
30.75	105
31.0	105
31.0	90
31.75	90
31.75	110
32.0	110
32.0	95
32.75	95
32.75	110
33.0	110
33.0	95
33.75	95
33.75	110
34.0	110
34.0	100
34.75	100
34.75	120
35.0	120
35.0	100
35.75	100
35.75	120
36.0	120
36.0	100
36.75	100
36.75	120
37.0	120
37.0	105
37.75	105
37.75	130
38.0	130
38.0	105
38.75	105
38.75	130
39.0	130
39.0	110
39.75	110
39.75	135
40.0	135
40.0	110
40.75	110
40.75	135
41.0	135
41.0	40
46.0	40
46.0	90
46.75	90
46.75	105
47.0	105
47.0	90
47.75	90
47.75	105
48.0	105
48.0	95
48.75	95
48.75	110
49.0	110
49.0	95
49.75	95
49.75	110
50.0	110
50.0	95
50.75	95
50.75	110
51.0	110
51.0	100
51.75	100
51.75	120
52.0	120
52.0	100
52.75	100
52.75	120
53.0	120
53.0	100
53.75	100
53.75	120
54.0	120
54.0	105
54.75	105
54.75	130
55.0	130
55.0	105
55.75	105
55.75	130
56.0	130
56.0	110
56.75	110
56.75	135
57.0	135
57.0	110
57.75	110
57.75	135
58.0	135
58.0	40
60.0	40
[END COURSE DATA]

[INTERVAL DATA]
0	3600	Workout
240	420	Warmup
300	315	Warmup 1
360	375	Warmup 2
765	780	Interval 1:1
825	840	Interval 1:2
885	900	Interval 1:3
945	960	Interval 1:4
1005	1020	Interval 1:
1065	1080	Interval 1:6
1125	1140	Interval 1:7
1185	1200	Interval 1:8
1245	1260	Interval 1:9
1305	1320	Interval 1:10
1365	1380	Interval 1:11
1425	1440	Interval 1:12
720	1440	Interval 1
1785	1800	Interval 2:1
1845	1860	Interval 2:2
1905	1920	Interval 2:3
1965	1980	Interval 2:4
2025	2040	Interval 2:5
2085	2100	Interval 2:6
2145	2160	Interval 2:7
2205	2220	Interval 2:8
2265	2280	Interval 2:9
2325	2340	Interval 2:10
2385	2400	Interval 2:11
2445	2460	Interval 2:12
1740	2460	Interval 2
2805	2820	Interval 3:1
2865	2880	Interval 3:2
2925	2940	Interval 3:3
2985	3000	Interval 3:4
3045	3060	Interval 3:5
3105	3120	Interval 3:6
3165	3180	Interval 3:7
3225	3240	Interval 3:8
3285	3300	Interval 3:9
3345	3360	Interval 3:10
3405	3420	Interval 3:11
3465	3480	Interval 3:12
2760	3480	Interval 3
[END INTERVAL DATA]
