[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Xalibu +2,92,127. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	125
15	125
15	10
16	10
16	41
20	41
20	180
20.5	180
20.5	80
21	88
21	88
21.25	88
21.25	125
21.5	125
21.5	88
21.75	88
21.75	125
22	125
22	88
22.25	88
22.25	125
22.5	125
22.5	88
22.75	88
22.75	125
23	125
23	88
23.25	88
23.25	125
23.5	125
23.5	88
23.75	88
23.75	125
24	125
24	88
24.25	88
24.25	125
24.5	125
24.5	88
24.75	88
24.75	125
25	125
25	40
30	40
30	180
30.5	180
30.5	80
31	88
31	88
31.25	88
31.25	125
31.5	125
31.5	88
31.75	88
31.75	125
32	125
32	88
32.25	88
32.25	125
32.5	125
32.5	88
32.75	88
32.75	125
33	125
33	88
33.25	88
33.25	125
33.5	125
33.5	88
33.75	88
33.75	125
34	125
34	88
34.25	88
34.25	125
34.5	125
34.5	88
34.75	88
34.75	125
35	125
35	40
40	40
40	180
40.5	180
40.5	80
41	88
41	88
41.25	88
41.25	125
41.5	125
41.5	88
41.75	88
41.75	125
42	125
42	88
42.25	88
42.25	125
42.5	125
42.5	88
42.75	88
42.75	125
43	125
43	88
43.25	88
43.25	125
43.5	125
43.5	88
43.75	88
43.75	125
44	125
44	88
44.25	88
44.25	125
44.5	125
44.5	88
44.75	88
44.75	125
45	125
45	40
50	40
50	180
50.5	180
50.5	80
51	88
51	88
51.25	88
51.25	125
51.5	125
51.5	88
51.75	88
51.75	125
52	125
52	88
52.25	88
52.25	125
52.5	125
52.5	88
52.75	88
52.75	125
53	125
53	88
53.25	88
53.25	125
53.5	125
53.5	88
53.75	88
53.75	125
54	125
54	88
54.25	88
54.25	125
54.5	125
54.5	88
54.75	88
54.75	125
55	125
55	40
60	40
60	180
60.5	180
60.5	80
61	88
61	88
61.25	88
61.25	125
61.5	125
61.5	88
61.75	88
61.75	125
62	125
62	88
62.25	88
62.25	125
62.5	125
62.5	88
62.75	88
62.75	125
63	125
63	88
63.25	88
63.25	125
63.5	125
63.5	88
63.75	88
63.75	125
64	125
64	88
64.25	88
64.25	125
64.5	125
64.5	88
64.75	88
64.75	125
65	125
65	40
70	40
70	180
70.5	180
70.5	80
71	88
71	88
71.25	88
71.25	125
71.5	125
71.5	88
71.75	88
71.75	125
72	125
72	88
72.25	88
72.25	125
72.5	125
72.5	88
72.75	88
72.75	125
73	125
73	88
73.25	88
73.25	125
73.5	125
73.5	88
73.75	88
73.75	125
74	125
74	88
74.25	88
74.25	125
74.5	125
74.5	88
74.75	88
74.75	125
75	125
75	40
80	40
80	180
80.5	180
80.5	80
81	88
81	88
81.25	88
81.25	125
81.5	125
81.5	88
81.75	88
81.75	125
82	125
82	88
82.25	88
82.25	125
82.5	125
82.5	88
82.75	88
82.75	125
83	125
83	88
83.25	88
83.25	125
83.5	125
83.5	88
83.75	88
83.75	125
84	125
84	88
84.25	88
84.25	125
84.5	125
84.5	88
84.75	88
84.75	125
85	125
85	40
90	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	5400	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1230	Sprint 4
1230	1260	Tempo 1
1260	1275	Sweet Spot 1
1275	1290	Sprint 5
1290	1305	Sweet Spot 2
1305	1320	Sprint 6
1320	1335	Sweet Spot 3
1335	1350	Sprint 7
1350	1365	Sweet Spot 4
1365	1380	Sprint 8
1380	1395	Sweet Spot 5
1395	1410	Sprint 9
1410	1425	Sweet Spot 6
1425	1440	Sprint 10
1440	1455	Sweet Spot 7
1455	1470	Sprint 11
1470	1485	Sweet Spot 8
1485	1500	Sprint 12
1800	1830	Sprint 13
1830	1860	Tempo 2
1860	1875	Sweet Spot 9
1875	1890	Sprint 14
1890	1905	Sweet Spot 10
1905	1920	Sprint 15
1920	1935	Sweet Spot 11
1935	1950	Sprint 16
1950	1965	Sweet Spot 12
1965	1980	Sprint 17
1980	1995	Sweet Spot 13
1995	2010	Sprint 18
2010	2025	Sweet Spot 14
2025	2040	Sprint 19
2040	2055	Sweet Spot 15
2055	2070	Sprint 20
2070	2085	Sweet Spot 16
2085	2100	Sprint 21
2400	2430	Sprint 22
2430	2460	Tempo 3
2460	2475	Sweet Spot 17
2475	2490	Sprint 23
2490	2505	Sweet Spot 18
2505	2520	Sprint 24
2520	2535	Sweet Spot 19
2535	2550	Sprint 25
2550	2565	Sweet Spot 20
2565	2580	Sprint 26
2580	2595	Sweet Spot 21
2595	2610	Sprint 27
2610	2625	Sweet Spot 22
2625	2640	Sprint 28
2640	2655	Sweet Spot 23
2655	2670	Sprint 29
2670	2685	Sweet Spot 24
2685	2700	Sprint 30
3000	3030	Sprint 31
3030	3060	Tempo 4
3060	3075	Sweet Spot 25
3075	3090	Sprint 32
3090	3105	Sweet Spot 26
3105	3120	Sprint 33
3120	3135	Sweet Spot 27
3135	3150	Sprint 34
3150	3165	Sweet Spot 28
3165	3180	Sprint 35
3180	3195	Sweet Spot 29
3195	3210	Sprint 36
3210	3225	Sweet Spot 30
3225	3240	Sprint 37
3240	3255	Sweet Spot 31
3255	3270	Sprint 38
3270	3285	Sweet Spot 32
3285	3300	Sprint 39
3600	3630	Sprint 40
3630	3660	Tempo 5
3660	3675	Sweet Spot 33
3675	3690	Sprint 41
3690	3705	Sweet Spot 34
3705	3720	Sprint 42
3720	3735	Sweet Spot 35
3735	3750	Sprint 43
3750	3765	Sweet Spot 36
3765	3780	Sprint 44
3780	3795	Sweet Spot 37
3795	3810	Sprint 45
3810	3825	Sweet Spot 38
3825	3840	Sprint 46
3840	3855	Sweet Spot 39
3855	3870	Sprint 47
3870	3885	Sweet Spot 40
3885	3900	Sprint 48
4200	4230	Sprint 49
4230	4260	Tempo 6
4260	4275	Sweet Spot 41
4275	4290	Sprint 50
4290	4305	Sweet Spot 42
4305	4320	Sprint 51
4320	4335	Sweet Spot 43
4335	4350	Sprint 52
4350	4365	Sweet Spot 44
4365	4380	Sprint 53
4380	4395	Sweet Spot 45
4395	4410	Sprint 54
4410	4425	Sweet Spot 46
4425	4440	Sprint 55
4440	4455	Sweet Spot 47
4455	4470	Sprint 56
4470	4485	Sweet Spot 48
4485	4500	Sprint 57
4800	4830	Sprint 58
4830	4860	Tempo 7
4860	4875	Sweet Spot 49
4875	4890	Sprint 59
4890	4905	Sweet Spot 50
4905	4920	Sprint 60
4920	4935	Sweet Spot 51
4935	4950	Sprint 61
4950	4965	Sweet Spot 52
4965	4980	Sprint 62
4980	4995	Sweet Spot 53
4995	5010	Sprint 63
5010	5025	Sweet Spot 54
5025	5040	Sprint 64
5040	5055	Sweet Spot 55
5055	5070	Sprint 65
5070	5085	Sweet Spot 56
5085	5100	Sprint 66
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

