[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Wolfjaw +1,88,97. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	130
13	130
13	96
13.75	96
13.75	130
14	130
14	96
14.75	96
14.75	130
15	130
15	10
16	10
16	40
20	40
20	88
20.25	88
20.25	130
20.58	130
20.58	88
20.83	88
20.83	130
21.16	130
21.16	88
21.66	88
21.66	130
22	130
22	88
22.25	88
22.25	130
22.58	130
22.58	88
23.08	88
23.08	130
23.41	130
23.41	88
23.66	88
23.66	130
24	130
24	88
24.25	88
24.25	130
24.58	130
24.58	40
29.58	40
29.58	88
29.83	88
29.83	130
30.16	130
30.16	88
30.41	88
30.41	130
30.75	130
30.75	88
31.25	88
31.25	130
31.58	130
31.58	88
31.83	88
31.83	130
32.16	130
32.16	88
32.66	88
32.66	130
33	130
33	88
33.25	88
33.25	130
33.58	130
33.58	88
33.83	88
33.83	130
34.16	130
34.16	40
39.16	40
39.16	88
39.41	88
39.41	130
39.75	130
39.75	88
40	88
40	130
40.33	130
40.33	88
40.83	88
40.83	130
41.16	130
41.16	88
41.41	88
41.41	130
41.75	130
41.75	88
42.25	88
42.25	130
42.58	130
42.58	88
42.83	88
42.83	130
43.16	130
43.16	88
43.41	88
43.41	130
43.75	130
43.75	40
48.75	40
48.75	88
49	88
49	130
49.33	130
49.33	88
49.58	88
49.58	130
49.91	130
49.91	88
50.41	88
50.41	130
50.75	130
50.75	88
51	88
51	130
51.33	130
51.33	88
51.83	88
51.83	130
52.16	130
52.16	88
52.41	88
52.41	130
52.75	130
52.75	88
53	88
53	130
53.33	130
53.33	40
58.33	40
58.33	88
58.58	88
58.58	130
58.91	130
58.91	88
59.16	88
59.16	130
59.5	130
59.5	88
60	88
60	130
60.33	130
60.33	88
60.58	88
60.58	130
60.91	130
60.91	88
61.41	88
61.41	130
61.75	130
61.75	88
62	88
62	130
62.33	130
62.33	88
62.58	88
62.58	130
62.91	130
62.91	40
67.91	40
67.91	88
68.16	88
68.16	130
68.5	130
68.5	88
68.75	88
68.75	130
69.08	130
69.08	88
69.58	88
69.58	130
69.91	130
69.91	88
70.16	88
70.16	130
70.5	130
70.5	88
71	88
71	130
71.33	130
71.33	88
71.58	88
71.58	130
71.91	130
71.91	88
72.16	88
72.16	130
72.5	130
72.5	40
75	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	4500	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1215	Sweet Spot 1
1215	1235	Sprint 4
1235	1250	Sweet Spot 2
1250	1270	Sprint 5
1270	1300	Sweet Spot 3
1300	1320	Sprint 6
1320	1335	Sweet Spot 4
1335	1355	Sprint 7
1355	1385	Sweet Spot 5
1385	1405	Sprint 8
1405	1420	Sweet Spot 6
1420	1440	Sprint 9
1440	1455	Sweet Spot 7
1455	1475	Sprint 10
1775	1790	Sweet Spot 8
1790	1810	Sprint 11
1810	1825	Sweet Spot 9
1825	1845	Sprint 12
1845	1875	Sweet Spot 10
1875	1895	Sprint 13
1895	1910	Sweet Spot 11
1910	1930	Sprint 14
1930	1960	Sweet Spot 12
1960	1980	Sprint 15
1980	1995	Sweet Spot 13
1995	2015	Sprint 16
2015	2030	Sweet Spot 14
2030	2050	Sprint 17
2350	2365	Sweet Spot 15
2365	2385	Sprint 18
2385	2400	Sweet Spot 16
2400	2420	Sprint 19
2420	2450	Sweet Spot 17
2450	2470	Sprint 20
2470	2485	Sweet Spot 18
2485	2505	Sprint 21
2505	2535	Sweet Spot 19
2535	2555	Sprint 22
2555	2570	Sweet Spot 20
2570	2590	Sprint 23
2590	2605	Sweet Spot 21
2605	2625	Sprint 24
2925	2940	Sweet Spot 22
2940	2960	Sprint 25
2960	2975	Sweet Spot 23
2975	2995	Sprint 26
2995	3025	Sweet Spot 24
3025	3045	Sprint 27
3045	3060	Sweet Spot 25
3060	3080	Sprint 28
3080	3110	Sweet Spot 26
3110	3130	Sprint 29
3130	3145	Sweet Spot 27
3145	3165	Sprint 30
3165	3180	Sweet Spot 28
3180	3200	Sprint 31
3500	3515	Sweet Spot 29
3515	3535	Sprint 32
3535	3550	Sweet Spot 30
3550	3570	Sprint 33
3570	3600	Sweet Spot 31
3600	3620	Sprint 34
3620	3635	Sweet Spot 32
3635	3655	Sprint 35
3655	3685	Sweet Spot 33
3685	3705	Sprint 36
3705	3720	Sweet Spot 34
3720	3740	Sprint 37
3740	3755	Sweet Spot 35
3755	3775	Sprint 38
4075	4090	Sweet Spot 36
4090	4110	Sprint 39
4110	4125	Sweet Spot 37
4125	4145	Sprint 40
4145	4175	Sweet Spot 38
4175	4195	Sprint 41
4195	4210	Sweet Spot 39
4210	4230	Sprint 42
4230	4260	Sweet Spot 40
4260	4280	Sprint 43
4280	4295	Sweet Spot 41
4295	4315	Sprint 44
4315	4330	Sweet Spot 42
4330	4350	Sprint 45
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

