[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Kephart +3,85,108. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	125
15	125
15	10
16	10
16	40
20	40
20	87
20.25	87
20.25	125
20.5	125
20.5	88
20.75	88
20.75	125
21	125
21	88
21.5	88
21.5	125
21.75	125
21.75	88
22	88
22	125
22.25	125
22.25	88
22.75	88
22.75	125
23	125
23	88
23.25	88
23.25	125
23.5	125
23.5	88
24	88
24	125
24.25	125
24.25	88
24.5	88
24.5	125
24.75	125
24.75	88
25.25	88
25.25	125
25.5	125
25.5	88
25.75	88
25.75	125
26	125
26	88
26.5	88
26.5	125
26.75	125
26.75	88
27	88
27	125
27.25	125
27.25	40
34.25	40
34.25	88
34.5	88
34.5	125
34.75	125
34.75	88
35	88
35	125
35.25	125
35.25	88
35.75	88
35.75	125
36	125
36	88
36.25	88
36.25	125
36.5	125
36.5	88
37	88
37	125
37.25	125
37.25	88
37.5	88
37.5	125
37.75	125
37.75	88
38.25	88
38.25	125
38.5	125
38.5	88
38.75	88
38.75	125
39	125
39	88
39.5	88
39.5	125
39.75	125
39.75	88
40	88
40	125
40.25	125
40.25	88
40.75	88
40.75	125
41	125
41	88
41.25	88
41.25	125
41.5	125
41.5	40
48.5	40
48.5	88
48.75	88
48.75	125
49	125
49	88
49.25	88
49.25	125
49.5	125
49.5	88
50	88
50	125
50.25	125
50.25	88
50.5	88
50.5	125
50.75	125
50.75	88
51.25	88
51.25	125
51.5	125
51.5	88
51.75	88
51.75	125
52	125
52	88
52.5	88
52.5	125
52.75	125
52.75	88
53	88
53	125
53.25	125
53.25	88
53.75	88
53.75	125
54	125
54	88
54.25	88
54.25	125
54.5	125
54.5	88
55	88
55	125
55.25	125
55.25	88
55.5	88
55.5	125
55.75	125
55.75	40
62.75	40
62.75	88
63	88
63	125
63.25	125
63.25	88
63.5	88
63.5	125
63.75	125
63.75	88
64.25	88
64.25	125
64.5	125
64.5	88
64.75	88
64.75	125
65	125
65	88
65.5	88
65.5	125
65.75	125
65.75	88
66	88
66	125
66.25	125
66.25	88
66.75	88
66.75	125
67	125
67	88
67.25	88
67.25	125
67.5	125
67.5	88
68	88
68	125
68.25	125
68.25	88
68.5	88
68.5	125
68.75	125
68.75	88
69.25	88
69.25	125
69.5	125
69.5	88
69.75	88
69.75	125
70	125
70	40
77	40
77	88
77.25	88
77.25	125
77.5	125
77.5	88
77.75	88
77.75	125
78	125
78	88
78.5	88
78.5	125
78.75	125
78.75	88
79	88
79	125
79.25	125
79.25	88
79.75	88
79.75	125
80	125
80	88
80.25	88
80.25	125
80.5	125
80.5	88
81	88
81	125
81.25	125
81.25	88
81.5	88
81.5	125
81.75	125
81.75	88
82.25	88
82.25	125
82.5	125
82.5	88
82.75	88
82.75	125
83	125
83	88
83.5	88
83.5	125
83.75	125
83.75	88
84	88
84	125
84.25	125
84.25	40
90	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	5400	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1215	Sweet Spot 1
1215	1230	Sprint 4
1230	1245	Sweet Spot 2
1245	1260	Sprint 5
1260	1290	Sweet Spot 3
1290	1305	Sprint 6
1305	1320	Sweet Spot 4
1320	1335	Sprint 7
1335	1365	Sweet Spot 5
1365	1380	Sprint 8
1380	1395	Sweet Spot 6
1395	1410	Sprint 9
1410	1440	Sweet Spot 7
1440	1455	Sprint 10
1455	1470	Sweet Spot 8
1470	1485	Sprint 11
1485	1515	Sweet Spot 9
1515	1530	Sprint 12
1530	1545	Sweet Spot 10
1545	1560	Sprint 13
1560	1590	Sweet Spot 11
1590	1605	Sprint 14
1605	1620	Sweet Spot 12
1620	1635	Sprint 15
2055	2070	Sweet Spot 13
2070	2085	Sprint 16
2085	2100	Sweet Spot 14
2100	2115	Sprint 17
2115	2145	Sweet Spot 15
2145	2160	Sprint 18
2160	2175	Sweet Spot 16
2175	2190	Sprint 19
2190	2220	Sweet Spot 17
2220	2235	Sprint 20
2235	2250	Sweet Spot 18
2250	2265	Sprint 21
2265	2295	Sweet Spot 19
2295	2310	Sprint 22
2310	2325	Sweet Spot 20
2325	2340	Sprint 23
2340	2370	Sweet Spot 21
2370	2385	Sprint 24
2385	2400	Sweet Spot 22
2400	2415	Sprint 25
2415	2445	Sweet Spot 23
2445	2460	Sprint 26
2460	2475	Sweet Spot 24
2475	2490	Sprint 27
2910	2925	Sweet Spot 25
2925	2940	Sprint 28
2940	2955	Sweet Spot 26
2955	2970	Sprint 29
2970	3000	Sweet Spot 27
3000	3015	Sprint 30
3015	3030	Sweet Spot 28
3030	3045	Sprint 31
3045	3075	Sweet Spot 29
3075	3090	Sprint 32
3090	3105	Sweet Spot 30
3105	3120	Sprint 33
3120	3150	Sweet Spot 31
3150	3165	Sprint 34
3165	3180	Sweet Spot 32
3180	3195	Sprint 35
3195	3225	Sweet Spot 33
3225	3240	Sprint 36
3240	3255	Sweet Spot 34
3255	3270	Sprint 37
3270	3300	Sweet Spot 35
3300	3315	Sprint 38
3315	3330	Sweet Spot 36
3330	3345	Sprint 39
3765	3780	Sweet Spot 37
3780	3795	Sprint 40
3795	3810	Sweet Spot 38
3810	3825	Sprint 41
3825	3855	Sweet Spot 39
3855	3870	Sprint 42
3870	3885	Sweet Spot 40
3885	3900	Sprint 43
3900	3930	Sweet Spot 41
3930	3945	Sprint 44
3945	3960	Sweet Spot 42
3960	3975	Sprint 45
3975	4005	Sweet Spot 43
4005	4020	Sprint 46
4020	4035	Sweet Spot 44
4035	4050	Sprint 47
4050	4080	Sweet Spot 45
4080	4095	Sprint 48
4095	4110	Sweet Spot 46
4110	4125	Sprint 49
4125	4155	Sweet Spot 47
4155	4170	Sprint 50
4170	4185	Sweet Spot 48
4185	4200	Sprint 51
4620	4635	Sweet Spot 49
4635	4650	Sprint 52
4650	4665	Sweet Spot 50
4665	4680	Sprint 53
4680	4710	Sweet Spot 51
4710	4725	Sprint 54
4725	4740	Sweet Spot 52
4740	4755	Sprint 55
4755	4785	Sweet Spot 53
4785	4800	Sprint 56
4800	4815	Sweet Spot 54
4815	4830	Sprint 57
4830	4860	Sweet Spot 55
4860	4875	Sprint 58
4875	4890	Sweet Spot 56
4890	4905	Sprint 59
4905	4935	Sweet Spot 57
4935	4950	Sprint 60
4950	4965	Sweet Spot 58
4965	4980	Sprint 61
4980	5010	Sweet Spot 59
5010	5025	Sprint 62
5025	5040	Sweet Spot 60
5040	5055	Sprint 63
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

