[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Apple Orchard +3,88,60. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	125
15	125
15	10
16	10
16	40
20	40
20	92
20.25	92
20.25	125
20.5	125
20.5	92
20.75	92
20.75	125
21	125
21	92
21.25	92
21.25	125
21.5	125
21.5	92
21.75	92
21.75	125
22	125
22	92
22.25	92
22.25	125
22.5	125
22.5	92
22.75	92
22.75	125
23	125
23	92
23.25	92
23.25	125
23.5	125
23.5	40
24.5	40
24.5	10
25.5	10
25.5	40
26.5	40
26.5	92
26.75	92
26.75	125
27	125
27	92
27.25	92
27.25	125
27.5	125
27.5	92
27.75	92
27.75	125
28	125
28	92
28.25	92
28.25	125
28.5	125
28.5	92
28.75	92
28.75	125
29	125
29	92
29.25	92
29.25	125
29.5	125
29.5	92
29.75	92
29.75	125
30	125
30	40
31	40
31	10
32	10
32	40
33	40
33	92
33.25	92
33.25	125
33.5	125
33.5	92
33.75	92
33.75	125
34	125
34	92
34.25	92
34.25	125
34.5	125
34.5	92
34.75	92
34.75	125
35	125
35	92
35.25	92
35.25	125
35.5	125
35.5	92
35.75	92
35.75	125
36	125
36	92
36.25	92
36.25	125
36.5	125
36.5	40
37.5	40
37.5	10
38.5	10
38.5	40
39.5	40
39.5	92
39.75	92
39.75	125
40	125
40	92
40.25	92
40.25	125
40.5	125
40.5	92
40.75	92
40.75	125
41	125
41	92
41.25	92
41.25	125
41.5	125
41.5	92
41.75	92
41.75	125
42	125
42	92
42.25	92
42.25	125
42.5	125
42.5	92
42.75	92
42.75	125
43	125
43	40
46	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	2760	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1215	Sweet Spot 1
1215	1230	Sprint 4
1230	1245	Sweet Spot 2
1245	1260	Sprint 5
1260	1275	Sweet Spot 3
1275	1290	Sprint 6
1290	1305	Sweet Spot 4
1305	1320	Sprint 7
1320	1335	Sweet Spot 5
1335	1350	Sprint 8
1350	1365	Sweet Spot 6
1365	1380	Sprint 9
1380	1395	Sweet Spot 7
1395	1410	Sprint 10
1590	1605	Sweet Spot 8
1605	1620	Sprint 11
1620	1635	Sweet Spot 9
1635	1650	Sprint 12
1650	1665	Sweet Spot 10
1665	1680	Sprint 13
1680	1695	Sweet Spot 11
1695	1710	Sprint 14
1710	1725	Sweet Spot 12
1725	1740	Sprint 15
1740	1755	Sweet Spot 13
1755	1770	Sprint 16
1770	1785	Sweet Spot 14
1785	1800	Sprint 17
1980	1995	Sweet Spot 15
1995	2010	Sprint 18
2010	2025	Sweet Spot 16
2025	2040	Sprint 19
2040	2055	Sweet Spot 17
2055	2070	Sprint 20
2070	2085	Sweet Spot 18
2085	2100	Sprint 21
2100	2115	Sweet Spot 19
2115	2130	Sprint 22
2130	2145	Sweet Spot 20
2145	2160	Sprint 23
2160	2175	Sweet Spot 21
2175	2190	Sprint 24
2370	2385	Sweet Spot 22
2385	2400	Sprint 25
2400	2415	Sweet Spot 23
2415	2430	Sprint 26
2430	2445	Sweet Spot 24
2445	2460	Sprint 27
2460	2475	Sweet Spot 25
2475	2490	Sprint 28
2490	2505	Sweet Spot 26
2505	2520	Sprint 29
2520	2535	Sweet Spot 27
2535	2550	Sprint 30
2550	2565	Sweet Spot 28
2565	2580	Sprint 31
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

