[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Grassy Ridge -2,78,68. Created by 32607.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12.5	72
12.5	115
13	115
13	60
13.5	60
13.5	115
14	115
14	60
14.5	60
14.5	115
15	115
15	10
16	10
16	40
20	40
20	115
20.5	115
20.5	50
21	50
21	115
21.5	115
21.5	50
22	50
22	115
22.5	115
22.5	50
23	50
23	115
23.5	115
23.5	50
24	50
24	115
24.5	115
24.5	50
25	50
25	115
25.5	115
25.5	50
26	50
26	115
26.5	115
26.5	50
27	50
27	115
27.5	115
27.5	50
28	50
28	115
28.5	115
28.5	40
32.5	40
32.5	115
33	115
33	50
33.5	50
33.5	115
34	115
34	50
34.5	50
34.5	115
35	115
35	50
35.5	50
35.5	115
36	115
36	50
36.5	50
36.5	115
37	115
37	50
37.5	50
37.5	115
38	115
38	50
38.5	50
38.5	115
39	115
39	50
39.5	50
39.5	115
40	115
40	50
40.5	50
40.5	115
41	115
41	40
45	40
45	115
45.5	115
45.5	50
46	50
46	115
46.5	115
46.5	50
47	50
47	115
47.5	115
47.5	50
48	50
48	115
48.5	115
48.5	50
49	50
49	115
49.5	115
49.5	50
50	50
50	115
50.5	115
50.5	50
51	50
51	115
51.5	115
51.5	50
52	50
52	115
52.5	115
52.5	50
53	50
53	115
53.5	115
53.5	40
57	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	3420	Workout
360	750	Endurance 1
750	780	VO2 Max 1
780	810	Endurance 2
810	840	VO2 Max 2
840	870	Endurance 3
870	900	VO2 Max 3
1200	1230	VO2 Max 4
1260	1290	VO2 Max 5
1320	1350	VO2 Max 6
1380	1410	VO2 Max 7
1440	1470	VO2 Max 8
1500	1530	VO2 Max 9
1560	1590	VO2 Max 10
1620	1650	VO2 Max 11
1680	1710	VO2 Max 12
1950	1980	VO2 Max 13
2010	2040	VO2 Max 14
2070	2100	VO2 Max 15
2130	2160	VO2 Max 16
2190	2220	VO2 Max 17
2250	2280	VO2 Max 18
2310	2340	VO2 Max 19
2370	2400	VO2 Max 20
2430	2460	VO2 Max 21
2700	2730	VO2 Max 22
2760	2790	VO2 Max 23
2820	2850	VO2 Max 24
2880	2910	VO2 Max 25
2940	2970	VO2 Max 26
3000	3030	VO2 Max 27
3060	3090	VO2 Max 28
3120	3150	VO2 Max 29
3180	3210	VO2 Max 30
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

