[COURSE HEADER]		
VERSION = 2		
UNITS = ENGLISH		
DESCRIPTION = 95, 93, SUFFERFEST - DOWNWARD SPIRAL Remastered		
FILE NAME = DOWNWARD_SPIRAL.MRC		
MINUTES	FTP	
[END COURSE HEADER]		
		
[COURSE DATA]		
0	50	
5.28	50	
5.28	74	
7.71	74	
7.71	111	
8.25	111	
8.25	74	
9.49	74	
9.49	111	
10.18	111	
10.18	74	
10.95	74	
10.95	129	
12.9	129	
12.9	50	
15.02	50	
15.02	129	
16.78	129	
16.78	50	
18.75	50	
18.75	129	
20.41	129	
20.41	50	
22.12	50	
22.12	129	
23.41	129	
23.41	50	
24.85	50	
24.85	129	
25.85	129	
25.85	50	
27.03	50	
27.03	135	
27.76	135	
27.76	50	
28.68	50	
28.68	135	
29.19	135	
29.19	50	
29.87	50	
29.87	160	
30.13	160	
30.13	50	
35.36	50	
35.36	129	
37.36	129	
37.36	50	
39.59	50	
39.59	129	
41.39	129	
41.39	50	
43.39	50	
43.39	129	
44.92	129	
44.92	50	
46.66	50	
46.66	129	
47.91	129	
47.91	50	
49.37	50	
49.37	129	
50.37	129	
50.37	50	
51.57	50	
51.57	135	
52.32	135	
52.32	50	
53.22	50	
53.22	135	
53.73	135	
53.73	50	
54.39	50	
54.39	170	
54.61	170	
54.61	40	
55.05	40	
55.05	175	
55.3	175	
55.3	40	
55.66	40	
55.66	180	
55.93	180	
55.93	40	
56.29	40	
56.29	180	
56.56	180	
56.56	50	
61.68	50	
[END COURSE DATA]		
		
[INTERVAL DATA]		
0	3701	Workout
463	495	Close the gap 1
569	611	Close the gap 2
657	774	Set 1:1
901	1007	Set 1:2
1125	1225	Set 1:3
1327	1405	Set 1:4
1491	1551	Set 1:5
1622	1666	Set 1:6
1721	1751	Set 1:7
1792	1808	Set 1:8
2122	2242	Set 2:1
2375	2483	Set 2:2
2603	2695	Set 2:3
2800	2875	Set 2:4
2962	3022	Set 2:5
3094	3139	Set 2:6
3193	3224	Set 2:7
3263	3277	Set 2:8
3303	3318	Set 2:9
3340	3356	Set 2:10
3377	3394	Set 2:11
[END INTERVAL DATA]		
