[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Taylor,81,99. Created by 42270.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
4	50
4	120
4.2	120
4.2	40
5	40
5	120
5.3	120
5.3	40
6	40
6	120
6.4	120
6.4	40
10	40
10	120
10.5	120
10.5	40
11	40
11	120
11.5	120
11.5	40
12	40
12	120
12.5	120
12.5	40
13	40
13	120
13.5	120
13.5	40
14	40
14	120
14.5	120
14.5	40
15	40
15	120
15.5	120
15.5	40
16	40
16	120
16.5	120
16.5	40
17	40
17	120
17.5	120
17.5	40
18	40
18	120
18.5	120
18.5	40
19	40
19	120
19.5	120
19.5	40
20	40
20	120
20.5	120
20.5	40
21	40
21	120
21.5	120
21.5	40
22	40
22	120
22.5	120
22.5	40
23	40
23	120
23.5	120
23.5	40
24	40
24	120
24.5	120
24.5	40
25	40
25	120
25.5	120
25.5	40
26	40
26	120
26.5	120
26.5	40
27	40
27	120
27.5	120
27.5	40
28	40
28	120
28.5	120
28.5	40
29	40
29	120
29.5	120
29.5	40
37	40
37	120
37.5	120
37.5	40
38	40
38	120
38.5	120
38.5	40
39	40
39	120
39.5	120
39.5	40
40	40
40	120
40.5	120
40.5	40
41	40
41	120
41.5	120
41.5	40
42	40
42	120
42.5	120
42.5	40
43	40
43	120
43.5	120
43.5	40
44	40
44	120
44.5	120
44.5	40
45	40
45	120
45.5	120
45.5	40
46	40
46	120
46.5	120
46.5	40
47	40
47	120
47.5	120
47.5	40
48	40
48	120
48.5	120
48.5	40
49	40
49	120
49.5	120
49.5	40
50	40
50	120
50.5	120
50.5	40
51	40
51	120
51.5	120
51.5	40
52	40
52	120
52.5	120
52.5	40
53	40
53	120
53.5	120
53.5	40
54	40
54	120
54.5	120
54.5	40
55	40
55	120
55.5	120
55.5	40
56	40
56	120
56.5	120
56.5	40
65	40
65	120
65.5	120
65.5	40
66	40
66	120
66.5	120
66.5	40
67	40
67	120
67.5	120
67.5	40
68	40
68	120
68.5	120
68.5	40
69	40
69	120
69.5	120
69.5	40
70	40
70	120
70.5	120
70.5	40
71	40
71	120
71.5	120
71.5	40
72	40
72	120
72.5	120
72.5	40
73	40
73	120
73.5	120
73.5	40
74	40
74	120
74.5	120
74.5	40
75	40
75	120
75.5	120
75.5	40
76	40
76	120
76.5	120
76.5	40
77	40
77	120
77.5	120
77.5	40
78	40
78	120
78.5	120
78.5	40
79	40
79	120
79.5	120
79.5	40
80	40
80	120
80.5	120
80.5	40
81	40
81	120
81.5	120
81.5	40
82	40
82	120
82.5	120
82.5	40
83	40
83	120
83.5	120
83.5	41
84	41
84	120
84.5	120
84.5	40
90	40
[END COURSE DATA]

[COURSE TEXT]
0	Welcome to Taylor!	8	0	0	72	16777215	10
0	Today's workout consists of 3, 20-minute sets...	8	0	0	72	16777215	20
0	each comprised of twenty 30-second Billats at 120% FTP	8	0	0	72	16777215	30
0	We'll be working at a one-to-one work:rest ratio during the sets	8	0	0	72	16777215	40
0	In other words, you'll have 30 seconds of rest following every 30-second Billat	8	0	0	72	16777215	50
0	Although these intervals look like Anaerobic power repeats...	8	0	0	72	16777215	60
0	you'll be improving upon your maximum AEROBIC capacity	8	0	0	72	16777215	70
0	This is because as each set progresses, your anaerobic stores become depleted...	8	0	0	72	16777215	80
0	so your aerobic system becomes increasingly relied upon	8	0	0	72	16777215	90
0	You'll start each subsequent Billat at a higher O2-uptake percentage...	8	0	0	72	16777215	100
0	Since your breathing won't have time to fully recover after each repeat	8	0	0	72	16777215	110
0	3 clearing microbursts in about 30 seconds	8	0	0	72	16777215	210
0	Use these to clear the legs, adjust to the workload...	8	0	0	72	16777215	220
0	and establish a high but sustainable cadence during the bursts	8	0	0	72	16777215	230
240	Pedal quickly for 12 seconds, as high as 100rpm	8	0	0	72	16777215	0
252	Back to an easier spin for the rest of this minute	8	0	0	72	16777215	0
300	Try for a little more speed this time, maybe 110rpm	8	0	0	72	16777215	0
318	Ease up for the remainder of the minute	8	0	0	72	16777215	0
360	Last time, shoot for 120rpm if you can control it	8	0	0	72	16777215	0
384	Good, take things easy for a few minutes & we'll talk Billats	8	0	0	72	16777215	6
384	First, where was your cadence during the warm-up bursts?	8	0	0	72	16777215	16
384	Ideally, you'll want to have a quick cadence during the 120% FTP repeats	8	0	0	72	16777215	26
384	100rpm is a good goal if you're new to high-cadence efforts	8	0	0	72	16777215	36
384	but it's not unusual for riders to sustain 110-120rpm during VO2max efforts like these	8	0	0	72	16777215	46
384	In any case, try to maintain at least 90rpm even as fatigue starts to take hold	8	0	0	72	16777215	56
384	If you find your spin drops lower than 90rpm more than twice an interval...	8	0	0	72	16777215	66
384	consider skipping a single 30-second Billat by backpedaling	8	0	0	72	16777215	76
384	If you find yourself skipping more than 2 Billats per 20-interval set...	8	0	0	72	16777215	86
384	consider reducing the Workout Intensity by 5% but no more than 10%	8	0	0	72	16777215	96
384	On the other hand, if you find yourself capable of working a little harder...	8	0	0	72	16777215	106
384	feel free to increase the Workout Intensity 5% after fully completing an entire set	8	0	0	72	16777215	116
384	The first set starts in about 30 seconds	8	0	0	72	16777215	186
384	Start bringing your cadence up now so the first interval doesn't catch you off guard	8	0	0	72	16777215	196
384	Quick spin, 100rpm or higher, 30 seconds at a time	8	0	0	72	16777215	206
600	Stay relaxed & pedal quickly	5	0	0	72	16777215	0
630	30 seconds easy but don't let your leg speed drop too much	8	0	0	72	16777215	0
660	Quick legs, full breaths, lots of control	5	0	0	72	16777215	0
690	Each time you recover you have some options...	8	0	0	72	16777215	0
690	As long as you're fresh & completing your intervals with a steady cadence...	8	0	0	72	16777215	10
690	try to keep the same cadence through each 30-second recovery valley	8	0	0	72	16777215	20
720	Pick it up, 30 seconds!	5	0	0	72	16777215	0
750	But if your cadence starts falling below 90rpm a couple intervals in a row...	8	0	0	72	16777215	0
750	try backpedaling for the first 10-20 seconds of the recovery valley	8	0	0	72	16777215	10
750	This leaves you 10 seconds to get your spin back up to 100rpm or higher	8	0	0	72	16777215	20
780	Quick legs, relaxed upper body	5	0	0	72	16777215	0
810	Keep spinning quickly or try a short, 10-20 seconds of backpedaling	8	0	0	72	16777215	0
840	Quick legs, tons of control - make this look easy	8	0	0	72	16777215	0
870	Good, backpedal or stay on it & we'll touch base in a few intervals	8	0	0	72	16777215	0
1170	About halfway through the first set!	5	0	0	72	16777215	0
1170	If you're losing power or leg speed as these intervals accumulate...	8	0	0	72	16777215	7
1170	consider backpedaling through an entire Billat - once or twice per set	8	0	0	72	16777215	20
1200	Full breaths, really use your belly to draw air in...	8	0	0	72	16777215	0
1200	then clear it out with a little bit of effort each time you exhale	8	0	0	72	16777215	10
1230	If you know you're going to NEED to skip an interval...	8	0	0	72	16777215	0
1230	backpedal only during the interval itself, not during the recoveries on either side	8	0	0	72	16777215	10
1230	This way, your legs will clear but your breathing will stay elevated	8	0	0	72	16777215	20
1470	Still hangin' in there? Excellent!	5	0	0	72	16777215	0
1470	While there are 5 intervals left, limit your focus to ONE at a time	8	0	0	72	16777215	10
1470	Treat each Billat as though it's the only one in the workout	8	0	0	72	16777215	20
1530	Recover your breathing a bit, try to clear your legs...	8	0	0	72	16777215	0
