[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Thor,87,114. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
4	50
4	90
6	90
6	40
7	40
7	150
7.1	150
7.1	40
7.5	40
7.5	200
7.6	200
7.6	40
11	40
11	200
11.2	200
11.2	40
12	40
12	200
12.2	200
12.2	40
13	40
13	200
13.2	200
13.2	40
14	40
14	105
18	105
18	40
21	40
21	200
21.2	200
21.2	40
22	40
22	200
22.2	200
22.2	40
23	40
23	200
23.2	200
23.2	40
24	40
24	105
28	105
28	40
31	40
31	200
31.2	200
31.2	40
32	40
32	200
32.2	200
32.2	40
33	40
33	200
33.2	200
33.2	40
34	40
34	105
38	105
38	40
41	40
41	200
41.2	200
41.2	40
42	40
42	200
42.2	200
42.2	40
43	40
43	200
43.2	200
43.2	40
44	40
44	105
48	105
48	40
51	40
51	200
51.2	200
51.2	40
52	40
52	200
52.2	200
52.2	40
53	40
53	200
53.2	200
53.2	40
54	40
54	105
58	105
58	40
61	40
61	200
61.2	200
61.2	40
62	40
62	200
62.2	200
62.2	40
63	40
63	200
63.2	200
63.2	40
64	40
64	105
68	105
68	40
71	40
71	200
71.2	200
71.2	40
72	40
72	200
72.2	200
72.2	40
73	40
73	200
73.2	200
73.2	40
74	40
74	105
78	105
78	40
81	40
81	200
81.2	200
81.2	40
82	40
82	200
82.2	200
82.2	40
83	40
83	200
83.2	200
83.2	40
84	40
84	105
88	105
88	40
90	40
[END COURSE DATA]

[COURSE TEXT]
0	Today's workout is charmingly dubbed a "sprint-ervals" workout	8	0	0	72	16777215	10
0	Sprint-ervals consist of high-intensity sprints...	8	0	0	72	16777215	20
0	followed by several minutes of sustainable yet supra-Threshold work	8	0	0	72	16777215	30
0	This workout consists of a massive 8 sets of the following:	8	0	0	72	16777215	40
0	3 x 12-second sprints at 200% FTP...	8	0	0	72	16777215	50
0	followed by a 4-minute effort at 105% FTP	8	0	0	72	16777215	60
0	3 minutes of rest between separates the sets	8	0	0	72	16777215	70
0	This workout has 2 objectives:	8	0	0	72	16777215	80
0	The first is to increase muscle fiber recruitment	8	0	0	72	16777215	90
0	Via the sprints, you'll activate a LOT of muscle mass & improve how much & how fast you do this	8	0	0	72	16777215	100
0	The second goal is to make the most out of this muscle fiber recruitment...	8	0	0	72	16777215	110
0	by powering through an almost immediate, sustained effort above FTP	8	0	0	72	16777215	120
0	2-minute clearing effort coming up in 30 seconds...	8	0	0	72	16777215	210
0	bring your cadence into the 85-95rpm range...	8	0	0	72	16777215	220
0	if you aren't already pedaling that quickly	8	0	0	72	16777215	230
240	2 minutes at 90% FTP	8	0	0	72	16777215	0
240	Make sure your cadence is quick but comfortably so	8	0	0	72	16777215	10
360	Ease up & get ready for two, brief sprints in about a minute	8	0	0	72	16777215	0
360	Each sprint is just 6 seconds long & will require a lot of leg speed	8	0	0	72	16777215	30
360	Use them as an opportunity to find your cadence for the sprint efforts	8	0	0	72	16777215	40
360	Get ready...	3	0	0	72	16777215	50
360	3...	1	0	0	72	16777215	57
360	2...	1	0	0	72	16777215	58
360	1...	1	0	0	72	16777215	59
420	Go!	3	0	0	72	16777215	0
426	Quick break so keep your legs fairly quick	8	0	0	72	16777215	0
426	Get ready...	3	0	0	72	16777215	14
426	3...	1	0	0	72	16777215	21
426	2...	1	0	0	72	16777215	22
426	1...	1	0	0	72	16777215	23
450	Sprint!	3	0	0	72	16777215	0
456	Good, take it easy for the next few minutes...	8	0	0	72	16777215	4
456	in preparation of the first set of sprints + muscle endurance	8	0	0	72	16777215	14
456	You'll have 48 seconds of rest following each sprint	8	0	0	72	16777215	24
456	48 seconds isn't a lot...	5	0	0	72	16777215	34
456	so do your best to make the most out of that time by spinning quickly & lightly	8	0	0	72	16777215	44
456	You'll want to get your breathing under control ASAP	8	0	0	72	16777215	54
456	To help you do this, exhale completely taking long, deep breaths	8	0	0	72	16777215	64
456	First sprint in 30 seconds, go ahead and start finding your gearing & cadence	8	0	0	72	16777215	174
456	Get ready...	5	0	0	72	16777215	194
456	3...	1	0	0	72	16777215	201
456	2...	1	0	0	72	16777215	202
456	1...	1	0	0	72	16777215	203
660	Go! 12 seconds!	5	0	0	72	16777215	0
672	That one was easy, yeah?	5	0	0	72	16777215	0
672	Make the next two look just as easy as that first one	8	0	0	72	16777215	10
672	Get ready...	5	0	0	72	16777215	38
672	3...	1	0	0	72	16777215	45
672	2...	1	0	0	72	16777215	46
672	1...	1	0	0	72	16777215	47
720	Hit it!	5	0	0	72	16777215	0
732	Ease off the gas but keep the quick spin	8	0	0	72	16777215	0
732	One more, get ready...	5	0	0	72	16777215	38
732	3...	1	0	0	72	16777215	45
732	2...	1	0	0	72	16777215	46
732	1...	1	0	0	72	16777215	47
780	12-second sprint!	5	0	0	72	16777215	0
792	Excellent! Full, deep breaths, try to relax	8	0	0	72	16777215	0
792	4 minutes at 105% coming up, try to settle into 85-95rpm	8	0	0	72	16777215	10
840	Here we go!	5	0	0	72	16777215	0
840	Take the first 45 seconds or so to adjust to the workload	8	0	0	72	16777215	7
840	Again, shoot for a cadence between 85-95rpm	8	0	0	72	16777215	17
840	Try to hold that cadence as steady as possible for 3 more minutes	8	0	0	72	16777215	45
840	Remember, this interval is only 5% above what you can sustain for about an entire hour...	8	0	0	72	16777215	55
840	and it's only a 4-minute interval!	5	0	0	72	16777215	65
840	Of course, that's not to say this should feel easy	8	0	0	72	16777215	75
840	In fact, you should be in quite an uncomfortable place	8	0	0	72	16777215	85
840	But that's where your ever-growing mental toughness comes into play	8	0	0	72	16777215	95
840	So when the going gets tough, remind yourself...	8	0	0	72	16777215	105
840	"This is a 4-minute interval only 5% above what I can hold for 1 hour"	8	0	0	72	16777215	115
840	You're already halfway through! Keep your focus	8	0	0	72	16777215	125
840	Final minute, don't let your power fall off Target	8	0	0	72	16777215	180
1080	Nice! One set down	5	0	0	72	16777215	0
1080	3 minutes of recovery, make every minute count	8	0	0	72	16777215	10
1080	Draw complete breaths...	5	0	0	72	16777215	20
1080	and don't let your cadence drop too low	8	0	0	72	16777215	30
1080	Keep your cadence above 85rpm, even during recoveries	8	0	0	72	16777215	40
1080	Another minute of easy riding...	5	0	0	72	16777215	120
1080	and then we're back to some 12-second sprints	8	0	0	72	16777215	130
1080	Make sure you find your cadence & gearing before the interval is upon you	8	0	0	72	16777215	140
1080	Get ready...	5	0	0	72	16777215	170
1080	3...	1	0	0	72	16777215	177
1080	2...	1	0	0	72	16777215	178
1080	1...	1	0	0	72	16777215	179
1260	Go! 12 seconds!	5	0	0	72	16777215	0
1272	Ease up, get control of your spin	8	0	0	72	16777215	0
1272	Get ready...	5	0	0	72	16777215	38
1272	3...	1	0	0	72	16777215	45
1272	2...	1	0	0	72	16777215	46
1272	1...	1	0	0	72	16777215	47
1320	Go! Lots of leg speed!	5	0	0	72	16777215	0
1332	2 down, ease up & stay fairly quick	5	0	0	72	16777215	0
1332	Get ready, last one for now...	5	0	0	72	16777215	38
1332	3...	1	0	0	72	16777215	45
1332	2...	1	0	0	72	16777215	46
1332	1...	1	0	0	72	16777215	47
1380	All-out!	5	0	0	72	16777215	0
