[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Cirque,87,112. Created by 42270.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	59
4	59
4	90
7	90
7	40
9	40
9	130
9.1	130
9.1	50
10	50
10	140
10.1	140
10.1	50
11	50
11	150
11.1	150
11.1	40
15	40
15	150
15.25	150
15.25	50
15.5	50
15.5	150
15.75	150
15.75	50
16	50
16	150
16.25	150
16.25	50
16.5	50
16.5	150
16.75	150
16.75	50
17	50
17	150
17.25	150
17.25	50
17.5	50
17.5	150
17.75	150
17.75	50
18	50
18	150
18.25	150
18.25	50
18.5	50
18.5	150
18.75	150
18.75	50
19	50
19	150
19.25	150
19.25	50
19.5	50
19.5	150
19.75	150
19.75	50
20	50
20	150
20.25	150
20.25	50
20.5	50
20.5	150
20.75	150
20.75	40
26	40
26	130
26.5	130
26.5	50
26.75	50
26.75	130
27.25	130
27.25	50
27.5	50
27.5	130
28	130
28	50
28.25	50
28.25	130
28.75	130
28.75	50
29	50
29	130
29.5	130
29.5	50
29.75	50
29.75	130
30.25	130
30.25	50
30.5	50
30.5	130
31	130
31	50
31.25	50
31.25	130
31.75	130
31.75	40
37	40
37	120
37.75	120
37.75	50
38	50
38	120
38.75	120
38.75	50
39	50
39	120
39.75	120
39.75	50
40	50
40	120
40.75	120
40.75	50
41	50
41	120
41.75	120
41.75	50
42	50
42	120
42.75	120
42.75	40
48	40
48	140
48.3	140
48.3	50
48.55	50
48.55	140
48.85	140
48.85	50
49.1	50
49.1	140
49.4	140
49.4	50
49.65	50
49.65	140
49.95	140
49.95	50
50.2	50
50.2	140
50.5	140
50.5	50
50.75	50
50.75	140
51.05	140
51.05	50
51.3	50
51.3	140
51.6	140
51.6	50
51.85	50
51.85	140
52.15	140
52.15	50
52.4	50
52.4	140
52.7	140
52.7	50
52.95	50
52.95	140
53.25	140
53.25	50
53.5	50
53.5	140
53.8	140
53.8	40
59	40
59	150
59.25	150
59.25	50
59.5	50
59.5	150
59.75	150
59.75	50
60	50
60	150
60.25	150
60.25	50
60.5	50
60.5	150
60.75	150
60.75	50
61	50
61	150
61.25	150
61.25	50
61.5	50
61.5	150
61.75	150
61.75	50
62	50
62	150
62.25	150
62.25	50
62.5	50
62.5	150
62.75	150
62.75	50
63	50
63	150
63.25	150
63.25	50
63.5	50
63.5	150
63.75	150
63.75	50
64	50
64	150
64.25	150
64.25	50
64.5	50
64.5	150
64.75	150
64.75	40
70	40
70	130
70.5	130
70.5	50
70.75	50
70.75	130
71.25	130
71.25	50
71.5	50
71.5	130
72	130
72	50
72.25	50
72.25	130
72.75	130
72.75	50
73	50
73	130
73.5	130
73.5	50
73.75	50
73.75	130
74.25	130
74.25	50
74.5	50
74.5	130
75	130
75	50
75.25	50
75.25	130
75.75	130
75.75	40
81	40
81	120
81.75	120
81.75	50
82	50
82	120
82.75	120
82.75	50
83	50
83	120
83.75	120
83.75	50
84	50
84	120
84.75	120
84.75	50
85	50
85	120
85.75	120
85.75	50
86	50
86	120
86.75	120
86.75	40
90	40
[END COURSE DATA]

[COURSE TEXT]
0	Cirque is all about high but repeatable efforts	8	0	0	72	16777215	10
0	At first glance, Cirque looks like a purely Anaerobic-based workout...	8	0	0	72	16777215	20
0	and you'll certainly be spending a lot of time in the Anaerobic zone...	8	0	0	72	16777215	30
0	but don't think your aerobic system won't be taxed as well	8	0	0	72	16777215	40
0	The short recoveries don't allow your respiration to drop very much...	8	0	0	72	16777215	50
0	so each subsequent interval will require less time for you to reach...	8	0	0	72	16777215	60
0	high percentages of your aerobic capacity (VO2max)	8	0	0	72	16777215	70
0	You have 7 sets of microbursts of varying lengths & wattage levels ahead of you	8	0	0	72	16777215	80
0	3-minute clearing effort in about 30 seconds, keep your legs quick	8	0	0	72	16777215	210
240	3 minutes at 90% FTP...	8	0	0	72	16777215	0
240	with your cadence between 85-95rpm	8	0	0	72	16777215	10
420	3 prepatory bursts coming up!	8	0	0	72	16777215	75
420	Use this opportunity to find your burst cadence	8	0	0	72	16777215	85
420	Shoot for a high cadence of 100+ rpm if you can control it	8	0	0	72	16777215	95
420	Bring your cadence up before the interval begins	8	0	0	72	16777215	105
420	3...	1	0	0	72	16777215	117
420	2...	1	0	0	72	16777215	118
420	1...	1	0	0	72	16777215	119
546	Slow it down for most of a minute	8	0	0	72	16777215	0
546	Get ready...	5	0	0	72	16777215	44
546	3...	1	0	0	72	16777215	51
546	2...	1	0	0	72	16777215	52
546	1...	1	0	0	72	16777215	53
606	Excellent, ease off the gas, slow your legs	8	0	0	72	16777215	0
606	Last time, get ready	5	0	0	72	16777215	44
606	3...	1	0	0	72	16777215	51
606	2...	1	0	0	72	16777215	52
606	1...	1	0	0	72	16777215	53
666	Clearly, leg speed will be a focal point of this workout	8	0	0	72	16777215	54
666	This means we'll want to focus on a couple of things:	8	0	0	72	16777215	64
666	Keeping your cadence high - shoot for at least 100rpm	8	0	0	72	16777215	74
666	Also, stay seated and make one of the goals of this workout...	8	0	0	72	16777215	84
666	improved seated power & control	8	0	0	72	16777215	94
666	It's important to be able to generate big watts...	8	0	0	72	16777215	104
666	both out of the saddle AND in the saddle	8	0	0	72	16777215	114
666	Today is very much about generating big power without standing up	8	0	0	72	16777215	124
666	The first set of 15-second intervals at 150% FTP starts in about a minute	8	0	0	72	16777215	174
666	Each burst of 15 seconds at 150% FTP is followed by 15 seconds of rest...	8	0	0	72	16777215	184
666	and this sequence will repeat for about 5 minutes	8	0	0	72	16777215	194
666	Start bringing that cadence up	8	0	0	72	16777215	214
900	Quick legs, lots of power!	5	0	0	72	16777215	0
915	Ease up but keep your legs spinning quickly	8	0	0	72	16777215	0
930	Get your legs speed all at once!	5	0	0	72	16777215	0
945	Ease off the power, keep the leg speed	8	0	0	72	16777215	0
960	Again, go fast!	5	0	0	72	16777215	0
975	OK, on your own for the next few repeats - stay quick & aware	8	0	0	72	16777215	0
1065	Halfway through this set! Keep that cadence high	8	0	0	72	16777215	0
1155	Only 3 microbursts left, stay tough!	5	0	0	72	16777215	0
1230	Last one!	3	0	0	72	16777215	0
1245	One set down! Nicely done	8	0	0	72	16777215	0
1245	Take some deep breaths, exhaling completely	8	0	0	72	16777215	10
1245	Microbursts are hugely effective in terms of training response...	8	0	0	72	16777215	20
1245	because they allow you to accumulate a lot more...	8	0	0	72	16777215	30
1245	work way above Threshold than you could manage in longer intervals	8	0	0	72	16777215	40
1245	So, do your best to make the most out of each of these sets	8	0	0	72	16777215	50
1245	Stay in the saddle & maintain a fast cadence...	8	0	0	72	16777215	60
1245	and always with good form - we don't want to encourage bad habits	8	0	0	72	16777215	70
1245	Be sure you're not bouncing in your saddle despite a high cadence...	8	0	0	72	16777215	80
1245	and be sure your knees are not wobbling about	8	0	0	72	16777215	90
1245	Also, avoid carrying tension in your upper body, especially your shoulders	8	0	0	72	16777215	100
1245	This might seem like a lot to focus on...	8	0	0	72	16777215	110
1245	but everything will eventually come together, quite naturally...	8	0	0	72	16777215	120
1245	if you focus on one piece of the "form puzzle" at a time	8	0	0	72	16777215	130
1245	Second set of 30-second microbursts at 130% FTP coming up in a minute	8	0	0	72	16777215	255
