[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Kettle,99,147. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
5	50
5	90
8	90
8	40
10	40
10	130
10.25	130
10.25	50
10.75	50
10.75	140
11	140
11	50
11.5	50
11.5	150
11.75	150
11.75	50
12.25	50
12.25	160
12.5	160
12.5	40
17	40
17	160
17.25	160
17.25	40
18	40
18	153
18.5	153
18.5	40
20	40
20	147
20.75	147
20.75	40
23	40
23	140
24	140
24	40
27	40
27	147
27.75	147
27.75	40
30	40
30	153
30.5	153
30.5	40
32	40
32	160
32.25	160
32.25	40
36	40
36	160
36.25	160
36.25	40
37	40
37	153
37.5	153
37.5	40
39	40
39	147
39.75	147
39.75	40
42	40
42	140
43	140
43	40
46	40
46	147
46.75	147
46.75	40
49	40
49	153
49.5	153
49.5	40
51	40
51	160
51.25	160
51.25	40
55	40
55	160
55.25	160
55.25	40
56	40
56	153
56.5	153
56.5	40
58	40
58	147
58.75	147
58.75	40
61	40
61	140
62	140
62	40
65	40
65	147
65.75	147
65.75	40
68	40
68	153
68.5	153
68.5	40
70	40
70	160
70.25	160
70.25	40
74	40
74	160
74.25	160
74.25	40
75	40
75	153
75.5	153
75.5	40
77	40
77	147
77.75	147
77.75	40
80	40
80	140
81	140
81	40
84	40
84	147
84.75	147
84.75	40
87	40
87	153
87.5	153
87.5	40
89	40
89	160
89.25	160
89.25	40
90	40
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	5400	Workout
300	480	Sweet Spot 1
600	615	Sprint 1
645	660	Sprint 2
690	705	Sprint 3
735	750	Sprint 4
1020	1035	Sprint 5
1080	1110	Sprint 6
1200	1245	Anaerobic Capacity 1
1380	1440	Anaerobic Capacity 2
1620	1665	Anaerobic Capacity 3
1800	1830	Sprint 7
1920	1935	Sprint 8
2160	2175	Sprint 9
2220	2250	Sprint 10
2340	2385	Anaerobic Capacity 4
2520	2580	Anaerobic Capacity 5
2760	2805	Anaerobic Capacity 6
2940	2970	Sprint 11
3060	3075	Sprint 12
3300	3315	Sprint 13
3360	3390	Sprint 14
3480	3525	Anaerobic Capacity 7
3660	3720	Anaerobic Capacity 8
3900	3945	Anaerobic Capacity 9
4080	4110	Sprint 15
4200	4215	Sprint 16
4440	4455	Sprint 17
4500	4530	Sprint 18
4620	4665	Anaerobic Capacity 10
4800	4860	Anaerobic Capacity 11
5040	5085	Anaerobic Capacity 12
5220	5250	Sprint 19
5340	5355	Sprint 20
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

