[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Gardiner,89,119. Created by 42270.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
4	50
4	95
6	100
6	40
7	40
7	130
7.2	130
7.2	40
7.6	40
7.6	140
7.8	140
7.8	40
8.2	40
8.2	150
8.4	150
8.4	40
12	40
12	150
12.25	150
12.25	40
12.5	40
12.5	150
12.75	150
12.75	40
13	40
13	150
13.25	150
13.25	40
13.5	40
13.5	150
13.75	150
13.75	40
14	40
14	150
14.25	150
14.25	40
14.5	40
14.5	150
14.75	150
14.75	40
15	40
15	150
15.25	150
15.25	40
15.5	40
15.5	150
15.75	150
15.75	40
16	40
16	150
16.25	150
16.25	40
16.5	40
16.5	150
16.75	150
16.75	40
17	40
17	150
17.25	150
17.25	40
17.5	40
17.5	150
17.75	150
17.75	40
18	40
18	150
18.25	150
18.25	40
18.5	40
18.5	150
18.75	150
18.75	40
19	40
19	150
19.25	150
19.25	40
19.5	40
19.5	150
19.75	150
19.75	40
25	40
25	160
25.25	160
25.25	40
25.5	40
25.5	160
25.75	160
25.75	40
26	40
26	160
26.25	160
26.25	40
26.5	40
26.5	160
26.75	160
26.75	40
27	40
27	160
27.25	160
27.25	40
27.5	40
27.5	160
27.75	160
27.75	40
28	40
28	160
28.25	160
28.25	40
28.5	40
28.5	160
28.75	160
28.75	40
29	40
29	160
29.25	160
29.25	40
29.5	40
29.5	160
29.75	160
29.75	40
30	40
30	160
30.25	160
30.25	40
30.5	40
30.5	160
30.75	160
30.75	40
31	40
31	160
31.25	160
31.25	40
31.5	40
31.5	160
31.75	160
31.75	40
32	40
32	160
32.25	160
32.25	40
32.5	40
32.5	160
32.75	160
32.75	40
38	40
38	170
38.25	170
38.25	40
38.5	40
38.5	170
38.75	170
38.75	40
39	40
39	170
39.25	170
39.25	40
39.5	40
39.5	170
39.75	170
39.75	40
40	40
40	170
40.25	170
40.25	40
40.5	40
40.5	170
40.75	170
40.75	40
41	40
41	170
41.25	170
41.25	40
41.5	40
41.5	170
41.75	170
41.75	40
42	40
42	170
42.25	170
42.25	40
42.5	40
42.5	170
42.75	170
42.75	40
43	40
43	170
43.25	170
43.25	40
43.5	40
43.5	170
43.75	170
43.75	40
44	40
44	170
44.25	170
44.25	40
44.5	40
44.5	170
44.75	170
44.75	40
45	40
45	170
45.25	170
45.25	40
45.5	40
45.5	170
45.75	170
45.75	40
51	40
51	180
51.25	180
51.25	40
51.5	40
51.5	180
51.75	180
51.75	40
52	40
52	180
52.25	180
52.25	40
52.5	40
52.5	180
52.75	180
52.75	40
53	40
53	180
53.25	180
53.25	40
53.5	40
53.5	180
53.75	180
53.75	40
54	40
54	180
54.25	180
54.25	40
54.5	40
54.5	180
54.75	180
54.75	40
55	40
55	180
55.25	180
55.25	40
55.5	40
55.5	180
55.75	180
55.75	40
56	40
56	180
56.25	180
56.25	40
56.5	40
56.5	180
56.75	180
56.75	40
57	40
57	180
57.25	180
57.25	40
57.5	40
57.5	180
57.75	180
57.75	40
58	40
58	180
58.25	180
58.25	40
58.5	40
58.5	180
58.75	180
58.75	40
65	40
65	160
65.25	160
65.25	40
65.5	40
65.5	160
65.75	160
65.75	40
66	40
66	160
66.25	160
66.25	40
66.5	40
66.5	160
66.75	160
66.75	40
67	40
67	160
67.25	160
67.25	40
67.5	40
67.5	160
67.75	160
67.75	40
68	40
68	160
68.25	160
68.25	40
68.5	40
68.5	160
68.75	160
68.75	40
69	40
69	160
69.25	160
69.25	40
69.5	40
69.5	160
69.75	160
69.75	40
70	40
70	160
70.25	160
70.25	40
70.5	40
70.5	160
70.75	160
70.75	40
71	40
71	160
71.25	160
71.25	40
71.5	40
71.5	160
71.75	160
71.75	40
72	40
72	160
72.25	160
72.25	40
72.5	40
72.5	160
72.75	160
72.75	40
78	40
78	170
78.25	170
78.25	40
78.5	40
78.5	170
78.75	170
78.75	40
79	40
79	170
79.25	170
79.25	40
79.5	40
79.5	170
79.75	170
79.75	40
80	40
80	170
80.25	170
80.25	40
80.5	40
80.5	170
80.75	170
80.75	40
81	40
81	170
81.25	170
81.25	40
81.5	40
81.5	170
81.75	170
81.75	40
82	40
82	170
82.25	170
82.25	40
82.5	40
82.5	170
82.75	170
82.75	40
83	40
83	170
83.25	170
83.25	40
83.5	40
83.5	170
83.75	170
83.75	40
84	40
84	170
84.25	170
84.25	40
84.5	40
84.5	170
84.75	170
84.75	40
85	40
85	170
85.25	170
85.25	40
85.5	40
85.5	170
85.75	170
85.75	40
90	40
[END COURSE DATA]

[COURSE TEXT]
0	Microburst workout profiles can be a bit scary...	8	0	0	72	16777215	10
0	but this format is actually a little "friendlier" than you might think	8	0	0	72	16777215	20
0	Just the same, Gardiner is a tough workout	8	0	0	72	16777215	30
0	for improvement on a number of levels, but more on that later	8	0	0	72	16777215	40
0	For now, spin quickly & lightly and get warm	8	0	0	72	16777215	50
240	2-minute ramp with quick, +85rpm legs	8	0	0	72	16777215	0
360	Drop your power but keep your leg speed	8	0	0	72	16777215	0
360	During these practice bursts, home in on a realistic cadence	8	0	0	72	16777215	40
360	Probably something in the 100-120rpm range	8	0	0	72	16777215	50
432	Keep your legs just as quick during these short breaks	8	0	0	72	16777215	0
504	Keep spinning but slow things down & rest up	8	0	0	72	16777215	6
504	Alright, let's talk microbursts	5	0	0	72	16777215	96
504	You're initial reaction may be to go as hard as you can...	8	0	0	72	16777215	106
504	but notice that each of these sets is at a different intensity	8	0	0	72	16777215	116
504	These aren't all out hammerfest efforts	5	0	0	72	16777215	126
504	Instead, they offer the option to find out what's repeatable & what's not	8	0	0	72	16777215	136
504	Your goal for the first few intervals of each set...	8	0	0	72	16777215	146
504	should be to hit your marks with high precision	8	0	0	72	16777215	156
504	After you get the precision down, we'll work on other things	8	0	0	72	16777215	166
504	The key to surviving full sets of microbursts...	8	0	0	72	16777215	176
504	is quality breathing & lots of leg speed	8	0	0	72	16777215	186
504	And both extend to the breaks as much as the work intervals	8	0	0	72	16777215	196
504	Alright, 10 seconds and we're in it	8	0	0	72	16777215	206
720	Lots of leg speed, relaxed upper body	5	0	0	72	16777215	0
735	Back off and spin easy but stay quick	8	0	0	72	16777215	0
750	Fast legs!	3	0	0	72	16777215	0
765	Still quick, breathe deeply	5	0	0	72	16777215	0
780	Again!	3	0	0	72	16777215	0
795	By now you're getting the hang of it, yeah?	8	0	0	72	16777215	0
825	As you figure out your gearing, you might need to shift more than once	8	0	0	72	16777215	0
840	Hit it!	3	0	0	72	16777215	0
855	Shifting multiple times might be necessary in order to hit your marks	8	0	0	72	16777215	0
885	Either that or a lot of leg speed, probably a combination of both	8	0	0	72	16777215	0
945	Remember, you don't benefit by working through your rest	8	0	0	72	16777215	0
1050	Hit your mark every time or skip a burst for extra rest	8	0	0	72	16777215	0
1185	Nice! Keep spinning, backward for a minute or two if need be	8	0	0	72	16777215	0
1185	During the rests in between sets like this, feel free to backpedal	8	0	0	72	16777215	10
1185	Try to keep your legs moving but recovery is the real concern	8	0	0	72	16777215	20
1185	Use the first 4 intervals of this next set to get your bearings	8	0	0	72	16777215	135
1185	But while going through the set, focus on breathing	8	0	0	72	16777215	145
