[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Powell -2,90,123. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
7	50
7	90
10	100
10	40
13	40
13	110
14	110
14	40
15	40
15	120
16	120
16	40
20	40
20	105
23	105
23	40
27	40
27	110
30	110
30	40
32	40
32	110
35	110
35	40
37	40
37	110
40	110
40	40
42	40
42	115
43.33	115
43.33	40
43.66	40
43.66	115
45	115
45	40
47	40
47	115
48.33	115
48.33	40
48.66	40
48.66	115
50	115
50	40
52	40
52	115
53.33	115
53.33	40
53.66	40
53.66	115
55	115
55	40
57	40
57	120
58	120
58	40
58.33	40
58.33	120
59.33	120
59.33	40
59.5	40
59.5	120
60	120
60	40
62	40
62	120
63	120
63	40
63.33	40
63.33	120
64.33	120
64.33	40
64.5	40
64.5	120
65	120
65	40
67	40
67	120
68	120
68	40
68.33	40
68.33	120
69.33	120
69.33	40
69.5	40
69.5	120
70	120
70	40
72	40
72	125
73	125
73	40
73.25	40
73.25	125
74	125
74	40
74.25	40
74.25	125
75	125
75	40
77	40
77	125
78	125
78	40
78.25	40
78.25	125
79	125
79	40
79.25	40
79.25	125
80	125
80	40
82	40
82	125
83	125
83	40
83.25	40
83.25	125
84	125
84	40
84.25	40
84.25	125
85	125
85	40
90	40
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	5400	Workout
420	600	Sweet Spot 1
780	840	VO2 Max 1
900	960	VO2 Max 2
1200	1380	Threshold 1
1620	1800	VO2 Max 3
1920	2100	VO2 Max 4
2220	2400	VO2 Max 5
2520	2600	VO2 Max 6
2620	2700	VO2 Max 7
2820	2900	VO2 Max 8
2920	3000	VO2 Max 9
3120	3200	VO2 Max 10
3220	3300	VO2 Max 11
3420	3480	VO2 Max 12
3500	3560	VO2 Max 13
3570	3600	VO2 Max 14
3720	3780	VO2 Max 15
3800	3860	VO2 Max 16
3870	3900	VO2 Max 17
4020	4080	VO2 Max 18
4100	4160	VO2 Max 19
4170	4200	VO2 Max 20
4320	4380	Anaerobic Capacity 1
4395	4440	Anaerobic Capacity 2
4455	4500	Anaerobic Capacity 3
4620	4680	Anaerobic Capacity 4
4695	4740	Anaerobic Capacity 5
4755	4800	Anaerobic Capacity 6
4920	4980	Anaerobic Capacity 7
4995	5040	Anaerobic Capacity 8
5055	5100	Anaerobic Capacity 9
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

