[COURSE HEADER]
VERSION = 2
UNITS = ENGLISH
DESCRIPTION = 4x4min of 20s All-Out/10s Rest; 8RBI
FILE NAME = NS60AN070_TabataProtocol5_4x4m.mrc
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0.0	50
3.0	50
3.0	95
5.0	95
5.0	50
7.0	50
7.0	150
7.2	150
7.2	30
7.5	30
7.5	180
7.7	180
7.7	30
8.0	30
8.0	200
8.2	200
8.2	30
8.5	30
8.5	150
8.8	150
8.8	30
9.1	30
9.1	180
9.4	180
9.4	30
9.7	30
9.7	200
10.0	200
10.0	40
15.0	40
15.0	150
15.33	150
15.33	30
15.5	30
15.5	150
15.83	150
15.83	30
16.0	30
16.0	150
16.33	150
16.33	30
16.5	30
16.5	150
16.83	150
16.83	30
17.0	30
17.0	150
17.33	150
17.33	30
17.5	30
17.5	150
17.83	150
17.83	30
18.0	30
18.0	150
18.33	150
18.33	30
18.5	30
18.5	150
18.83	150
18.83	40
27.0	40
27.0	150
27.33	150
27.33	30
27.5	30
27.5	150
27.83	150
27.83	30
28.0	30
28.0	150
28.33	150
28.33	30
28.5	30
28.5	150
28.83	150
28.83	30
29.0	30
29.0	150
29.33	150
29.33	30
29.5	30
29.5	150
29.83	150
29.83	30
30.0	30
30.0	150
30.33	150
30.33	30
30.5	30
30.5	150
30.83	150
30.83	40
39.0	40
39.0	150
39.33	150
39.33	30
39.5	30
39.5	150
39.83	150
39.83	30
40.0	30
40.0	150
40.33	150
40.33	30
40.5	30
40.5	150
40.83	150
40.83	30
41.0	30
41.0	150
41.33	150
41.33	30
41.5	30
41.5	150
41.83	150
41.83	30
42.0	30
42.0	150
42.33	150
42.33	30
42.5	30
42.5	150
42.83	150
42.83	40
51.0	40
51.0	150
51.33	150
51.33	30
51.5	30
51.5	150
51.83	150
51.83	30
52.0	30
52.0	150
52.33	150
52.33	30
52.5	30
52.5	150
52.83	150
52.83	30
53.0	30
53.0	150
53.33	150
53.33	30
53.5	30
53.5	150
53.83	150
53.83	30
54.0	30
54.0	150
54.33	150
54.33	30
54.5	30
54.5	150
54.83	150
54.83	40
60.0	40
[END COURSE DATA]

[INTERVAL DATA]
0	3600	Workout
180	300	Clearing Effort
420	432	Warmup 1
450	462	Warmup 2
480	492	Warmup 3
510	528	Warmup 4
546	564	Warmup 5
582	600	Warmup 6
900	920	Set 1, Interval 1
930	950	Set 1, Interval 2
960	980	Set 1, Interval 3
990	1010	Set 1, Interval 4
1020	1040	Set 1, Interval 5
1050	1070	Set 1, Interval 6
1080	1100	Set 1, Interval 7
1110	1130	Set 1, Interval 8
1620	1640	Set 2, Interval 1
1650	1670	Set 2, Interval 2
1680	1700	Set 2, Interval 3
1710	1730	Set 2, Interval 4
1740	1760	Set 2, Interval 5
1770	1790	Set 2, Interval 6
1800	1820	Set 2, Interval 7
1830	1850	Set 2,  Interval 8
2340	2360	Set 3, Interval 1
2370	2390	Set 3, Interval 2
2400	2420	Set 3, Interval 3
2430	2450	Set 3, Interval 4
2460	2480	Set 3, Interval 5
2490	2510	Set 3, Interval 6
2520	2540	Set 3, Interval 7
2550	2570	Set 3, Interval 8
3060	3080	Set 4, Interval 1
3090	3110	Set 4, Interval 2
3120	3140	Set 4, Interval 3
3150	3170	Set 4, Interval 4
3180	3200	Set 4, Interval 5
3210	3230	Set 4, Interval 6
3240	3260	Set 4, Interval 7
3270	3290	Set 4, Interval 8
[END INTERVAL DATA]
