[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Graveyard,105,109. Created by 3238.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
3	50
3	95
5	95
5	50
7	50
7	150
7.2	150
7.2	30
7.5	30
7.5	180
7.7	180
7.7	30
8	30
8	200
8.2	200
8.2	30
8.5	30
8.5	150
8.8	150
8.8	30
9.1	30
9.1	180
9.4	180
9.4	30
9.7	30
9.7	200
10	200
10	40
15	40
15	200
15.33	200
15.33	30
15.5	30
15.5	200
15.83	200
15.83	30
16	30
16	200
16.33	200
16.33	30
16.5	30
16.5	200
16.83	200
16.83	30
17	30
17	200
17.33	200
17.33	30
17.5	30
17.5	200
17.83	200
17.83	30
18	30
18	200
18.33	200
18.33	30
18.5	30
18.5	200
18.83	200
18.83	40
27	40
27	200
27.33	200
27.33	30
27.5	30
27.5	200
27.83	200
27.83	30
28	30
28	200
28.33	200
28.33	30
28.5	30
28.5	200
28.83	200
28.83	30
29	30
29	200
29.33	200
29.33	30
29.5	30
29.5	200
29.83	200
29.83	30
30	30
30	200
30.33	200
30.33	30
30.5	30
30.5	200
30.83	200
30.83	40
39	40
39	200
39.33	200
39.33	30
39.5	30
39.5	200
39.83	200
39.83	30
40	30
40	200
40.33	200
40.33	30
40.5	30
40.5	200
40.83	200
40.83	30
41	30
41	200
41.33	200
41.33	30
41.5	30
41.5	200
41.83	200
41.83	30
42	30
42	200
42.33	200
42.33	30
42.5	30
42.5	200
42.83	200
42.83	40
51	40
51	200
51.33	200
51.33	30
51.5	30
51.5	200
51.83	200
51.83	30
52	30
52	200
52.33	200
52.33	30
52.5	30
52.5	200
52.83	200
52.83	30
53	30
53	200
53.33	200
53.33	30
53.5	30
53.5	200
53.83	200
53.83	30
54	30
54	200
54.33	200
54.33	30
54.5	30
54.5	200
54.83	200
54.83	40
60	40
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	3600	Workout
180	300	Sweet Spot 1
420	432	Sprint 1
450	462	Sprint 2
480	492	Sprint 3
510	528	Sprint 4
546	564	Sprint 5
582	600	Sprint 6
900	920	Sprint 7
930	950	Sprint 8
960	980	Sprint 9
990	1010	Sprint 10
1020	1040	Sprint 11
1050	1070	Sprint 12
1080	1100	Sprint 13
1110	1130	Sprint 14
1620	1640	Sprint 15
1650	1670	Sprint 16
1680	1700	Sprint 17
1710	1730	Sprint 18
1740	1760	Sprint 19
1770	1790	Sprint 20
1800	1820	Sprint 21
1830	1850	Sprint 22
2340	2360	Sprint 23
2370	2390	Sprint 24
2400	2420	Sprint 25
2430	2450	Sprint 26
2460	2480	Sprint 27
2490	2510	Sprint 28
2520	2540	Sprint 29
2550	2570	Sprint 30
3060	3080	Sprint 31
3090	3110	Sprint 32
3120	3140	Sprint 33
3150	3170	Sprint 34
3180	3200	Sprint 35
3210	3230	Sprint 36
3240	3260	Sprint 37
3270	3290	Sprint 38
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

