[COURSE HEADER]
VERSION = 2
UNITS = ENGLISH
DESCRIPTION = 5x3min of 18s ON/12s OFF (180%/50%) or 18s ON/18s OFF (200%/50%); approx. 130-150% power at VO2max; 5R @ 40%FT.
FILE NAME = NS60AN087_TabataProtocol2A_5x3m.mrc
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0.0	50
4.0	50
4.0	80
6.0	80
6.0	90
8.0	90
8.0	100
10.0	100
10.0	40
13.0	40
13.0	150
13.1	150
13.1	50
13.5	50
13.5	180
13.6	180
13.6	50
14.0	50
14.0	200
14.1	200
14.1	50
14.5	50
14.5	150
14.7	150
14.7	50
15.1	50
15.1	180
15.3	180
15.3	50
15.7	50
15.7	200
15.9	200
15.9	40
20.0	40
20.0	180
20.3	180
20.3	50
20.5	50
20.5	180
20.8	180
20.8	50
21.0	50
21.0	180
21.3	180
21.3	50
21.5	50
21.5	180
21.8	180
21.8	50
22.0	50
22.0	180
22.3	180
22.3	50
22.5	50
22.5	180
22.8	180
22.8	40
28.0	40
28.0	200
28.3	200
28.3	50
28.6	50
28.6	200
28.9	200
28.9	50
29.2	50
29.2	200
29.5	200
29.5	50
29.8	50
29.8	200
30.1	200
30.1	50
30.4	50
30.4	200
30.7	200
30.7	40
36.0	40
36.0	180
36.3	180
36.3	50
36.5	50
36.5	180
36.8	180
36.8	50
37.0	50
37.0	180
37.3	180
37.3	50
37.5	50
37.5	180
37.8	180
37.8	50
38.0	50
38.0	180
38.3	180
38.3	50
38.5	50
38.5	180
38.8	180
38.8	40
44.0	40
44.0	200
44.3	200
44.3	50
44.6	50
44.6	200
44.9	200
44.9	50
45.2	50
45.2	200
45.5	200
45.5	50
45.8	50
45.8	200
46.1	200
46.1	50
46.4	50
46.4	200
46.7	200
46.7	40
52.0	40
52.0	180
52.3	180
52.3	50
52.5	50
52.5	180
52.8	180
52.8	50
53.0	50
53.0	180
53.3	180
53.3	50
53.5	50
53.5	180
53.8	180
53.8	50
54.0	50
54.0	180
54.3	180
54.3	50
54.5	50
54.5	180
54.8	180
54.8	40
60.0	40
[END COURSE DATA]

[INTERVAL DATA]
0	3600	Workout
240	600	Warmup Steps
780	786	Warmup 1
810	816	Warmup 2
840	846	Warmup 3
870	882	Warmup 4
906	918	Warmup 5
942	954	Warmup 6
1200	1218	Set 1, Interval 1
1230	1248	Set 1, Interval 2
1260	1278	Set 1, Interval 3
1290	1308	Set 1, Interval 4
1320	1338	Set 1, Interval 5
1350	1368	Set 1, Interval 6
1680	1698	Set 2, Interval 1
1716	1734	Set 2, Interval 2
1752	1770	Set 2, Interval 3
1788	1806	Set 2, Interval 4
1824	1842	Set 2, Interval 5
2160	2178	Set 3, Interval 1
2190	2208	Set 3, Interval 2
2220	2238	Set 3, Interval 3
2250	2268	Set 3, Interval 4
2280	2298	Set 3, Interval 5
2310	2328	Set 3, Interval 6
2640	2658	Set 4, Interval 1
2676	2694	Set 4, Interval 2
2712	2730	Set 4, Interval 3
2748	2766	Set 4, Interval 4
2784	2802	Set 4, Interval 5
3120	3138	Set 5, Interval 1
3150	3168	Set 5, Interval 2
3180	3198	Set 5, Interval 3
3210	3228	Set 5, Interval 4
3240	3258	Set 5, Interval 5
3270	3288	Set 5, Interval 6
[END INTERVAL DATA]
