[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Sufferfest Half is Easy 2.0 ,90,52. Created by 29233.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	40
3.88	40
3.88	55
5.21	55
5.21	95
7.21	95
7.21	135
7.65	135
7.65	40
8.66	40
8.66	150
9.1	150
9.1	40
10.08	40
10.08	150
10.33	150
10.33	50
10.58	50
10.58	150
10.83	150
10.83	50
11.08	50
11.08	150
11.33	150
11.33	50
11.58	50
11.58	150
11.83	150
11.83	50
12.08	50
12.08	150
12.33	150
12.33	50
12.58	50
12.58	150
12.83	150
12.83	50
13.08	50
13.08	150
13.33	150
13.33	50
13.58	50
13.58	150
13.83	150
13.83	50
14.08	50
14.08	150
14.33	150
14.33	50
14.58	50
14.58	150
14.83	150
14.83	50
15.08	50
15.08	150
15.33	150
15.33	50
15.58	50
15.58	150
15.83	150
15.83	50
16.08	50
16.08	150
16.33	150
16.33	50
16.58	50
16.58	150
16.83	150
16.83	50
17.08	50
17.08	150
17.33	150
17.33	50
17.58	50
17.58	150
17.83	150
17.83	50
18.1	50
18.1	150
18.33	150
18.33	50
18.58	50
18.58	150
18.83	150
18.83	50
19.1	50
19.1	150
19.33	150
19.33	50
19.58	50
19.58	150
19.85	150
19.85	40
23.85	40
23.85	150
24.1	150
24.1	50
24.35	50
24.35	150
24.6	150
24.6	50
24.85	50
24.85	150
25.1	150
25.1	50
25.35	50
25.35	150
25.6	150
25.6	50
25.85	50
25.85	150
26.1	150
26.1	50
26.35	50
26.35	150
26.6	150
26.6	50
26.85	50
26.85	150
27.1	150
27.1	50
27.35	50
27.35	150
27.6	150
27.6	50
27.85	50
27.85	150
28.1	150
28.1	50
28.35	50
28.35	150
28.6	150
28.6	50
28.85	50
28.85	150
29.1	150
29.1	50
29.35	50
29.35	150
29.6	150
29.6	50
29.76	50
29.76	150
30.01	150
30.01	50
30.26	50
30.26	150
30.51	150
30.51	50
30.76	50
30.76	150
31.01	150
31.01	50
31.26	50
31.26	150
31.51	150
31.51	50
31.76	50
31.76	150
32.01	150
32.01	50
32.26	50
32.26	150
32.51	150
32.51	50
32.76	50
32.76	150
33.01	150
33.01	50
33.26	50
33.26	150
33.51	150
33.51	50
33.76	50
33.76	150
34.03	150
34.03	50
34.28	50
34.28	150
34.75	150
34.75	40
38.56	40
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	2314	Workout
233	313	Endurance 1
313	433	Sweet Spot 1
433	459	Sprint 1
520	546	Sprint 2
605	620	Sprint 3
635	650	Sprint 4
665	680	Sprint 5
695	710	Sprint 6
725	740	Sprint 7
755	770	Sprint 8
785	800	Sprint 9
815	830	Sprint 10
845	860	Sprint 11
875	890	Sprint 12
905	920	Sprint 13
935	950	Sprint 14
965	980	Sprint 15
995	1010	Sprint 16
1025	1040	Sprint 17
1055	1070	Sprint 18
1086	1100	Sprint 19
1115	1130	Sprint 20
1146	1160	Sprint 21
1175	1191	Sprint 22
1431	1446	Sprint 23
1461	1476	Sprint 24
1491	1506	Sprint 25
1521	1536	Sprint 26
1551	1566	Sprint 27
1581	1596	Sprint 28
1611	1626	Sprint 29
1641	1656	Sprint 30
1671	1686	Sprint 31
1701	1716	Sprint 32
1731	1746	Sprint 33
1761	1776	Sprint 34
1786	1801	Sprint 35
1816	1831	Sprint 36
1846	1861	Sprint 37
1876	1891	Sprint 38
1906	1921	Sprint 39
1936	1951	Sprint 40
1966	1981	Sprint 41
1996	2011	Sprint 42
2026	2042	Sprint 43
2057	2085	Sprint 44
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

