[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = The Mighty Tour de Nez,100,100. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
4	60
4	120
4.4	120
4.4	100
4.7	100
4.7	50
4.8	50
4.8	110
5	110
5	40
5.1	40
5.1	110
5.5	110
5.5	40
10.5	40
10.5	147
10.9	147
10.9	102
11.2	102
11.2	62
11.3	62
11.3	132
11.5	132
11.5	62
11.6	62
11.6	127
12	127
12	40
12.5	40
12.5	132
12.9	132
12.9	102
13.2	102
13.2	62
13.3	62
13.3	122
13.5	122
13.5	62
13.6	62
13.6	122
14	122
14	40
14.5	40
14.5	157
14.9	157
14.9	102
15.2	102
15.2	62
15.3	62
15.3	137
15.5	137
15.5	62
15.6	62
15.6	142
16	142
16	40
16.5	40
16.5	132
16.9	132
16.9	102
17.2	102
17.2	62
17.3	62
17.3	122
17.5	122
17.5	62
17.6	62
17.6	122
18	122
18	40
18.5	40
18.5	132
18.9	132
18.9	102
19.2	102
19.2	62
19.3	62
19.3	122
19.5	122
19.5	62
19.6	62
19.6	122
20	122
20	40
20.5	40
20.5	152
20.9	152
20.9	102
21.2	102
21.2	62
21.3	62
21.3	132
21.5	132
21.5	62
21.6	62
21.6	142
22	142
22	40
22.5	40
22.5	132
22.9	132
22.9	102
23.2	102
23.2	62
23.3	62
23.3	122
23.5	122
23.5	62
23.6	62
23.6	122
24	122
24	40
24.5	40
24.5	142
24.9	142
24.9	102
25.2	102
25.2	62
25.3	62
25.3	142
25.5	142
25.5	62
25.6	62
25.6	132
26	132
26	40
26.5	40
26.5	157
26.9	157
26.9	102
27.2	102
27.2	62
27.3	62
27.3	132
27.5	132
27.5	62
27.6	62
27.6	127
28	127
28	40
28.5	40
28.5	132
28.9	132
28.9	102
29.2	102
29.2	62
29.3	62
29.3	122
29.5	122
29.5	62
29.6	62
29.6	122
30	122
30	40
30.5	40
30.5	137
30.9	137
30.9	102
31.2	102
31.2	62
31.3	62
31.3	127
31.5	127
31.5	62
31.6	62
31.6	127
32	127
32	40
32.5	40
32.5	132
32.9	132
32.9	102
33.2	102
33.2	62
33.3	62
33.3	122
33.5	122
33.5	62
33.6	62
33.6	122
34	122
34	40
34.5	40
34.5	152
34.9	152
34.9	102
35.2	102
35.2	62
35.3	62
35.3	137
35.5	137
35.5	62
35.6	62
35.6	132
36	132
36	40
36.5	40
36.5	152
36.9	152
36.9	102
37.2	102
37.2	62
37.3	62
37.3	132
37.5	132
37.5	62
37.6	62
37.6	137
38	137
38	40
38.5	40
38.5	132
38.9	132
38.9	102
39.2	102
39.2	62
39.3	62
39.3	122
39.5	122
39.5	62
39.6	62
39.6	122
40	122
40	40
40.5	40
40.5	157
40.9	157
40.9	102
41.2	102
41.2	62
41.3	62
41.3	122
41.5	122
41.5	62
41.6	62
41.6	122
42	122
42	40
42.5	40
42.5	132
42.9	132
42.9	102
43.2	102
43.2	62
43.3	62
43.3	122
43.5	122
43.5	62
43.6	62
43.6	122
44	122
44	40
44.5	40
44.5	142
44.9	142
44.9	102
45.2	102
45.2	62
45.3	62
45.3	142
45.5	142
45.5	62
45.6	62
45.6	147
46	147
46	40
46.5	40
46.5	132
46.9	132
46.9	102
47.2	102
47.2	62
47.3	62
47.3	122
47.5	122
47.5	62
47.6	62
47.6	132
48	132
48	40
48.5	40
48.5	137
48.9	137
48.9	102
49.2	102
49.2	62
49.3	62
49.3	142
49.5	142
49.5	62
49.6	62
49.6	122
50	122
50	40
50.5	40
50.5	142
50.9	142
50.9	102
51.2	102
51.2	62
51.3	62
51.3	132
51.5	132
51.5	62
51.6	62
51.6	132
52	132
52	40
52.5	40
52.5	152
52.9	152
52.9	102
53.2	102
53.2	62
53.3	62
53.3	142
53.5	142
53.5	62
53.6	62
53.6	142
54	142
54	40
54.5	40
54.5	157
54.9	157
54.9	102
55.2	102
55.2	62
55.3	62
55.3	147
55.5	147
55.5	62
55.6	62
55.6	157
56	157
56	40
60	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	3600	Workout
240	264	VO2 Max 1
264	282	Threshold 1
288	300	VO2 Max 2
306	330	VO2 Max 3
630	654	Sprint 1
654	672	Threshold 2
672	678	Endurance 1
678	690	Sprint 2
690	696	Endurance 2
696	720	Sprint 3
750	774	Sprint 4
774	792	Threshold 3
792	798	Endurance 3
798	810	Sprint 5
810	816	Endurance 4
816	840	Sprint 6
870	894	Sprint 7
894	912	Threshold 4
912	918	Endurance 5
918	930	Sprint 8
930	936	Endurance 6
936	960	Sprint 9
990	1014	Sprint 10
1014	1032	Threshold 5
1032	1038	Endurance 7
1038	1050	Sprint 11
1050	1056	Endurance 8
1056	1080	Sprint 12
1110	1134	Sprint 13
1134	1152	Threshold 6
1152	1158	Endurance 9
1158	1170	Sprint 14
1170	1176	Endurance 10
1176	1200	Sprint 15
1230	1254	Sprint 16
1254	1272	Threshold 7
1272	1278	Endurance 11
1278	1290	Sprint 17
1290	1296	Endurance 12
1296	1320	Sprint 18
1350	1374	Sprint 19
1374	1392	Threshold 8
1392	1398	Endurance 13
1398	1410	Sprint 20
1410	1416	Endurance 14
1416	1440	Sprint 21
1470	1494	Sprint 22
1494	1512	Threshold 9
1512	1518	Endurance 15
1518	1530	Sprint 23
1530	1536	Endurance 16
1536	1560	Sprint 24
1590	1614	Sprint 25
1614	1632	Threshold 10
1632	1638	Endurance 17
1638	1650	Sprint 26
1650	1656	Endurance 18
1656	1680	Sprint 27
1710	1734	Sprint 28
1734	1752	Threshold 11
1752	1758	Endurance 19
1758	1770	Sprint 29
1770	1776	Endurance 20
1776	1800	Sprint 30
1830	1854	Sprint 31
1854	1872	Threshold 12
1872	1878	Endurance 21
1878	1890	Sprint 32
1890	1896	Endurance 22
1896	1920	Sprint 33
1950	1974	Sprint 34
1974	1992	Threshold 13
1992	1998	Endurance 23
1998	2010	Sprint 35
2010	2016	Endurance 24
2016	2040	Sprint 36
2070	2094	Sprint 37
2094	2112	Threshold 14
2112	2118	Endurance 25
2118	2130	Sprint 38
2130	2136	Endurance 26
2136	2160	Sprint 39
2190	2214	Sprint 40
2214	2232	Threshold 15
2232	2238	Endurance 27
2238	2250	Sprint 41
2250	2256	Endurance 28
2256	2280	Sprint 42
2310	2334	Sprint 43
2334	2352	Threshold 16
2352	2358	Endurance 29
2358	2370	Sprint 44
2370	2376	Endurance 30
2376	2400	Sprint 45
2430	2454	Sprint 46
2454	2472	Threshold 17
2472	2478	Endurance 31
2478	2490	Sprint 47
2490	2496	Endurance 32
2496	2520	Sprint 48
2550	2574	Sprint 49
2574	2592	Threshold 18
2592	2598	Endurance 33
2598	2610	Sprint 50
2610	2616	Endurance 34
2616	2640	Sprint 51
2670	2694	Sprint 52
2694	2712	Threshold 19
2712	2718	Endurance 35
2718	2730	Sprint 53
2730	2736	Endurance 36
2736	2760	Sprint 54
2790	2814	Sprint 55
2814	2832	Threshold 20
2832	2838	Endurance 37
2838	2850	Sprint 56
2850	2856	Endurance 38
2856	2880	Sprint 57
2910	2934	Sprint 58
2934	2952	Threshold 21
2952	2958	Endurance 39
2958	2970	Sprint 59
