[COURSE HEADER]
VERSION = 2
UNITS = ENGLISH
DESCRIPTION = 95, 88, SUFFERFEST - FIGHT CLUB REMASTERED
FILE NAME = FLIGHT_CLUB.MRC
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0.00	50
1.27	50
2.30	50
2.30	50
5.30	50
5.30	62
7.15	62
7.15	74
8.72	74
8.72	86
10.57	86
10.57	135
10.80	135
10.80	86
11.52	86
11.52	135
11.75	135
11.75	86
12.18	86
12.18	135
12.41	135
12.41	86
13.32	86
13.32	135
13.55	135
13.55	86
14.71	86
14.71	50
16.32	50
16.32	99
17.40	99
17.40	135
17.63	135
17.63	99
18.67	99
18.67	135
18.90	135
18.90	99
20.27	99
20.27	111
21.16	111
21.16	135
21.39	135
21.39	111
22.06	111
22.06	135
22.30	135
22.30	111
23.05	111
23.05	50
26.34	50
26.34	99
27.50	99
27.50	135
27.72	135
27.72	99
28.42	99
28.42	135
28.62	135
28.62	99
30.58	99
30.58	111
31.35	111
31.35	135
31.57	135
31.57	111
32.43	111
32.43	135
32.64	135
32.64	111
33.09	111
33.09	135
33.32	135
33.32	50
36.66	50
36.66	99
37.65	99
37.65	135
37.88	135
37.88	99
39.53	99
39.53	135
39.76	135
39.76	99
40.14	99
40.14	135
40.25	135
40.25	99
40.93	99
40.93	111
41.42	111
41.42	135
41.64	135
41.64	111
42.29	111
42.29	135
42.50	135
42.50	111
43.24	111
43.24	135
43.37	135
43.37	111
43.62	111
43.62	50
46.77	50
46.77	99
47.32	99
47.32	135
47.54	135
47.54	99
48.01	99
48.01	135
48.23	135
48.23	99
49.25	99
49.25	135
49.46	135
49.46	99
50.31	99
50.31	135
50.43	135
50.43	99
50.63	99
50.63	135
50.87	135
50.87	111
51.45	111
51.45	135
51.68	135
51.68	111
52.15	111
52.15	135
52.28	135
52.28	111
52.81	111
52.81	135
53.02	135
53.02	111
53.57	111
53.57	135
53.97	135
53.97	50
59.12	50
[END COURSE DATA]

[INTERVAL DATA]
0	3547	Workout
523	883	Tempo
979	1383	Time Trial 1
1580	1999	Time Trial 2
2200	2617	Time Trial 3
2806	3238	Time Trial 4
[END INTERVAL DATA]
