[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Clouds Rest,87,76. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
5	50
5	130
5.5	130
5.5	40
6	40
6	140
6.5	140
6.5	40
7	40
7	150
7.5	150
7.5	40
12	40
12	130
12.5	130
12.5	40
13	40
13	130
13.5	130
13.5	40
14	40
14	130
14.5	130
14.5	40
15	40
15	130
15.5	130
15.5	40
16	40
16	130
16.5	130
16.5	40
17	40
17	130
17.5	130
17.5	40
18	40
18	130
18.5	130
18.5	40
19	40
19	130
19.5	130
19.5	40
20	40
20	130
20.5	130
20.5	40
21	40
21	130
21.5	130
21.5	40
22	40
22	130
22.5	130
22.5	40
23	40
23	130
23.5	130
23.5	50
29	50
29	130
29.5	130
29.5	40
30	40
30	130
30.5	130
30.5	40
31	40
31	130
31.5	130
31.5	40
32	40
32	130
32.5	130
32.5	40
33	40
33	130
33.5	130
33.5	40
34	40
34	130
34.5	130
34.5	40
35	40
35	130
35.5	130
35.5	40
36	40
36	130
36.5	130
36.5	40
37	40
37	130
37.5	130
37.5	40
38	40
38	130
38.5	130
38.5	40
39	40
39	130
39.5	130
39.5	40
40	40
40	130
40.5	130
40.5	50
46	50
46	130
46.5	130
46.5	40
47	40
47	130
47.5	130
47.5	40
48	40
48	130
48.5	130
48.5	40
49	40
49	130
49.5	130
49.5	40
50	40
50	130
50.5	130
50.5	40
51	40
51	130
51.5	130
51.5	40
52	40
52	130
52.5	130
52.5	40
53	40
53	130
53.5	130
53.5	40
54	40
54	130
54.5	130
54.5	40
55	40
55	130
55.5	130
55.5	40
56	40
56	130
56.5	130
56.5	40
57	40
57	130
57.5	130
57.5	40
60	40
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	3600	Workout
300	330	Sprint 1
360	390	Sprint 2
420	450	Sprint 3
720	750	Sprint 4
780	810	Sprint 5
840	870	Sprint 6
900	930	Sprint 7
960	990	Sprint 8
1020	1050	Sprint 9
1080	1110	Sprint 10
1140	1170	Sprint 11
1200	1230	Sprint 12
1260	1290	Sprint 13
1320	1350	Sprint 14
1380	1410	Sprint 15
1740	1770	Sprint 16
1800	1830	Sprint 17
1860	1890	Sprint 18
1920	1950	Sprint 19
1980	2010	Sprint 20
2040	2070	Sprint 21
2100	2130	Sprint 22
2160	2190	Sprint 23
2220	2250	Sprint 24
2280	2310	Sprint 25
2340	2370	Sprint 26
2400	2430	Sprint 27
2760	2790	Sprint 28
2820	2850	Sprint 29
2880	2910	Sprint 30
2940	2970	Sprint 31
3000	3030	Sprint 32
3060	3090	Sprint 33
3120	3150	Sprint 34
3180	3210	Sprint 35
3240	3270	Sprint 36
3300	3330	Sprint 37
3360	3390	Sprint 38
3420	3450	Sprint 39
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

